1. ВСЕ НАСЕЛЕНИЕ, ГОРОДСКОЕ, СЕЛЬСКОЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ												
												
												
	Всего	Имеющие образование 								Не имеющие 
начального
общего 
образования
	из них негра-мотные	Не указавшие уровень образования
		профессиональное					общее					
		послевузовское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное			
												
Все население в возрасте 15 лет и более	121300235.0	369134.0	19009265.0	3739718.0	32929158.0	15366897.0	21276555.0	16695335.0	9349775.0	1199990.0	670480.0	1364408.0
в том числе в возрасте, лет:												
15–17	7623254.0	-	-	10184.0	79662.0	127574.0	1646148.0	5030100.0	609849.0	37172.0	22542.0	82565.0
18–19 	5177374.0	-	2141.0	394666.0	714656.0	505026.0	2677785.0	745745.0	73490.0	19678.0	14128.0	44187.0
20–24 	11466404.0	19608.0	1327446.0	1472913.0	3109155.0	1567011.0	2609114.0	1049740.0	148931.0	40749.0	29477.0	121737.0
25–29 	10612976.0	45802.0	2221992.0	449541.0	3342775.0	1580505.0	1845732.0	866471.0	98881.0	33882.0	24283.0	127395.0
30–34 	9836374.0	37489.0	2050492.0	311211.0	3647247.0	1513283.0	1567561.0	478555.0	67405.0	28814.0	20625.0	134317.0
35–39 	10216384.0	35401.0	2199037.0	240744.0	3820769.0	1606410.0	1695496.0	396401.0	64440.0	28000.0	20282.0	129686.0
40–44 	12546470.0	42435.0	2577184.0	226278.0	4546464.0	2073219.0	2275228.0	534908.0	90088.0	30630.0	21787.0	150036.0
45–49 	11605892.0	40569.0	2310789.0	171760.0	4025255.0	1969185.0	2067582.0	729006.0	131389.0	27250.0	18715.0	133107.0
50–54 	10071198.0	38132.0	1991497.0	141801.0	3355117.0	1539752.0	1736935.0	933797.0	188494.0	24194.0	16005.0	121479.0
55–59 	5347399.0	26163.0	1162310.0	81831.0	1569274.0	712127.0	802779.0	655319.0	247800.0	17497.0	11012.0	72299.0
60–64 	7983062.0	31607.0	1274898.0	81688.0	1864539.0	866289.0	1016395.0	1620177.0	1093221.0	53711.0	30642.0	80537.0
65–69 	6344576.0	22658.0	852236.0	52102.0	1253374.0	567122.0	555145.0	1287384.0	1582527.0	114169.0	61385.0	57859.0
70 и более	12468872.0	29270.0	1039243.0	104999.0	1600871.0	739394.0	780655.0	2367732.0	4953260.0	744244.0	379597.0	109204.0
Возраст не указан	119895.0	182.0	4021.0	1256.0	7067.0	3042.0	5083.0	2659.0	1661.0	727.0	272.0	94197.0
Из общей численности - население в возрасте:												
трудоспособном	88941569.0	275172.0	15201090.0	3458791.0	27259238.0	12876134.0	18450999.0	8952073.0	1156860.0	263759.0	184625.0	1047453.0
старше трудоспособного	29777984.0	93962.0	3808175.0	280927.0	5669920.0	2476111.0	2821461.0	5652955.0	7766287.0	922698.0	478406.0	285488.0
