6. ГРУППИРОВКА СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
	Всего1)	в том числе сельские населенные пункты с числом жителей						
		10 и менее	11-200	201-500	501-1000	1001-2000	2001-5000	более            5000
Российская Федерация								
Число сельских населенных пунктов	142203.0	34003.0	68807.0	20475.0	10836.0	5182.0	2093.0	807.0
численность населения	38737682.0	168334.0	4333565.0	6617779.0	7570618.0	7049804.0	6267529.0	6730053.0
мужчины	18455623.0	77144.0	2041116.0	3157357.0	3604308.0	3362936.0	3007726.0	3205036.0
женщины	20282059.0	91190.0	2292449.0	3460422.0	3966310.0	3686868.0	3259803.0	3525017.0
Центральный федеральный округ								
Число сельских населенных пунктов	54258.0	16881.0	28729.0	5066.0	2177.0	932.0	404.0	69.0
численность населения	7633674.0	84195.0	1495171.0	1614677.0	1498948.0	1254288.0	1172911.0	513484.0
мужчины	3527588.0	37428.0	678193.0	747102.0	693799.0	581407.0	547040.0	242619.0
женщины	4106086.0	46767.0	816978.0	867575.0	805149.0	672881.0	625871.0	270865.0
Белгородская область								
Число сельских населенных пунктов	1543.0	113.0	766.0	337.0	212.0	82.0	29.0	4.0
численность населения	526036.0	615.0	59743.0	109207.0	149251.0	103028.0	80608.0	23584.0
мужчины	240439.0	287.0	26443.0	49687.0	68529.0	47458.0	37180.0	10855.0
женщины	285597.0	328.0	33300.0	59520.0	80722.0	55570.0	43428.0	12729.0
Брянская область								
Число сельских населенных пунктов	2590.0	486.0	1487.0	392.0	169.0	42.0	12.0	2.0
численность населения	435559.0	2612.0	85118.0	131647.0	111116.0	53924.0	37998.0	13144.0
мужчины	200666.0	1171.0	38349.0	60897.0	51245.0	25028.0	17775.0	6201.0
женщины	234893.0	1441.0	46769.0	70750.0	59871.0	28896.0	20223.0	6943.0
Владимирская область								
Число сельских населенных пунктов	2224.0	642.0	1189.0	220.0	111.0	53.0	9.0	-
численность населения	310125.0	3170.0	62334.0	72639.0	77690.0	70087.0	24205.0	-
мужчины	141507.0	1443.0	27751.0	33303.0	35773.0	32013.0	11224.0	-
женщины	168618.0	1727.0	34583.0	39336.0	41917.0	38074.0	12981.0	-
Воронежская область								
Число сельских населенных пунктов	1747.0	155.0	755.0	315.0	294.0	139.0	71.0	18.0
численность населения	907004.0	730.0	57865.0	107057.0	207015.0	192829.0	206878.0	134630.0
мужчины	418225.0	347.0	26220.0	49405.0	95408.0	89380.0	95456.0	62009.0
женщины	488779.0	383.0	31645.0	57652.0	111607.0	103449.0	111422.0	72621.0
Ивановская область								
Число сельских населенных пунктов	2637.0	1063.0	1328.0	169.0	52.0	19.0	5.0	1.0
численность населения	199080.0	5146.0	60514.0	50898.0	34166.0	25928.0	13584.0	8844.0
мужчины	93326.0	2271.0	27766.0	23808.0	16106.0	12431.0	6832.0	4112.0
женщины	105754.0	2875.0	32748.0	27090.0	18060.0	13497.0	6752.0	4732.0
Калужская область								
Число сельских населенных пунктов	2919.0	1056.0	1563.0	213.0	54.0	20.0	12.0	1.0
численность населения	262160.0	5228.0	69790.0	66721.0	37520.0	28959.0	42843.0	11099.0
мужчины	120253.0	2303.0	31453.0	31097.0	17537.0	13204.0	19527.0	5132.0
женщины	141907.0	2925.0	38337.0	35624.0	19983.0	15755.0	23316.0	5967.0
Костромская область								
Число сельских населенных пунктов	2809.0	1274.0	1248.0	201.0	51.0	23.0	9.0	3.0
численность населения	240496.0	5727.0	64586.0	59225.0	32814.0	32553.0	27631.0	17960.0
мужчины	112513.0	2778.0	30219.0	28195.0	15358.0	14472.0	12944.0	8547.0
женщины	127983.0	2949.0	34367.0	31030.0	17456.0	18081.0	14687.0	9413.0
Курская область								
Число сельских населенных пунктов	2722.0	257.0	1794.0	453.0	160.0	37.0	21.0	-
численность населения	478611.0	1488.0	123610.0	140167.0	108010.0	48247.0	57089.0	-
мужчины	220538.0	671.0	56355.0	64699.0	49622.0	22344.0	26847.0	-
женщины	258073.0	817.0	67255.0	75468.0	58388.0	25903.0	30242.0	-
Липецкая область								
Число сельских населенных пунктов	1540.0	197.0	848.0	262.0	139.0	61.0	26.0	7.0
численность населения	433516.0	959.0	55065.0	86928.0	95363.0	82051.0	72263.0	40887.0
мужчины	198894.0	419.0	24992.0	40323.0	43924.0	37217.0	33289.0	18730.0
женщины	234622.0	540.0	30073.0	46605.0	51439.0	44834.0	38974.0	22157.0
Московская область								
Число сельских населенных пунктов	5875.0	1550.0	3287.0	429.0	244.0	216.0	122.0	27.0
численность населения	1370004.0	8170.0	179423.0	134850.0	179057.0	295564.0	357484.0	215456.0
мужчины	639506.0	3506.0	80752.0	61690.0	84135.0	136879.0	167629.0	104915.0
женщины	730498.0	4664.0	98671.0	73160.0	94922.0	158685.0	189855.0	110541.0
Орловская область								
Число сельских населенных пунктов	2855.0	692.0	1722.0	317.0	91.0	24.0	9.0	-
численность населения	313784.0	3689.0	93123.0	100948.0	59198.0	33517.0	23309.0	-
мужчины	144952.0	1639.0	42934.0	47081.0	27582.0	15761.0	9955.0	-
женщины	168832.0	2050.0	50189.0	53867.0	31616.0	17756.0	13354.0	-
Рязанская область								
Число сельских населенных пунктов	2555.0	608.0	1395.0	363.0	131.0	44.0	13.0	1.0
численность населения	381730.0	3303.0	75668.0	116453.0	88198.0	57334.0	34446.0	6328.0
мужчины	174176.0	1470.0	33102.0	53184.0	40144.0	26513.0	16869.0	2894.0
женщины	207554.0	1833.0	42566.0	63269.0	48054.0	30821.0	17577.0	3434.0
Смоленская область								
Число сельских населенных пунктов	4406.0	1727.0	2283.0	295.0	69.0	19.0	13.0	-
численность населения	305975.0	8650.0	98896.0	87734.0	46746.0	25956.0	37993.0	-
мужчины	141920.0	3779.0	44894.0	40792.0	21538.0	12501.0	18416.0	-
женщины	164055.0	4871.0	54002.0	46942.0	25208.0	13455.0	19577.0	-
Тамбовская область								
Число сельских населенных пунктов	1659.0	173.0	884.0	328.0	177.0	68.0	24.0	5.0
численность населения	504348.0	923.0	62848.0	110060.0	122468.0	90477.0	76020.0	41552.0
