3.3. МУЖЧИНЫ И ЖЕНЩИНЫ ПО ВОЗРАСТНЫМ ГРУППАМ И СОСТОЯНИЮ В БРАКЕ (на 1000 человек соответствующего пола и возраста)														
														
	Мужчины							Женщины						
	состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке	состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошедшиеся	не указавшие состояние в браке
		в зарегистриро- ванном браке	в незарегист- рированном браке						в зарегистриро- ванном браке	в незарегист- рированном браке				
Городское и сельское население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке	626.0	565.0	61.0	251.0	36.0	76.0	11.0	525.0	474.0	51.0	175.0	180.0	110.0	10.0
в том числе в возрасте, лет:														
  до 16	854.0	496.0	358.0		65.0	81.0		917.0	313.0	604.0		37.0	46.0	
16 – 17	4.0	2.0	2.0	976.0	0.0	0.0	20.0	22.0	10.0	12.0	960.0	0.0	1.0	17.0
18 – 19	26.0	16.0	10.0	961.0	0.0	1.0	12.0	123.0	83.0	40.0	861.0	1.0	4.0	11.0
20 – 24	238.0	186.0	52.0	736.0	0.0	13.0	13.0	423.0	343.0	80.0	526.0	4.0	36.0	11.0
25 – 29	576.0	486.0	90.0	348.0	2.0	61.0	13.0	654.0	561.0	93.0	218.0	11.0	106.0	11.0
30 – 34	708.0	615.0	93.0	168.0	3.0	107.0	14.0	706.0	623.0	83.0	109.0	22.0	152.0	11.0
35 – 39	764.0	681.0	83.0	100.0	6.0	119.0	11.0	724.0	657.0	67.0	68.0	37.0	162.0	9.0
40 – 44	789.0	716.0	73.0	70.0	11.0	120.0	10.0	721.0	663.0	58.0	51.0	56.0	164.0	8.0
45 – 49	802.0	735.0	67.0	54.0	18.0	118.0	8.0	698.0	644.0	54.0	45.0	86.0	163.0	8.0
50 – 54	811.0	751.0	60.0	40.0	31.0	109.0	9.0	656.0	608.0	48.0	43.0	136.0	157.0	8.0
55 – 59	815.0	760.0	55.0	31.0	47.0	97.0	10.0	599.0	559.0	40.0	39.0	204.0	148.0	10.0
60 – 64	811.0	758.0	53.0	24.0	86.0	72.0	7.0	520.0	487.0	33.0	33.0	324.0	116.0	7.0
65 – 69	809.0	762.0	47.0	17.0	118.0	50.0	6.0	444.0	417.0	27.0	33.0	425.0	91.0	7.0
70 и более	712.0	676.0	36.0	10.0	246.0	26.0	6.0	229.0	215.0	14.0	52.0	658.0	54.0	7.0
возраст не указан	233.0	207.0	26.0	50.0	7.0	20.0	690.0	241.0	217.0	24.0	41.0	24.0	22.0	672.0
Городское население в возрасте 16 лет и более, включая лиц до 16 лет, указавших состояние в браке 	618.0	562.0	56.0	254.0	34.0	79.0	15.0	511.0	465.0	46.0	184.0	169.0	123.0	13.0
в том числе в возрасте, лет:														
  до 16	857.0	525.0	332.0		58.0	85.0		884.0	355.0	529.0		52.0	64.0	
