9. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМН																			
																			
	Численность населения соответству-ющей националь-ности	Всего указали источников средств к существова-нию
	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали
			
			доход от трудовой деятель-ности (кроме работы в личном подсобном хозяйстве)
	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государст-венного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию					
																один источник средств к существова-нию	два источника
	три источника
	четыре источника и более
АБАЗИНЫ																			
Карачаево-Черкесская Республика																			
Городское и сельское население	32346.0	43362.0	8159.0	3236.0	1109.0	5349.0	1492.0	7830.0	217.0	72.0	67.0	37.0	14431.0	1363.0	14.0	21478.0	10678.0	176.0	-
Городское население	12019.0	15717.0	4179.0	71.0	529.0	1236.0	535.0	2910.0	89.0	48.0	49.0	18.0	5340.0	713.0	14.0	8356.0	3586.0	63.0	-
Сельское население	20327.0	27645.0	3980.0	3165.0	580.0	4113.0	957.0	4920.0	128.0	24.0	18.0	19.0	9091.0	650.0	-	13122.0	7092.0	113.0	-
АЛЕУТЫ																			
Камчатская область																			
Городское и сельское население	446.0	709.0	188.0	117.0	9.0	75.0	12.0	79.0	6.0	10.0	2.0	-	167.0	44.0	-	209.0	212.0	24.0	1.0
Городское население	96.0	119.0	38.0	3.0	5.0	10.0	3.0	8.0	-	10.0	1.0	-	39.0	2.0	-	75.0	19.0	2.0	-
Сельское население	350.0	590.0	150.0	114.0	4.0	65.0	9.0	71.0	6.0	-	1.0	-	128.0	42.0	-	134.0	193.0	22.0	1.0
БЕСЕРМЯНЕ																			
Удмуртская Республика																			
Городское и сельское население	2998.0	5220.0	1415.0	1546.0	30.0	814.0	118.0	530.0	16.0	7.0	2.0	3.0	724.0	15.0	-	898.0	1979.0	120.0	1.0
Городское население	665.0	933.0	393.0	141.0	26.0	165.0	24.0	43.0	5.0	5.0	2.0	1.0	126.0	2.0	-	418.0	226.0	21.0	-
