4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И УРОВНЮ ОБРАЗОВАНИЯ  ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ											
											
	Всего	Имеющие образование								Не имеющие начального общего образования	Не указавшие уровень образования
		профессиональное					общее				
		послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное		
Центральный федеральный округ											
Городское и сельское  население	26495537.0	126643.0	5508187.0	1083251.0	7812595.0	3195078.0	4792729.0	2770730.0	537832.0	61320.0	607172.0
Экономически активные	17916210.0	107324.0	4599947.0	650855.0	6186375.0	2419291.0	2900973.0	866977.0	112308.0	12116.0	60044.0
в том числе:											
занятые в экономике	16396856.0	102996.0	4379733.0	567637.0	5732604.0	2180822.0	2557839.0	720851.0	93189.0	10300.0	50885.0
из них:											
учащиеся	598193.0	4639.0	52409.0	184123.0	140927.0	33748.0	162276.0	17854.0	1447.0	103.0	667.0
безработные	1519354.0	4328.0	220214.0	83218.0	453771.0	238469.0	343134.0	146126.0	19119.0	1816.0	9159.0
из них:											
учащиеся	174848.0	562.0	5617.0	47301.0	18306.0	5916.0	71645.0	23295.0	1677.0	43.0	486.0
Экономически неактивные	7450701.0	16924.0	824293.0	390353.0	1498239.0	729891.0	1745552.0	1741192.0	383778.0	42475.0	78004.0
Городское население	21690512.0	120720.0	5057464.0	1007736.0	6534811.0	2286764.0	3852037.0	1910656.0	290863.0	37093.0	592368.0
Экономически активные	14949434.0	102366.0	4232039.0	604740.0	5211458.0	1767865.0	2325785.0	570252.0	67751.0	9790.0	57388.0
в том числе:											
занятые в экономике	13741461.0	98297.0	4031072.0	526453.0	4841106.0	1602591.0	2053162.0	474638.0	57097.0	8504.0	48541.0
из них:											
учащиеся	542140.0	4486.0	49448.0	171941.0	122947.0	29456.0	146283.0	15566.0	1309.0	97.0	607.0
безработные	1207973.0	4069.0	200967.0	78287.0	370352.0	165274.0	272623.0	95614.0	10654.0	1286.0	8847.0
из них:											
учащиеся	161764.0	545.0	5454.0	45490.0	16394.0	5232.0	66657.0	20112.0	1378.0	43.0	459.0
Экономически неактивные	5726415.0	16062.0	746831.0	363263.0	1210667.0	483439.0	1398689.0	1215073.0	195767.0	21918.0	74706.0
Сельское население	4805025.0	5923.0	450723.0	75515.0	1277784.0	908314.0	940692.0	860074.0	246969.0	24227.0	14804.0
Экономически активные	2966776.0	4958.0	367908.0	46115.0	974917.0	651426.0	575188.0	296725.0	44557.0	2326.0	2656.0
в том числе:											
занятые в экономике	2655395.0	4699.0	348661.0	41184.0	891498.0	578231.0	504677.0	246213.0	36092.0	1796.0	2344.0
из них:											
учащиеся	56053.0	153.0	2961.0	12182.0	17980.0	4292.0	15993.0	2288.0	138.0	6.0	60.0
безработные	311381.0	259.0	19247.0	4931.0	83419.0	73195.0	70511.0	50512.0	8465.0	530.0	312.0
из них:											
учащиеся	13084.0	17.0	163.0	1811.0	1912.0	684.0	4988.0	3183.0	299.0	-	27.0
Экономически неактивные	1724286.0	862.0	77462.0	27090.0	287572.0	246452.0	346863.0	526119.0	188011.0	20557.0	3298.0
Белгородская область											
Городское и сельское  население	1035084.0	1803.0	163752.0	27585.0	347040.0	144598.0	197814.0	118679.0	25544.0	2449.0	5820.0
Экономически активные	666916.0	1554.0	135853.0	16010.0	269073.0	107108.0	106600.0	26385.0	3362.0	296.0	675.0
в том числе:											
занятые в экономике	596817.0	1468.0	126707.0	13526.0	243759.0	95457.0	91539.0	20917.0	2663.0	221.0	560.0
из них:											
учащиеся	20023.0	69.0	1461.0	5356.0	6336.0	1422.0	4892.0	457.0	27.0	-	3.0
безработные	70099.0	86.0	9146.0	2484.0	25314.0	11651.0	15061.0	5468.0	699.0	75.0	115.0
из них:											
учащиеся	7111.0	7.0	119.0	1335.0	1092.0	339.0	3055.0	1103.0	61.0	-	-
Экономически неактивные	346483.0	224.0	26475.0	11090.0	74916.0	36168.0	87893.0	86225.0	20542.0	2002.0	948.0
Городское население	711416.0	1526.0	133093.0	22736.0	259575.0	89257.0	123289.0	65892.0	9771.0	944.0	5333.0
Экономически активные	476167.0	1326.0	111667.0	13125.0	204500.0	68365.0	62818.0	12194.0	1465.0	185.0	522.0
в том числе:											
занятые в экономике	426261.0	1258.0	104013.0	11019.0	185331.0	60733.0	53019.0	9207.0	1112.0	145.0	424.0
из них:											
учащиеся	16495.0	61.0	1277.0	4418.0	5203.0	1155.0	3995.0	362.0	23.0	-	1.0
безработные	49906.0	68.0	7654.0	2106.0	19169.0	7632.0	9799.0	2987.0	353.0	40.0	98.0
из них:											
учащиеся	6054.0	4.0	102.0	1186.0	934.0	270.0	2656.0	862.0	40.0	-	-
Экономически неактивные	220320.0	175.0	20386.0	9202.0	52899.0	20165.0	58310.0	50091.0	7694.0	701.0	697.0
Сельское население	323668.0	277.0	30659.0	4849.0	87465.0	55341.0	74525.0	52787.0	15773.0	1505.0	487.0
Экономически активные	190749.0	228.0	24186.0	2885.0	64573.0	38743.0	43782.0	14191.0	1897.0	111.0	153.0
в том числе:											
занятые в экономике	170556.0	210.0	22694.0	2507.0	58428.0	34724.0	38520.0	11710.0	1551.0	76.0	136.0
из них:											
учащиеся	3528.0	8.0	184.0	938.0	1133.0	267.0	897.0	95.0	4.0	-	2.0
безработные	20193.0	18.0	1492.0	378.0	6145.0	4019.0	5262.0	2481.0	346.0	35.0	17.0
из них:											
учащиеся	1057.0	3.0	17.0	149.0	158.0	69.0	399.0	241.0	21.0	-	-
Экономически неактивные	126163.0	49.0	6089.0	1888.0	22017.0	16003.0	29583.0	36134.0	12848.0	1301.0	251.0
Брянская область											
Городское и сельское  население	922585.0	1289.0	125341.0	22411.0	284326.0	153359.0	184330.0	120225.0	26895.0	2701.0	1708.0
Экономически активные	601093.0	1131.0	106754.0	13908.0	222798.0	112385.0	108581.0	31323.0	3720.0	170.0	323.0
в том числе:											
занятые в экономике	525835.0	1080.0	100488.0	11886.0	199306.0	95829.0	90335.0	23801.0	2774.0	80.0	256.0
из них:											
учащиеся	19745.0	58.0	1392.0	4590.0	6831.0	1503.0	4931.0	424.0	14.0	1.0	1.0
безработные	75258.0	51.0	6266.0	2022.0	23492.0	16556.0	18246.0	7522.0	946.0	90.0	67.0
из них:											
учащиеся	5747.0	-	133.0	1007.0	878.0	262.0	2591.0	840.0	36.0	-	-
Экономически неактивные	313243.0	154.0	18130.0	8375.0	60062.0	40164.0	74278.0	86686.0	22482.0	2497.0	415.0
Городское население	657612.0	1036.0	105982.0	18286.0	220409.0	97976.0	128955.0	71283.0	10954.0	1224.0	1507.0
Экономически активные	447141.0	904.0	90754.0	11742.0	175031.0	74128.0	75997.0	16523.0	1701.0	106.0	255.0
в том числе:											
занятые в экономике	394480.0	868.0	85504.0	10080.0	157066.0	63899.0	63180.0	12350.0	1294.0	38.0	201.0
из них:											
учащиеся	17174.0	55.0	1246.0	4036.0	5872.0	1268.0	4331.0	352.0	12.0	1.0	1.0
безработные	52661.0	36.0	5250.0	1662.0	17965.0	10229.0	12817.0	4173.0	407.0	68.0	54.0
из них:											
учащиеся	4916.0	-	126.0	851.0	767.0	210.0	2279.0	663.0	20.0	-	-
Экономически неактивные	204771.0	128.0	14843.0	6440.0	44284.0	23332.0	51959.0	53442.0	8953.0	1098.0	292.0
Сельское население	264973.0	253.0	19359.0	4125.0	63917.0	55383.0	55375.0	48942.0	15941.0	1477.0	201.0
Экономически активные	153952.0	227.0	16000.0	2166.0	47767.0	38257.0	32584.0	14800.0	2019.0	64.0	68.0
в том числе:											
занятые в экономике	131355.0	212.0	14984.0	1806.0	42240.0	31930.0	27155.0	11451.0	1480.0	42.0	55.0
из них:											
учащиеся	2571.0	3.0	146.0	554.0	959.0	235.0	600.0	72.0	2.0	-	-
безработные	22597.0	15.0	1016.0	360.0	5527.0	6327.0	5429.0	3349.0	539.0	22.0	13.0
из них:											
учащиеся	831.0	-	7.0	156.0	111.0	52.0	312.0	177.0	16.0	-	-
Экономически неактивные	108472.0	26.0	3287.0	1935.0	15778.0	16832.0	22319.0	33244.0	13529.0	1399.0	123.0
Владимирская область											
Городское и сельское  население	1041137.0	2272.0	155344.0	24666.0	315564.0	161534.0	202812.0	137630.0	25905.0	2122.0	13288.0
Экономически активные	724727.0	1975.0	133643.0	16627.0	257792.0	127049.0	132379.0	48283.0	6005.0	218.0	756.0
в том числе:											
занятые в экономике	657408.0	1903.0	128067.0	14719.0	238750.0	113894.0	115708.0	38722.0	4870.0	168.0	607.0
из них:											
учащиеся	26281.0	82.0	1560.0	5816.0	7951.0	1947.0	7856.0	1031.0	29.0	-	9.0
безработные	67319.0	72.0	5576.0	1908.0	19042.0	13155.0	16671.0	9561.0	1135.0	50.0	149.0
из них:											
учащиеся	6960.0	12.0	97.0	1182.0	923.0	302.0	2808.0	1534.0	81.0	-	21.0
