7. ЖИЛИЩНЫЕ УСЛОВИЯ НАСЕЛЕНИЯ						
7.1. НАСЕЛЕНИЕ ПО ТИПАМ ЗАНИМАЕМЫХ ЖИЛЫХ ПОМЕЩЕНИЙ						
						
	Городское и сельское население		Городское население		Сельское население	
	1989.0	2002.0	1989.0	2002.0	1989.0	2002.0
Все население	147021869.0	145166731.0	107959002.0	106429049.0	39062867.0	38737682.0
в том числе проживающее:						
в индивидуальных домах, отдельных или коммунальных квартирах	131721523.0	131778833.0	94892360.0	94971684.0	36829163.0	36807149.0
из них:						
в индивидуальных домах	33025321.0	36641181.0	12344314.0	13956230.0	20681007.0	22684951.0
в отдельных квартирах	89917280.0	92953531.0	74388160.0	78975411.0	15529120.0	13978120.0
в коммунальных квартирах	8778922.0	2184121.0	8159886.0	2040043.0	619036.0	144078.0
в общежитиях	}  13264259	4721236.0	}  11541104	4457873.0	}   1723155	263363.0
в институциональных учреждениях		2270074.0		1713821.0		556253.0
в гостиницах		48032.0		42550.0		5482.0
в других жилых помещениях	775508.0	1121458.0	591901.0	976251.0	183607.0	145207.0
бездомные	…	142559.0	…	134409.0	…	8150.0
снимающие жилые помещения у отдельных граждан	1260579.0	4432153.0	933637.0	3598392.0	326942.0	833761.0
не указавшие тип жилого помещения	…	652386.0	…	534069.0	…	118317.0
В процентах ко всему населению – население, проживающее:	100.0	100.0	100.0	100.0	100.0	100.0
в индивидуальных домах, отдельных или коммунальных квартирах	89.6	90.8	87.9	89.2	94.3	95.0
из них:						
в индивидуальных домах	22.5	25.3	11.4	13.1	52.9	58.5
в отдельных квартирах	61.1	64.0	68.9	74.2	39.8	36.1
в коммунальных квартирах	6.0	1.5	7.6	1.9	1.6	0.4
в общежитиях	}             9,0	3.2	}      10,7 	4.2	}             4,4	0.7
в институциональных учреждениях		1.6		1.6		1.4
в гостиницах		0.0		0.1		0.0
в других жилых помещениях	0.5	0.8	0.5	0.9	0.5	0.4
бездомные	…	0.1	…	0.1	…	0.0
снимающие жилые помещения у отдельных граждан	0.9	3.1	0.9	3.4	0.8	2.2
не указавшие тип жилого помещения	…	0.4	…	0.5	…	0.3
