													
4. НАСЕЛЕНИЕ, УКАЗАВШЕЕ ОДИН ИСТОЧНИК СРЕДСТВ К СУЩЕСТВОВАНИЮ, ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Население, указавшее один источник средств к существованию	в том числе указали источником средств к существованию											
		доход от трудовой деятельности (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалидности)	пенсию по инвалидности	пособие (кроме пособия по безработице)	пособие по безработице	другой вид государственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существованию 
Центральный федеральный округ													
Городское и сельское население	29187425.0	14225393.0	276968.0	182145.0	6552434.0	882932.0	195076.0	116268.0	174915.0	44555.0	8029.0	5999948.0	528762.0
из него в возрасте, лет:													
до 15	2857720.0	1103.0	76.0	505.0	5695.0	6715.0	93600.0	-	30181.0	78.0	692.0	2714136.0	4939.0
15 – 19	1998500.0	361197.0	4107.0	104013.0	7590.0	12433.0	20782.0	3358.0	36696.0	529.0	414.0	1429522.0	17859.0
20 – 29	4702466.0	3434372.0	41931.0	75378.0	5372.0	46591.0	41528.0	22883.0	54294.0	8670.0	1248.0	845949.0	124250.0
30 – 49	10108616.0	8237284.0	175256.0	2138.0	121308.0	271888.0	33809.0	68052.0	39184.0	28017.0	4233.0	835922.0	291525.0
50 – 54	2235149.0	1613332.0	41511.0	-	204655.0	146580.0	3319.0	18862.0	4540.0	5146.0	1025.0	140496.0	55683.0
55 – 59	1086057.0	447731.0	10851.0	-	497169.0	79462.0	702.0	3085.0	1777.0	1569.0	277.0	23659.0	19775.0
60 – 64	1591295.0	84189.0	1350.0	-	1416378.0	75806.0	342.0	-	1820.0	255.0	57.0	3141.0	7957.0
65 и более	4593960.0	36789.0	1807.0	-	4293009.0	243253.0	943.0	-	6102.0	263.0	76.0	5879.0	5839.0
возраст не указан	13662.0	9396.0	79.0	111.0	1258.0	204.0	51.0	28.0	321.0	28.0	7.0	1244.0	935.0
Мужчины	13474578.0	7399992.0	145599.0	94045.0	1982406.0	452478.0	65359.0	43371.0	131823.0	27009.0	4217.0	2783295.0	344984.0
из них в возрасте, лет:													
до 15	1467331.0	660.0	40.0	297.0	2784.0	3978.0	47900.0	-	17620.0	43.0	362.0	1391010.0	2637.0
15 – 19	1040161.0	213804.0	1969.0	53282.0	3689.0	7860.0	8757.0	1016.0	31705.0	263.0	210.0	707014.0	10592.0
20 – 29	2459726.0	1903680.0	19445.0	39121.0	1775.0	29403.0	1919.0	8300.0	45118.0	5224.0	686.0	326735.0	78320.0
30 – 49	4975766.0	4095495.0	91140.0	1276.0	80572.0	151925.0	4891.0	25181.0	29376.0	16893.0	2152.0	286437.0	190428.0
50 – 54	1033444.0	765686.0	21571.0	-	76175.0	71414.0	999.0	5777.0	3182.0	2907.0	505.0	48841.0	36387.0
55 – 59	536822.0	338051.0	9973.0	-	97421.0	48965.0	489.0	3085.0	1372.0	1366.0	223.0	19383.0	16494.0
60 – 64	599067.0	55116.0	788.0	-	495782.0	38675.0	147.0	-	1160.0	168.0	39.0	1369.0	5823.0
65 и более	1354447.0	21678.0	633.0	-	1223810.0	100170.0	237.0	-	2085.0	125.0	36.0	1940.0	3733.0
возраст не указан	7814.0	5822.0	40.0	69.0	398.0	88.0	20.0	12.0	205.0	20.0	4.0	566.0	570.0
Женщины	15712847.0	6825401.0	131369.0	88100.0	4570028.0	430454.0	129717.0	72897.0	43092.0	17546.0	3812.0	3216653.0	183778.0
из них в возрасте, лет:													
до 15	1390389.0	443.0	36.0	208.0	2911.0	2737.0	45700.0	-	12561.0	35.0	330.0	1323126.0	2302.0
15 – 19	958339.0	147393.0	2138.0	50731.0	3901.0	4573.0	12025.0	2342.0	4991.0	266.0	204.0	722508.0	7267.0
20 – 29	2242740.0	1530692.0	22486.0	36257.0	3597.0	17188.0	39609.0	14583.0	9176.0	3446.0	562.0	519214.0	45930.0
30 – 49	5132850.0	4141789.0	84116.0	862.0	40736.0	119963.0	28918.0	42871.0	9808.0	11124.0	2081.0	549485.0	101097.0
50 – 54	1201705.0	847646.0	19940.0	-	128480.0	75166.0	2320.0	13085.0	1358.0	2239.0	520.0	91655.0	19296.0
55 – 59	549235.0	109680.0	878.0	-	399748.0	30497.0	213.0	-	405.0	203.0	54.0	4276.0	3281.0
60 – 64	992228.0	29073.0	562.0	-	920596.0	37131.0	195.0	-	660.0	87.0	18.0	1772.0	2134.0
65 и более	3239513.0	15111.0	1174.0	-	3069199.0	143083.0	706.0	-	4017.0	138.0	40.0	3939.0	2106.0
возраст не указан	5848.0	3574.0	39.0	42.0	860.0	116.0	31.0	16.0	116.0	8.0	3.0	678.0	365.0
Городское население	24636052.0	12444820.0	57707.0	167750.0	5185524.0	705489.0	141420.0	97809.0	142494.0	40980.0	7079.0	5197825.0	447155.0
из него в возрасте, лет:													
до 15	2507019.0	980.0	43.0	429.0	4341.0	5058.0	61810.0	-	22838.0	76.0	636.0	2406226.0	4582.0
15 – 19	1697061.0	295117.0	758.0	92895.0	5644.0	8397.0	13396.0	2551.0	31702.0	481.0	368.0	1230933.0	14819.0
20 – 29	4027842.0	2978768.0	7427.0	72230.0	4501.0	33353.0	33107.0	18904.0	46344.0	8065.0	1126.0	715631.0	108386.0
30 – 49	8661708.0	7218318.0	36728.0	2091.0	106935.0	205831.0	28575.0	57619.0	31412.0	25771.0	3739.0	700596.0	244093.0
50 – 54	1917850.0	1425682.0	9410.0	-	176959.0	116502.0	2877.0	16094.0	3398.0	4651.0	851.0	116781.0	44645.0
55 – 59	935768.0	402957.0	2166.0	-	424251.0	64971.0	599.0	2616.0	1247.0	1436.0	229.0	18767.0	16529.0
60 – 64	1294018.0	78854.0	432.0	-	1140321.0	62454.0	275.0	-	1122.0	226.0	53.0	2648.0	7633.0
65 и более	3581949.0	35082.0	697.0	-	3321521.0	208740.0	736.0	-	4167.0	246.0	71.0	5106.0	5583.0
возраст не указан	12837.0	9062.0	46.0	105.0	1051.0	183.0	45.0	25.0	264.0	28.0	6.0	1137.0	885.0
Мужчины	11361849.0	6427352.0	29921.0	86570.0	1577379.0	347266.0	44719.0	36474.0	108879.0	24765.0	3697.0	2386162.0	288665.0
из них в возрасте, лет:													
до 15	1286808.0	570.0	24.0	244.0	2116.0	2955.0	31769.0	-	13290.0	42.0	332.0	1233024.0	2442.0
15 – 19	878670.0	172870.0	377.0	47406.0	2694.0	5223.0	5570.0	751.0	28027.0	242.0	188.0	606515.0	8807.0
20 – 29	2095342.0	1639800.0	3708.0	37599.0	1518.0	20938.0	1657.0	7039.0	38677.0	4837.0	623.0	270620.0	68326.0
30 – 49	4214109.0	3567835.0	18632.0	1254.0	71424.0	111448.0	4131.0	21225.0	23307.0	15496.0	1884.0	220181.0	157292.0
50 – 54	872027.0	667827.0	4796.0	-	67393.0	54763.0	853.0	4832.0	2377.0	2605.0	417.0	37555.0	28609.0
55 – 59	460110.0	300750.0	1887.0	-	84595.0	39000.0	419.0	2616.0	977.0	1252.0	179.0	14974.0	13461.0
60 – 64	481382.0	51365.0	218.0	-	390996.0	31169.0	117.0	-	698.0	150.0	36.0	1074.0	5559.0
65 и более	1065986.0	20692.0	252.0	-	956311.0	81689.0	185.0	-	1363.0	121.0	35.0	1712.0	3626.0
возраст не указан	7415.0	5643.0	27.0	67.0	332.0	81.0	18.0	11.0	163.0	20.0	3.0	507.0	543.0
Женщины	13274203.0	6017468.0	27786.0	81180.0	3608145.0	358223.0	96701.0	61335.0	33615.0	16215.0	3382.0	2811663.0	158490.0
из них в возрасте, лет:													
до 15	1220211.0	410.0	19.0	185.0	2225.0	2103.0	30041.0	-	9548.0	34.0	304.0	1173202.0	2140.0
15 – 19	818391.0	122247.0	381.0	45489.0	2950.0	3174.0	7826.0	1800.0	3675.0	239.0	180.0	624418.0	6012.0
20 – 29	1932500.0	1338968.0	3719.0	34631.0	2983.0	12415.0	31450.0	11865.0	7667.0	3228.0	503.0	445011.0	40060.0
30 – 49	4447599.0	3650483.0	18096.0	837.0	35511.0	94383.0	24444.0	36394.0	8105.0	10275.0	1855.0	480415.0	86801.0
50 – 54	1045823.0	757855.0	4614.0	-	109566.0	61739.0	2024.0	11262.0	1021.0	2046.0	434.0	79226.0	16036.0
55 – 59	475658.0	102207.0	279.0	-	339656.0	25971.0	180.0	-	270.0	184.0	50.0	3793.0	3068.0
60 – 64	812636.0	27489.0	214.0	-	749325.0	31285.0	158.0	-	424.0	76.0	17.0	1574.0	2074.0
65 и более	2515963.0	14390.0	445.0	-	2365210.0	127051.0	551.0	-	2804.0	125.0	36.0	3394.0	1957.0
возраст не указан	5422.0	3419.0	19.0	38.0	719.0	102.0	27.0	14.0	101.0	8.0	3.0	630.0	342.0
Сельское население	4551373.0	1780573.0	219261.0	14395.0	1366910.0	177443.0	53656.0	18459.0	32421.0	3575.0	950.0	802123.0	81607.0
из него в возрасте, лет:													
до 15	350701.0	123.0	33.0	76.0	1354.0	1657.0	31790.0	-	7343.0	2.0	56.0	307910.0	357.0
15 – 19	301439.0	66080.0	3349.0	11118.0	1946.0	4036.0	7386.0	807.0	4994.0	48.0	46.0	198589.0	3040.0
20 – 29	674624.0	455604.0	34504.0	3148.0	871.0	13238.0	8421.0	3979.0	7950.0	605.0	122.0	130318.0	15864.0
30 – 49	1446908.0	1018966.0	138528.0	47.0	14373.0	66057.0	5234.0	10433.0	7772.0	2246.0	494.0	135326.0	47432.0
50 – 54	317299.0	187650.0	32101.0	-	27696.0	30078.0	442.0	2768.0	1142.0	495.0	174.0	23715.0	11038.0
