13. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА		
В ВОЗРАСТЕ 15-64 ЛЕТ ПО ЗАНЯТИЯМ		
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС		
		
	Численность населения	
	человек	в % к итогу
АЛЕУТЫ		
Камчатская область		
Население, занятое в экономике 	137.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	16.0	11.7
специалисты высшего уровня квалификации	10.0	7.3
специалисты среднего уровня квалификации	17.0	12.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	4.0	2.9
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	12.0	8.8
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	3.0	2.2
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	27.0	19.7
операторы, аппаратчики, машинисты установок и машин	22.0	16.1
неквалифицированные рабочие	25.0	18.2
занятые на военной службе	1.0	0.7
лица, неточно указавшие или не указавшие  занятия	-	-
ДОЛГАНЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	2500.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	163.0	6.5
специалисты высшего уровня квалификации	185.0	7.4
специалисты среднего уровня квалификации	314.0	12.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	61.0	2.4
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	252.0	10.1
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	553.0	22.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	241.0	9.7
операторы, аппаратчики, машинисты установок и машин	113.0	4.5
неквалифицированные рабочие	612.0	24.5
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	6.0	0.2
Красноярский край		
Население, занятое в экономике 	2175.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	132.0	6.1
специалисты высшего уровня квалификации	161.0	7.4
специалисты среднего уровня квалификации	250.0	11.5
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	51.0	2.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	209.0	9.6
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	491.0	22.6
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	210.0	9.7
операторы, аппаратчики, машинисты установок и машин	89.0	4.1
неквалифицированные рабочие	577.0	26.5
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	5.0	0.2
Таймырский (Долгано-Ненецкий) автономный округ		
Население, занятое в экономике 	2164.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	131.0	6.1
специалисты высшего уровня квалификации	159.0	7.4
специалисты среднего уровня квалификации	247.0	11.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	50.0	2.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	208.0	9.6
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	491.0	22.7
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	210.0	9.7
операторы, аппаратчики, машинисты установок и машин	89.0	4.1
неквалифицированные рабочие	574.0	26.5
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	5.0	0.2
Республика Саха (Якутия)		
Население, занятое в экономике 	325.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	31.0	9.5
специалисты высшего уровня квалификации	24.0	7.4
специалисты среднего уровня квалификации	64.0	19.7
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	10.0	3.1
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	43.0	13.2
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	62.0	19.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	31.0	9.5
операторы, аппаратчики, машинисты установок и машин	24.0	7.4
неквалифицированные рабочие	35.0	10.8
занятые на военной службе	-	-
лица, неточно указавшие или не указавшие  занятия	1.0	0.3
ИТЕЛЬМЕНЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	520.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	59.0	11.4
специалисты высшего уровня квалификации	73.0	14.0
специалисты среднего уровня квалификации	76.0	14.6
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	12.0	2.3
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	71.0	13.7
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	28.0	5.4
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	49.0	9.4
операторы, аппаратчики, машинисты установок и машин	62.0	11.9
неквалифицированные рабочие	86.0	16.5
занятые на военной службе	1.0	0.2
лица, неточно указавшие или не указавшие  занятия	3.0	0.6
Камчатская область		
Население, занятое в экономике 	431.0	100.0
в том числе по группам занятий:		
руководители (представители) органов власти и управления всех уровней, включая руководителей учреждений, организаций и предприятий	50.0	11.6
специалисты высшего уровня квалификации	65.0	15.1
специалисты среднего уровня квалификации	62.0	14.4
работники, занятые подготовкой информации, оформлением документации, учетом и обслуживанием	11.0	2.6
работники сферы обслуживания, жилищно-коммунального хозяйства, торговли и родственных видов деятельности	56.0	13.0
квалифицированные работники сельского, лесного, охотничьего хозяйств, рыбоводства и рыболовства	22.0	5.1
квалифицированные рабочие крупных и мелких промышленных предприятий, художественных промыслов, строительства, транспорта, связи, геологии и разведки недр	41.0	9.5
операторы, аппаратчики, машинисты установок и машин	57.0	13.2
