8. ХАРАКТЕРИСТИКА ГРАЖДАН РОССИИ, НАХОДИВШИХСЯ ПО ДОЛГУ СЛУЖБЫ ЗА РУБЕЖОМ,  			
И НАСЕЛЕНИЯ, ВРЕМЕННО НАХОДИВШЕГОСЯ НА ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ			
8.1. ГРАЖДАНЕ РОССИИ, НАХОДИВШИЕСЯ ПО ДОЛГУ СЛУЖБЫ ЗА РУБЕЖОМ, ПО ВОЗРАСТНЫМ ГРУППАМ И ПОЛУ			
			
	Мужчины и женщины	Мужчины	Женщины
Граждане России, находившиеся по долгу службы за рубежом	107288.0	67058.0	40230.0
в том числе в возрасте, лет:			
0 – 4	4967.0	2555.0	2412.0
5 – 9	5472.0	2855.0	2617.0
10 – 14	7276.0	3831.0	3445.0
15 – 19	11496.0	8815.0	2681.0
20 – 24	13523.0	10863.0	2660.0
25 – 29	11032.0	6953.0	4079.0
30 – 34	10788.0	6596.0	4192.0
35 – 39	10850.0	6542.0	4308.0
40 – 44	11856.0	6961.0	4895.0
45 – 49	8502.0	4730.0	3772.0
50 – 54	6107.0	3362.0	2745.0
55 – 59	2935.0	1703.0	1232.0
60 – 64	1398.0	796.0	602.0
65 – 69	499.0	259.0	240.0
70 и более	438.0	149.0	289.0
возраст не указан	149.0	88.0	61.0
Из общей численности - население в возрасте:			
моложе трудоспособного	19264.0	10058.0	9206.0
трудоспособном	84308.0	55708.0	28600.0
старше трудоспособного	3567.0	1204.0	2363.0
Медианный возраст	29.9	28.4	32.6
