6. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ЗАНЯТЫХ  В ЭКОНОМИКЕ И ЧИСЛУ ИЖДИВЕНЦЕВ							
							
	Число частных домохозяйств	Из них домохозяйства, в которых имеются иждивенцы	в том числе домохозяйства с количеством иждивенцев				Домохозяйства, в которых нет иждивенцев
			1 человек	2 человека	3 и более человек		
					число домохозяйств	в них иждивенцев	
Городские и сельские населенные пункты							
Все домохозяйства	40969926.0	16438990.0	11182490.0	4076019.0	1180481.0	3946956.0	24530936.0
в них членов домохозяйств	131012649.0	60718640.0	37764904.0	16678568.0	6275168.0		70294009.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	14534669.0	2337971.0	2216567.0	121404.0			12196698.0
из них имеют занятых							
1 человека	5449619.0	1524760.0	1524760.0				3924859.0
2 человек	3177656.0						3177656.0
3 человек	12536743.0	5800227.0	4751531.0	999799.0	48897.0	146691.0	6736516.0
из них имеют занятых							
1 человека	4290597.0	2348845.0	1526943.0	821902.0			1941752.0
2 человек	5656770.0	2737532.0	2737532.0				2919238.0
3 человек	1037645.0						1037645.0
4 человек	8943575.0	5177543.0	2785039.0	1966411.0	426093.0	1297230.0	3766032.0
из них имеют занятых							
1 человека	2384363.0	1623061.0	781457.0	489791.0	351813.0	1055439.0	761302.0
2 человек	4218950.0	2481575.0	1144056.0	1337519.0			1737375.0
3 человек	1322740.0	672984.0	672984.0				649756.0
4 человек	281523.0						281523.0
5 и более человек	4954939.0	3123249.0	1429353.0	988405.0	705491.0	2503035.0	1831690.0
в них членов домохозяйств	28558782.0	17931845.0	7937021.0	5570719.0	4424105.0		10626937.0
из них имеют занятых							
1 человека	1092691.0	749449.0	308078.0	201624.0	239747.0	858464.0	343242.0
2 человек	1668944.0	1053922.0	427555.0	383846.0	242521.0	794596.0	615022.0
3 человек	977290.0	657618.0	349601.0	238650.0	69367.0	234453.0	319672.0
4 человек	450078.0	262016.0	183572.0	57362.0	21082.0	74088.0	188062.0
5 и более человек	165953.0	59522.0	35730.0	14365.0	9427.0	36365.0	106431.0
в них занятых	1155192.0	340026.0	199830.0	81764.0	58432.0		815166.0
Домохозяйства, в которых есть занятые	32174819.0	14171284.0	9692268.0	3545059.0	933957.0	3053405.0	18003535.0
в них членов домохозяйств	107819256.0	53217507.0	33434557.0	14793559.0	4989391.0		54601749.0
Домохозяйства, в которых нет занятых	8795107.0	2267706.0	1490222.0	530960.0	246524.0	893551.0	6527401.0
в них членов домохозяйств	23193393.0	7501133.0	4330347.0	1885009.0	1285777.0		15692260.0
Городские населенные пункты							
Все домохозяйства	30468012.0	13515525.0	9119172.0	3437345.0	959008.0	3178451.0	16952487.0
в них членов домохозяйств	95812249.0	48832125.0	30087943.0	13810526.0	4933656.0		46980124.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	10871183.0	2001097.0	1889125.0	111972.0			8870086.0
из них имеют занятых							
1 человека	4419477.0	1361574.0	1361574.0				3057903.0
2 человек	2608273.0						2608273.0
3 человек	9802757.0	4967280.0	4034536.0	887327.0	45417.0	136251.0	4835477.0
из них имеют занятых							
1 человека	3310872.0	1994682.0	1250879.0	743803.0			1316190.0
2 человек	4600545.0	2441162.0	2441162.0				2159383.0
3 человек	876837.0						876837.0
4 человек	6614683.0	4277055.0	2218876.0	1680134.0	378045.0	1151576.0	2337628.0
из них имеют занятых							
1 человека	1660652.0	1286651.0	565837.0	404891.0	315923.0	947769.0	374001.0
2 человек	3184318.0	2123828.0	945593.0	1178235.0			1060490.0
3 человек	1101627.0	598229.0	598229.0				503398.0
4 человек	242516.0						242516.0
5 и более человек	3179389.0	2270093.0	976635.0	757912.0	535546.0	1890624.0	909296.0
в них членов домохозяйств	18202880.0	12819871.0	5330581.0	4204065.0	3285225.0		5383009.0
из них имеют занятых							
1 человека	601731.0	491611.0	168895.0	138812.0	183904.0	658783.0	110120.0
2 человек	1092291.0	806152.0	299852.0	309438.0	196862.0	642634.0	286139.0
3 человек	737751.0	537921.0	276081.0	203840.0	58000.0	195320.0	199830.0
4 человек	354533.0	221551.0	154743.0	49131.0	17677.0	61722.0	132982.0
5 и более человек	141035.0	50825.0	30231.0	12414.0	8180.0	31464.0	90210.0
в них занятых	1018769.0	293314.0	170636.0	71304.0	51374.0		725455.0
Домохозяйства, в которых есть занятые	24932458.0	11914186.0	8093076.0	3040564.0	780546.0	2537692.0	13018272.0
в них членов домохозяйств	81748562.0	43890730.0	27297057.0	12513211.0	4080462.0		37857832.0
Домохозяйства, в которых нет занятых	5535554.0	1601339.0	1026096.0	396781.0	178462.0	640759.0	3934215.0
в них членов домохозяйств	14063687.0	4941395.0	2790886.0	1297315.0	853194.0		9122292.0
Сельские населенные пункты							
Все домохозяйства	10501914.0	2923465.0	2063318.0	638674.0	221473.0	768505.0	7578449.0
в них членов домохозяйств	35200400.0	11886515.0	7676961.0	2868042.0	1341512.0		23313885.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	3663486.0	336874.0	327442.0	9432.0			3326612.0
из них имеют занятых							
1 человека	1030142.0	163186.0	163186.0				866956.0
2 человек	569383.0						569383.0
3 человек	2733986.0	832947.0	716995.0	112472.0	3480.0	10440.0	1901039.0
из них имеют занятых							
1 человека	979725.0	354163.0	276064.0	78099.0			625562.0
2 человек	1056225.0	296370.0	296370.0				759855.0
3 человек	160808.0						160808.0
4 человек	2328892.0	900488.0	566163.0	286277.0	48048.0	145654.0	1428404.0
из них имеют занятых							
1 человека	723711.0	336410.0	215620.0	84900.0	35890.0	107670.0	387301.0
2 человек	1034632.0	357747.0	198463.0	159284.0			676885.0
3 человек	221113.0	74755.0	74755.0				146358.0
4 человек	39007.0						39007.0
5 и более человек	1775550.0	853156.0	452718.0	230493.0	169945.0	612411.0	922394.0
в них членов домохозяйств	10355902.0	5111974.0	2606440.0	1366654.0	1138880.0		5243928.0
из них имеют занятых							
1 человека	490960.0	257838.0	139183.0	62812.0	55843.0	199681.0	233122.0
2 человек	576653.0	247770.0	127703.0	74408.0	45659.0	151962.0	328883.0
3 человек	239539.0	119697.0	73520.0	34810.0	11367.0	39133.0	119842.0
