5. ОБЕСПЕЧЕННОСТЬ РАЗЛИЧНЫМИ ВИДАМИ БЛАГОУСТРОЙСТВА ЖИЛОГО ПОМЕЩЕНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ,
ПРОЖИВАЮЩИХ В ИНДИВИДУАЛЬНЫХ ДОМАХ, ОТДЕЛЬНЫХ И КОММУНАЛЬНЫХ КВАРТИРАХ1) ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																
																
	Всего домохозяйств	число домохозяйств, проживающих в помещениях, оборудованных														Число домохозяйств, не указавших виды благоустройства
		электричеством	электроплитой напольной	газом сетевым	газом сжиженным (баллонным)	центральным отоплением	отоплением от индивидуальных установок, котлов	отоплением печным	водопроводом	канализацией	ванной или душем	центральным горячим водо-снабжением	горячим водоснабжением от индивидуальных водо-нагревателей	всеми видами благоустройства	никаких указанных видов благоустройства нет	
Российская Федерация																
Городские и сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	48368354.0	47982638.0	9025090.0	26361589.0	9418325.0	30230847.0	7349247.0	10132826.0	37021048.0	34209993.0	31977745.0	23258464.0	5973103.0	27956804.0	16571.0	219614.0
в том числе:																
в индивидуальных домах	12953678.0	12843242.0	742368.0	5304450.0	5042348.0	356335.0	5327885.0	7043713.0	4783611.0	2906764.0	2068919.0	102391.0	1317152.0	1216325.0	9915.0	39940.0
в отдельных квартирах	34463400.0	34213124.0	8162440.0	20365428.0	4298321.0	29098072.0	1946401.0	3023442.0	31382210.0	30476926.0	29225065.0	22641585.0	4482448.0	26121985.0	6337.0	157698.0
в коммунальных квартирах	951276.0	926272.0	120282.0	691711.0	77656.0	776440.0	74961.0	65671.0	855227.0	826303.0	683761.0	514488.0	173503.0	618494.0	319.0	21976.0
Городские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	35364766.0	35075909.0	8065458.0	21721820.0	3761195.0	28127748.0	3449380.0	3295466.0	31562490.0	30166336.0	28751004.0	22330218.0	4902231.0	26118574.0	11729.0	183028.0
в том числе:																
в индивидуальных домах	4870200.0	4821701.0	342092.0	2505246.0	1321792.0	223929.0	2444385.0	2094050.0	2410172.0	1472025.0	1078895.0	79431.0	766039.0	708274.0	6047.0	19355.0
в отдельных квартирах	29598314.0	29381583.0	7609066.0	18550184.0	2378764.0	27147223.0	941221.0	1156900.0	28326316.0	27892497.0	27007586.0	21746654.0	3966520.0	24804636.0	5379.0	142823.0
в коммунальных квартирах	896252.0	872625.0	114300.0	666390.0	60639.0	756596.0	63774.0	44516.0	826002.0	801814.0	664523.0	504133.0	169672.0	605664.0	303.0	20850.0
Сельские населенные пункты																
Домохозяйства, проживающие в индивидуальных домах и квартирах	13003588.0	12906729.0	959632.0	4639769.0	5657130.0	2103099.0	3899867.0	6837360.0	5458558.0	4043657.0	3226741.0	928246.0	1070872.0	1838230.0	4842.0	36586.0
в том числе:																
в индивидуальных домах	8083478.0	8021541.0	400276.0	2799204.0	3720556.0	132406.0	2883500.0	4949663.0	2373439.0	1434739.0	990024.0	22960.0	551113.0	508051.0	3868.0	20585.0
в отдельных квартирах	4865086.0	4831541.0	553374.0	1815244.0	1919557.0	1950849.0	1005180.0	1866542.0	3055894.0	2584429.0	2217479.0	894931.0	515928.0	1317349.0	958.0	14875.0
в коммунальных квартирах	55024.0	53647.0	5982.0	25321.0	17017.0	19844.0	11187.0	21155.0	29225.0	24489.0	19238.0	10355.0	3831.0	12830.0	16.0	1126.0
Центральный федеральный округ																
Белгородская область																
Городские и сельские населенные пункты																
