8. ГРУППИРОВКА СЕЛЬСКИХ АДМИНИСТРАЦИЙ ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
	Всего	из них с числом жителей								
		500 и менее	501-1000	1001-1500	1501-2000	2001-3000	3001-4000	4001-5000	5001-7000	более 7000
Российская Федерация										
Число сельских администраций	24464.0	4211.0	7974.0	4757.0	2724.0	2222.0	905.0	491.0	639.0	541.0
численность населения	37966658.0	1442771.0	5864212.0	5807229.0	4686713.0	5333520.0	3093402.0	2190084.0	3714006.0	5834721.0
мужчины	18071526.0	684334.0	2777669.0	2761113.0	2227148.0	2550271.0	1473859.0	1048055.0	1769056.0	2780021.0
женщины	19895132.0	758437.0	3086543.0	3046116.0	2459565.0	2783249.0	1619543.0	1142029.0	1944950.0	3054700.0
Центральный федеральный округ										
Число сельских администраций	6136.0	1529.0	2184.0	1007.0	533.0	435.0	203.0	93.0	92.0	60.0
численность населения	7537545.0	530945.0	1576291.0	1225267.0	914316.0	1049053.0	692136.0	417325.0	534975.0	597237.0
мужчины	3482329.0	244270.0	723948.0	562493.0	420143.0	488418.0	318041.0	193143.0	249716.0	282157.0
женщины	4055216.0	286675.0	852343.0	662774.0	494173.0	560635.0	374095.0	224182.0	285259.0	315080.0
Белгородская область										
Число сельских администраций	335.0	14.0	114.0	77.0	56.0	43.0	19.0	6.0	5.0	1.0
численность населения	517769.0	5699.0	90267.0	95798.0	95490.0	104565.0	63322.0	26889.0	27340.0	8399.0
мужчины	236598.0	2536.0	41138.0	43626.0	43679.0	47659.0	28950.0	12325.0	12784.0	3901.0
женщины	281171.0	3163.0	49129.0	52172.0	51811.0	56906.0	34372.0	14564.0	14556.0	4498.0
Брянская область										
Число сельских администраций	420.0	72.0	196.0	97.0	23.0	18.0	8.0	-	5.0	1.0
численность населения	432931.0	27593.0	138468.0	116842.0	40639.0	42270.0	28003.0	-	29813.0	9303.0
мужчины	199426.0	12819.0	63620.0	53370.0	18566.0	19529.0	13036.0	-	14070.0	4416.0
женщины	233505.0	14774.0	74848.0	63472.0	22073.0	22741.0	14967.0	-	15743.0	4887.0
Владимирская область										
Число сельских администраций	227.0	29.0	78.0	45.0	35.0	27.0	8.0	2.0	3.0	-
численность населения	305420.0	10949.0	57462.0	55783.0	60331.0	66986.0	26888.0	8696.0	18325.0	-
мужчины	139390.0	5014.0	25984.0	25281.0	27527.0	30585.0	12324.0	3521.0	9154.0	-
женщины	166030.0	5935.0	31478.0	30502.0	32804.0	36401.0	14564.0	5175.0	9171.0	-
Воронежская область										
Число сельских администраций	493.0	13.0	147.0	122.0	79.0	69.0	25.0	13.0	15.0	10.0
