10. ГРУППИРОВКА РАЙОНОВ (КРОМЕ ГОРОДСКИХ) ПО ЧИСЛУ СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ                                                                                                         ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
	Всего	в том числе с числом сельских населенных пунктов							
		1-20	21-40	41-60	61-100	101-150	151-200	201-300	более 300
Российская Федерация									
Число районов	1865.0	246.0	445.0	352.0	372.0	194.0	100.0	94.0	62.0
численность сельского населения	37659548.0	3378016.0	9224457.0	7891566.0	8377205.0	4000617.0	1537481.0	2045876.0	1204330.0
мужчины	17931421.0	1639203.0	4435981.0	3768476.0	3976702.0	1875257.0	716669.0	958524.0	560609.0
женщины	19728127.0	1738813.0	4788476.0	4123090.0	4400503.0	2125360.0	820812.0	1087352.0	643721.0
Центральный федеральный округ									
Число районов	423.0	3.0	17.0	45.0	104.0	108.0	64.0	53.0	29.0
численность сельского населения	7571708.0	38956.0	278954.0	787891.0	1804502.0	1830916.0	979651.0	1244010.0	606828.0
мужчины	3498914.0	18965.0	128788.0	362768.0	834163.0	841898.0	452250.0	580065.0	280017.0
женщины	4072794.0	19991.0	150166.0	425123.0	970339.0	989018.0	527401.0	663945.0	326811.0
Белгородская область									
Число районов	21.0	-	4.0	4.0	8.0	5.0	-	-	-
численность сельского населения	526036.0	-	61629.0	65406.0	247432.0	151569.0	-	-	-
мужчины	240439.0	-	28372.0	29771.0	113703.0	68593.0	-	-	-
женщины	285597.0	-	33257.0	35635.0	133729.0	82976.0	-	-	-
Брянская область									
Число районов	27.0	-	2.0	2.0	12.0	9.0	1.0	1.0	-
численность сельского населения	435559.0	-	14687.0	17613.0	182785.0	165200.0	25930.0	29344.0	-
мужчины	200666.0	-	6804.0	8225.0	85027.0	75677.0	11703.0	13230.0	-
женщины	234893.0	-	7883.0	9388.0	97758.0	89523.0	14227.0	16114.0	-
Владимирская область									
Число районов	16.0	-	-	-	2.0	5.0	7.0	2.0	-
численность сельского населения	306594.0	-	-	-	38271.0	75765.0	153184.0	39374.0	-
мужчины	139909.0	-	-	-	17080.0	34145.0	70803.0	17881.0	-
женщины	166685.0	-	-	-	21191.0	41620.0	82381.0	21493.0	-
Воронежская область									
Число районов	32.0	1.0	6.0	11.0	13.0	1.0	-	-	-
численность сельского населения	869105.0	23086.0	128638.0	312824.0	370890.0	33667.0	-	-	-
мужчины	400692.0	10665.0	59222.0	143875.0	171603.0	15327.0	-	-	-
женщины	468413.0	12421.0	69416.0	168949.0	199287.0	18340.0	-	-	-
Ивановская область									
Число районов	21.0	-	-	-	2.0	10.0	6.0	3.0	-
численность сельского населения	197897.0	-	-	-	14041.0	65257.0	60403.0	58196.0	-
мужчины	92748.0	-	-	-	7135.0	30095.0	27705.0	27813.0	-
женщины	105149.0	-	-	-	6906.0	35162.0	32698.0	30383.0	-
Калужская область									
Число районов	24.0	-	-	-	6.0	10.0	7.0	1.0	-
численность сельского населения	246278.0	-	-	-	44850.0	96444.0	80680.0	24304.0	-
мужчины	112848.0	-	-	-	20404.0	44031.0	37121.0	11292.0	-
женщины	133430.0	-	-	-	24446.0	52413.0	43559.0	13012.0	-
Костромская область									
Число районов	24.0	-	1.0	2.0	4.0	6.0	7.0	3.0	1.0
численность сельского населения	239607.0	-	5508.0	12027.0	24139.0	51916.0	73653.0	60861.0	11503.0
мужчины	112103.0	-	2508.0	5814.0	11336.0	24725.0	34620.0	27726.0	5374.0
женщины	127504.0	-	3000.0	6213.0	12803.0	27191.0	39033.0	33135.0	6129.0
Курская область									
Число районов	28.0	-	-	5.0	12.0	8.0	3.0	-	-
численность сельского населения	478611.0	-	-	72168.0	187694.0	129672.0	89077.0	-	-
мужчины	220538.0	-	-	33169.0	86509.0	59339.0	41521.0	-	-
женщины	258073.0	-	-	38999.0	101185.0	70333.0	47556.0	-	-
Липецкая область									
Число районов	18.0	-	-	5.0	7.0	6.0	-	-	-
численность сельского населения	433516.0	-	-	117937.0	178985.0	136594.0	-	-	-
мужчины	198894.0	-	-	53545.0	82421.0	62928.0	-	-	-
женщины	234622.0	-	-	64392.0	96564.0	73666.0	-	-	-
Московская область									
Число районов	39.0	2.0	2.0	2.0	7.0	8.0	6.0	10.0	2.0
численность сельского населения	1367422.0	15870.0	40625.0	25054.0	170277.0	296512.0	173422.0	555707.0	89955.0
мужчины	638356.0	8300.0	18933.0	11265.0	78027.0	139198.0	79716.0	260657.0	42260.0
женщины	729066.0	7570.0	21692.0	13789.0	92250.0	157314.0	93706.0	295050.0	47695.0
Орловская область									
Число районов	24.0	-	-	1.0	10.0	6.0	4.0	3.0	-
численность сельского населения	313784.0	-	-	8610.0	82374.0	94671.0	45035.0	83094.0	-
мужчины	144952.0	-	-	3959.0	38245.0	43108.0	20895.0	38745.0	-
женщины	168832.0	-	-	4651.0	44129.0	51563.0	24140.0	44349.0	-
Рязанская область									
Число районов	25.0	-	-	5.0	6.0	9.0	3.0	2.0	-
численность сельского населения	381730.0	-	-	33468.0	48938.0	169705.0	87725.0	41894.0	-
мужчины	174176.0	-	-	15250.0	22574.0	76994.0	40465.0	18893.0	-
женщины	207554.0	-	-	18218.0	26364.0	92711.0	47260.0	23001.0	-
Смоленская область									
Число районов	25.0	-	-	-	2.0	5.0	6.0	9.0	3.0
численность сельского населения	305975.0	-	-	-	15008.0	38908.0	47284.0	113648.0	91127.0
мужчины	141920.0	-	-	-	6815.0	17956.0	21538.0	53607.0	42004.0
женщины	164055.0	-	-	-	8193.0	20952.0	25746.0	60041.0	49123.0
Тамбовская область									
Число районов	23.0	-	2.0	8.0	8.0	5.0	-	-	-
численность сельского населения	504348.0	-	27867.0	122784.0	142623.0	211074.0	-	-	-
мужчины	235649.0	-	12949.0	57895.0	67187.0	97618.0	-	-	-
женщины	268699.0	-	14918.0	64889.0	75436.0	113456.0	-	-	-
Тверская область									
Число районов	36.0	-	-	-	-	6.0	7.0	10.0	13.0
численность сельского населения	395713.0	-	-	-	-	29780.0	60972.0	88715.0	216246.0
мужчины	183086.0	-	-	-	-	13808.0	28736.0	41057.0	99485.0
женщины	212627.0	-	-	-	-	15972.0	32236.0	47658.0	116761.0
Тульская область									
Число районов	23.0	-	-	-	5.0	9.0	5.0	4.0	-
численность сельского населения	308940.0	-	-	-	56195.0	84182.0	63285.0	105278.0	-
мужчины	141876.0	-	-	-	26097.0	38356.0	28760.0	48663.0	-
женщины	167064.0	-	-	-	30098.0	45826.0	34525.0	56615.0	-
Ярославская область									
