5. НАСЕЛЕНИЕ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ ПО ПОЛУ И СОСТОЯНИЮ В БРАКЕ ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМН																
																
	Мужчины в возрасте 16 лет и более, включая мужчин до 16 лет, указавших состояние в браке	в том числе							Женщины в возрасте 16 лет и более, включая женщин до 16 лет, указавших состояние в браке	в том числе						
		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке		состоящие в браке	из них		никогда не состоявшие в браке	вдовые	разошед-шиеся	не указавшие состояние в браке
			в зарегистри-рованном браке	в не-зарегистри-рованном браке							в зарегистри-рованном браке	в не-зарегистри-рованном браке				
АБАЗИНЫ																
Карачаево-Черкесская Республика																
Городское и сельское население	11637.0	7215.0	6943.0	272.0	3639.0	297.0	478.0	8.0	12977.0	6975.0	6719.0	256.0	2738.0	2183.0	1077.0	4.0
Городское население	4060.0	2528.0	2389.0	139.0	1304.0	72.0	148.0	8.0	5004.0	2493.0	2360.0	133.0	1303.0	578.0	626.0	4.0
Сельское население	7577.0	4687.0	4554.0	133.0	2335.0	225.0	330.0	-	7973.0	4482.0	4359.0	123.0	1435.0	1605.0	451.0	-
АЛЕУТЫ																
Камчатская область																
Городское и сельское население	162.0	62.0	49.0	13.0	71.0	8.0	21.0	-	176.0	89.0	67.0	22.0	47.0	17.0	22.0	1.0
Городское население	33.0	11.0	7.0	4.0	17.0	3.0	2.0	-	46.0	29.0	24.0	5.0	10.0	3.0	4.0	-
Сельское население	129.0	51.0	42.0	9.0	54.0	5.0	19.0	-	130.0	60.0	43.0	17.0	37.0	14.0	18.0	1.0
БЕСЕРМЯНЕ																
Удмуртская Республика																
Городское и сельское население	1209.0	817.0	742.0	75.0	279.0	62.0	51.0	-	1262.0	677.0	610.0	67.0	263.0	285.0	37.0	-
Городское население	289.0	188.0	171.0	17.0	68.0	17.0	16.0	-	320.0	176.0	152.0	24.0	75.0	52.0	17.0	-
Сельское население	920.0	629.0	571.0	58.0	211.0	45.0	35.0	-	942.0	501.0	458.0	43.0	188.0	233.0	20.0	-
ВЕПСЫ																
Территории преимущественного проживания КМН																
Городское и сельское население	2475.0	1704.0	1534.0	170.0	439.0	158.0	172.0	2.0	3866.0	1785.0	1602.0	183.0	516.0	1256.0	309.0	-
Городское население	1270.0	902.0	803.0	99.0	217.0	68.0	82.0	1.0	2174.0	985.0	894.0	91.0	364.0	610.0	215.0	-
Сельское население	1205.0	802.0	731.0	71.0	222.0	90.0	90.0	1.0	1692.0	800.0	708.0	92.0	152.0	646.0	94.0	-
Республика Карелия																
Городское и сельское население	1716.0	1173.0	1040.0	133.0	347.0	78.0	118.0	-	2683.0	1228.0	1082.0	146.0	431.0	781.0	243.0	-
