5.5. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ						
ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ И ПОЛУ						
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Мужчины и женщины	Мужчины	Женщины	В процентах ко всему населению		
				мужчины и женщины	мужчины	женщины
Российская Федерация						
Все население в возрасте 15-64 лет	99767435.0	47209958.0	52557477.0	100.0	100.0	100.0
Экономически активное население	67063623.0	33943557.0	33120066.0	67.2	71.9	63.0
в том числе:						
занятые в экономике	59652437.0	30203284.0	29449153.0	59.8	64.0	56.0
из них:						
учащиеся	2545328.0	1078719.0	1466609.0	2.6	2.3	2.8
пенсионеры	3677958.0	1566248.0	2111710.0	3.7	3.3	4.0
безработные	7411186.0	3740273.0	3670913.0	7.4	7.9	7.0
из них:						
учащиеся	811295.0	366565.0	444730.0	0.8	0.8	0.8
пенсионеры	680678.0	342311.0	338367.0	0.7	0.7	0.6
Экономически неактивное население	30915443.0	12451761.0	18463682.0	31.0	26.4	35.1
Центральный федеральный округ						
Все население в возрасте 15-64 лет	26495537.0	12648750.0	13846787.0	100.0	100.0	100.0
Экономически активное население	17916210.0	9109430.0	8806780.0	67.6	72.0	63.6
в том числе:						
занятые в экономике	16396856.0	8305469.0	8091387.0	61.9	65.7	58.4
из них:						
учащиеся	598193.0	255728.0	342465.0	2.3	2.0	2.5
пенсионеры	969251.0	412263.0	556988.0	3.7	3.3	4.0
безработные	1519354.0	803961.0	715393.0	5.7	6.3	5.2
из них:						
учащиеся	174848.0	83645.0	91203.0	0.7	0.7	0.7
пенсионеры	157336.0	85276.0	72060.0	0.6	0.7	0.5
Экономически неактивное население	7450701.0	3026994.0	4423707.0	28.1	23.9	31.9
Белгородская область						
Все население в возрасте 15-64 лет	1035084.0	488605.0	546479.0	100.0	100.0	100.0
Экономически активное население	666916.0	337711.0	329205.0	64.4	69.1	60.2
в том числе:						
занятые в экономике	596817.0	302627.0	294190.0	57.6	61.9	53.8
из них:						
учащиеся	20023.0	8720.0	11303.0	1.9	1.8	2.1
пенсионеры	28076.0	12895.0	15181.0	2.7	2.6	2.8
безработные	70099.0	35084.0	35015.0	6.8	7.2	6.4
из них:						
учащиеся	7111.0	3408.0	3703.0	0.7	0.7	0.7
пенсионеры	7019.0	3457.0	3562.0	0.7	0.7	0.7
Экономически неактивное население	346483.0	141505.0	204978.0	33.5	29.0	37.5
Брянская область						
Все население в возрасте 15-64 лет	922585.0	437764.0	484821.0	100.0	100.0	100.0
Экономически активное население	601093.0	298559.0	302534.0	65.2	68.2	62.4
в том числе:						
занятые в экономике	525835.0	256754.0	269081.0	57.0	58.7	55.5
из них:						
учащиеся	19745.0	7530.0	12215.0	2.1	1.7	2.5
пенсионеры	27092.0	11043.0	16049.0	2.9	2.5	3.3
безработные	75258.0	41805.0	33453.0	8.2	9.5	6.9
из них:						
учащиеся	5747.0	2425.0	3322.0	0.6	0.6	0.7
пенсионеры	6947.0	3541.0	3406.0	0.8	0.8	0.7
Экономически неактивное население	313243.0	135480.0	177763.0	34.0	30.9	36.7
Владимирская область						
Все население в возрасте 15-64 лет	1041137.0	483701.0	557436.0	100.0	100.0	100.0
Экономически активное население	724727.0	353060.0	371667.0	69.6	73.0	66.7
в том числе:						
занятые в экономике	657408.0	317957.0	339451.0	63.1	65.7	60.9
из них:						
учащиеся	26281.0	10052.0	16229.0	2.5	2.1	2.9
пенсионеры	42436.0	17228.0	25208.0	4.1	3.6	4.5
безработные	67319.0	35103.0	32216.0	6.5	7.3	5.8
из них:						
учащиеся	6960.0	3152.0	3808.0	0.7	0.7	0.7
пенсионеры	6133.0	2989.0	3144.0	0.6	0.6	0.6
Экономически неактивное население	288437.0	118358.0	170079.0	27.7	24.5	30.5
Воронежская область						
Все население в возрасте 15-64 лет	1604658.0	759324.0	845334.0	100.0	100.0	100.0
Экономически активное население	1012463.0	513309.0	499154.0	63.1	67.6	59.0
в том числе:						
занятые в экономике	895008.0	453381.0	441627.0	55.8	59.7	52.2
из них:						
учащиеся	25869.0	11056.0	14813.0	1.6	1.5	1.8
пенсионеры	42196.0	19373.0	22823.0	2.6	2.6	2.7
безработные	117455.0	59928.0	57527.0	7.3	7.9	6.8
из них:						
учащиеся	9971.0	4441.0	5530.0	0.6	0.6	0.7
пенсионеры	9818.0	5254.0	4564.0	0.6	0.7	0.5
Экономически неактивное население	542468.0	224848.0	317620.0	33.8	29.6	37.6
Ивановская область						
Все население в возрасте 15-64 лет	774080.0	358430.0	415650.0	100.0	100.0	100.0
Экономически активное население	526122.0	254557.0	271565.0	68.0	71.0	65.3
в том числе:						
занятые в экономике	477036.0	226255.0	250781.0	61.6	63.1	60.3
из них:						
учащиеся	15693.0	6039.0	9654.0	2.0	1.7	2.3
пенсионеры	26719.0	10168.0	16551.0	3.5	2.8	4.0
безработные	49086.0	28302.0	20784.0	6.4	7.9	5.0
из них:						
учащиеся	4647.0	2135.0	2512.0	0.6	0.6	0.6
пенсионеры	3892.0	1940.0	1952.0	0.5	0.5	0.5
Экономически неактивное население	230620.0	96215.0	134405.0	29.8	26.8	32.3
Калужская область						
Все население в возрасте 15-64 лет	717289.0	338132.0	379157.0	100.0	100.0	100.0
Экономически активное население	503092.0	250811.0	252281.0	70.1	74.2	66.5
в том числе:						
занятые в экономике	461716.0	228388.0	233328.0	64.4	67.6	61.5
из них:						
учащиеся	17508.0	6993.0	10515.0	2.4	2.1	2.8
пенсионеры	34141.0	15075.0	19066.0	4.8	4.5	5.0
безработные	41376.0	22423.0	18953.0	5.7	6.6	5.0
из них:						
учащиеся	4511.0	2051.0	2460.0	0.6	0.6	0.6
пенсионеры	4670.0	2554.0	2116.0	0.7	0.8	0.6
Экономически неактивное население	207440.0	84414.0	123026.0	28.9	25.0	32.4
Костромская область						
Все население в возрасте 15-64 лет	495333.0	234277.0	261056.0	100.0	100.0	100.0
Экономически активное население	340473.0	168580.0	171893.0	68.7	72.0	65.8
в том числе:						
занятые в экономике	312787.0	153780.0	159007.0	63.1	65.7	60.9
из них:						
учащиеся	10200.0	3886.0	6314.0	2.1	1.7	2.4
пенсионеры	19813.0	8458.0	11355.0	4.0	3.6	4.3
безработные	27686.0	14800.0	12886.0	5.6	6.3	4.9
из них:						
учащиеся	2389.0	950.0	1439.0	0.5	0.4	0.6
пенсионеры	2243.0	1330.0	913.0	0.5	0.6	0.3
Экономически неактивное население	147901.0	62632.0	85269.0	29.9	26.7	32.7
Курская область						
Все население в возрасте 15-64 лет	831402.0	394085.0	437317.0	100.0	100.0	100.0
Экономически активное население	536398.0	268557.0	267841.0	64.5	68.1	61.2
в том числе:						
занятые в экономике	477108.0	237270.0	239838.0	57.4	60.2	54.8
из них:						
учащиеся	16655.0	6897.0	9758.0	2.0	1.8	2.2
пенсионеры	23917.0	10380.0	13537.0	2.9	2.6	3.1
безработные	59290.0	31287.0	28003.0	7.1	7.9	6.4
из них:						
учащиеся	5038.0	2217.0	2821.0	0.6	0.6	0.6
пенсионеры	5921.0	3109.0	2812.0	0.7	0.8	0.6
Экономически неактивное население	281941.0	119905.0	162036.0	33.9	30.4	37.1
Липецкая область						
Все население в возрасте 15-64 лет	833827.0	394883.0	438944.0	100.0	100.0	100.0
Экономически активное население	540080.0	270943.0	269137.0	64.8	68.6	61.3
в том числе:						
занятые в экономике	489163.0	243887.0	245276.0	58.7	61.8	55.9
из них:						
учащиеся	14187.0	5909.0	8278.0	1.7	1.5	1.9
пенсионеры	23204.0	10192.0	13012.0	2.8	2.6	3.0
безработные	50917.0	27056.0	23861.0	6.1	6.8	5.4
из них:						
учащиеся	4205.0	1976.0	2229.0	0.5	0.5	0.5
пенсионеры	4094.0	2203.0	1891.0	0.5	0.6	0.4
Экономически неактивное население	273774.0	115160.0	158614.0	32.8	29.2	36.1
Московская область						
Все население в возрасте 15-64 лет	4612918.0	2166094.0	2446824.0	100.0	100.0	100.0
Экономически активное население	3284475.0	1646697.0	1637778.0	71.2	76.0	66.9
в том числе:						
занятые в экономике	3061673.0	1533516.0	1528157.0	66.4	70.8	62.4
из них:						
учащиеся	120654.0	51016.0	69638.0	2.6	2.4	2.8
пенсионеры	240047.0	105510.0	134537.0	5.2	4.9	5.5
безработные	222802.0	113181.0	109621.0	4.8	5.2	4.5
из них:						
