5.4. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ВОЗРАСТНЫМ ГРУППАМ,								
ПОЛУ И ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ								
								
	Все население	Экономически активное население			в том числе		Экономически неактивное население	из него пенсионеры
			занятые в экономике	из них пенсионеры	безработные	из них пенсионеры		
Городское и сельское  население  в возрасте 15-64 лет	99767435.0	67063623.0	59652437.0	3677958.0	7411186.0	680678.0	30915443.0	12062562.0
в том числе в возрасте, лет:								
15 – 19	12109710.0	2218466.0	1254744.0	12107.0	963722.0	25812.0	9451898.0	368850.0
20 – 29	21098439.0	16121122.0	13888136.0	53219.0	2232986.0	38744.0	4674973.0	290591.0
30 – 39	19602701.0	16710888.0	15130286.0	117498.0	1580602.0	61605.0	2654483.0	427043.0
40 – 49	23789749.0	20216335.0	18536171.0	495357.0	1680164.0	142367.0	3316908.0	1128336.0
50 – 59	15254602.0	10272576.0	9478627.0	1848322.0	793949.0	256095.0	4721804.0	3776964.0
60 – 64	7912234.0	1524236.0	1364473.0	1151455.0	159763.0	156055.0	6095377.0	6070778.0
Из общей численности -								
население в трудоспособном возрасте	86367656.0	64318688.0	57206399.0	1773505.0	7112289.0	440346.0	20773491.0	4175002.0
учащиеся	13709557.0	3356623.0	2545328.0	20356.0	811295.0	20056.0	9991237.0	289707.0
Мужчины  в возрасте 15-64 лет	47209958.0	33943557.0	30203284.0	1566248.0	3740273.0	342311.0	12451761.0	4592350.0
в том числе в возрасте, лет:								
15 – 19	5907643.0	1099520.0	630414.0	7645.0	469106.0	14196.0	4586558.0	193696.0
20 – 29	10256826.0	8521455.0	7419210.0	30404.0	1102245.0	21720.0	1597452.0	159834.0
30 – 39	9608360.0	8538973.0	7731368.0	64559.0	807605.0	34386.0	952649.0	232347.0
40 – 49	11327432.0	9737113.0	8873385.0	266218.0	863728.0	89783.0	1462429.0	615709.0
50 – 59	6899635.0	5197636.0	4779534.0	572346.0	418102.0	105620.0	1597732.0	1148823.0
60 – 64	3210062.0	848860.0	769373.0	625076.0	79487.0	76606.0	2254941.0	2241941.0
Из общей численности -								
население в трудоспособном возрасте	42717601.0	33054105.0	29422514.0	940816.0	3631591.0	264362.0	9026273.0	2293419.0
учащиеся	6337570.0	1445284.0	1078719.0	9866.0	366565.0	9645.0	4715403.0	142596.0
Женщины в возрасте  15-64 лет	52557477.0	33120066.0	29449153.0	2111710.0	3670913.0	338367.0	18463682.0	7470212.0
в том числе в возрасте, лет:								
15 – 19	6202067.0	1118946.0	624330.0	4462.0	494616.0	11616.0	4865340.0	175154.0
20 – 29	10841613.0	7599667.0	6468926.0	22815.0	1130741.0	17024.0	3077521.0	130757.0
30 – 39	9994341.0	8171915.0	7398918.0	52939.0	772997.0	27219.0	1701834.0	194696.0
40 – 49	12462317.0	10479222.0	9662786.0	229139.0	816436.0	52584.0	1854479.0	512627.0
50 – 59	8354967.0	5074940.0	4699093.0	1275976.0	375847.0	150475.0	3124072.0	2628141.0
60 – 64	4702172.0	675376.0	595100.0	526379.0	80276.0	79449.0	3840436.0	3828837.0
Из общей численности -								
население в трудоспособном возрасте	43650055.0	31264583.0	27783885.0	832689.0	3480698.0	175984.0	11747218.0	1881583.0
учащиеся	7371987.0	1911339.0	1466609.0	10490.0	444730.0	10411.0	5275834.0	147111.0
Городское население  в возрасте 15-64 лет	75315677.0	52025983.0	46988595.0	3101701.0	5037388.0	527406.0	21685714.0	8339155.0
в том числе в возрасте, лет:								
15 – 19	9154771.0	1655263.0	959557.0	8296.0	695706.0	17568.0	7123207.0	220676.0
20 – 29	16310645.0	12625290.0	11091287.0	39532.0	1534003.0	27243.0	3404793.0	181221.0
30 – 39	14657674.0	12771292.0	11755061.0	88365.0	1016231.0	43540.0	1664437.0	271800.0
40 – 49	17724090.0	15429496.0	14325787.0	381364.0	1103709.0	110192.0	2057491.0	786535.0
50 – 59	11763622.0	8217568.0	7653862.0	1569307.0	563706.0	207135.0	3307604.0	2766471.0
60 – 64	5704875.0	1327074.0	1203041.0	1014837.0	124033.0	121728.0	4128182.0	4112452.0
Из общей численности -								
население в трудоспособном возрасте	65496480.0	49655737.0	44848207.0	1437299.0	4807530.0	337518.0	14674117.0	2925230.0
учащиеся	11198393.0	2944889.0	2237291.0	17822.0	707598.0	17094.0	7950410.0	191904.0
Мужчины  в возрасте 15-64 лет	35113547.0	25883605.0	23394993.0	1328682.0	2488612.0	266458.0	8495431.0	3101449.0
в том числе в возрасте, лет:								
15 – 19	4407652.0	797586.0	462250.0	4814.0	335336.0	9208.0	3419727.0	112197.0
20 – 29	7858207.0	6591265.0	5849972.0	21523.0	741293.0	15033.0	1137433.0	98462.0
30 – 39	7104710.0	6466824.0	5957992.0	47878.0	508832.0	25039.0	527949.0	148163.0
40 – 49	8229245.0	7254297.0	6697857.0	212603.0	556440.0	71392.0	856943.0	426582.0
50 – 59	5224380.0	4040646.0	3754520.0	495102.0	286126.0	86994.0	1087569.0	857835.0
60 – 64	2289353.0	732987.0	672402.0	546762.0	60585.0	58792.0	1465810.0	1458210.0
Из общей численности -								
население в трудоспособном возрасте	31919382.0	25123473.0	22715398.0	781755.0	2408075.0	206872.0	6210354.0	1611537.0
учащиеся	5145718.0	1284245.0	963619.0	8648.0	320626.0	8179.0	3713323.0	93376.0
Женщины в возрасте  15-64 лет	40202130.0	26142378.0	23593602.0	1773019.0	2548776.0	260948.0	13190283.0	5237706.0
в том числе в возрасте, лет:								
15 – 19	4747119.0	857677.0	497307.0	3482.0	360370.0	8360.0	3703480.0	108479.0
20 – 29	8452438.0	6034025.0	5241315.0	18009.0	792710.0	12210.0	2267360.0	82759.0
30 – 39	7552964.0	6304468.0	5797069.0	40487.0	507399.0	18501.0	1136488.0	123637.0
40 – 49	9494845.0	8175199.0	7627930.0	168761.0	547269.0	38800.0	1200548.0	359953.0
50 – 59	6539242.0	4176922.0	3899342.0	1074205.0	277580.0	120141.0	2220035.0	1908636.0
60 – 64	3415522.0	594087.0	530639.0	468075.0	63448.0	62936.0	2662372.0	2654242.0
Из общей численности -								
население в трудоспособном возрасте	33577098.0	24532264.0	22132809.0	655544.0	2399455.0	130646.0	8463763.0	1313693.0
учащиеся	6052675.0	1660644.0	1273672.0	9174.0	386972.0	8915.0	4237087.0	98528.0
Сельское население  в возрасте  15-64 лет	24451758.0	15037640.0	12663842.0	576257.0	2373798.0	153272.0	9229729.0	3723407.0
в том числе в возрасте, лет:								
15 – 19	2954939.0	563203.0	295187.0	3811.0	268016.0	8244.0	2328691.0	148174.0
20 – 29	4787794.0	3495832.0	2796849.0	13687.0	698983.0	11501.0	1270180.0	109370.0
30 – 39	4945027.0	3939596.0	3375225.0	29133.0	564371.0	18065.0	990046.0	155243.0
40 – 49	6065659.0	4786839.0	4210384.0	113993.0	576455.0	32175.0	1259417.0	341801.0
50 – 59	3490980.0	2055008.0	1824765.0	279015.0	230243.0	48960.0	1414200.0	1010493.0
60 – 64	2207359.0	197162.0	161432.0	136618.0	35730.0	34327.0	1967195.0	1958326.0
Из общей численности -								
население в трудоспособном возрасте	20871176.0	14662951.0	12358192.0	336206.0	2304759.0	102828.0	6099374.0	1249772.0
учащиеся	2511164.0	411734.0	308037.0	2534.0	103697.0	2962.0	2040827.0	97803.0
Мужчины  в возрасте 15-64 лет	12096411.0	8059952.0	6808291.0	237566.0	1251661.0	75853.0	3956330.0	1490901.0
в том числе в возрасте, лет:								
15 – 19	1499991.0	301934.0	168164.0	2831.0	133770.0	4988.0	1166831.0	81499.0
20 – 29	2398619.0	1930190.0	1569238.0	8881.0	360952.0	6687.0	460019.0	61372.0
