5. ГРУППИРОВКА ГОРОДОВ И ПОСЕЛКОВ ГОРОДСКОГО ТИПА ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ                                                                                          ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ										
	Всего	в том числе городские поселения с числом жителей1)  								
		до 5000	5000-         9999	10000-     19999	20000-     49999	50000-     99999	100000-    249999	250000-  499999	500000-  999999	1 млн. и более
Российская Федерация										
Число городских поселений	2940.0	1020.0	683.0	524.0	383.0	163.0	92.0	42.0	20.0	13.0
численность населения	106429049.0	2653867.0	4879981.0	7324435.0	12276905.0	11083221.0	13816570.0	14574474.0	12403523.0	27416073.0
мужчины	49149510.0	1255587.0	2305967.0	3436238.0	5714803.0	5110571.0	6389064.0	6630444.0	5662779.0	12644057.0
женщины	57279539.0	1398280.0	2574014.0	3888197.0	6562102.0	5972650.0	7427506.0	7944030.0	6740744.0	14772016.0
Число городов	1098.0	32.0	101.0	277.0	358.0	163.0	92.0	42.0	20.0	13.0
численность населения	95916477.0	110800.0	771636.0	4093660.0	11646520.0	11083221.0	13816570.0	14574474.0	12403523.0	27416073.0
мужчины	44161151.0	51361.0	355918.0	1899823.0	5417134.0	5110571.0	6389064.0	6630444.0	5662779.0	12644057.0
женщины	51755326.0	59439.0	415718.0	2193837.0	6229386.0	5972650.0	7427506.0	7944030.0	6740744.0	14772016.0
Число поселков городского типа	1842.0	988.0	582.0	247.0	25.0	-	-	-	-	-
численность населения	10512572.0	2543067.0	4108345.0	3230775.0	630385.0	-	-	-	-	-
мужчины	4988359.0	1204226.0	1950049.0	1536415.0	297669.0	-	-	-	-	-
женщины	5524213.0	1338841.0	2158296.0	1694360.0	332716.0	-	-	-	-	-
Центральный федеральный округ										
Число городских поселений	751.0	237.0	194.0	142.0	94.0	43.0	24.0	12.0	4.0	1.0
численность населения	30366977.0	693126.0	1370763.0	2051045.0	2938542.0	2857071.0	3456094.0	4384398.0	2489514.0	10126424.0
мужчины	14019994.0	317013.0	629880.0	941363.0	1342665.0	1293268.0	1576770.0	1960768.0	1126862.0	4831405.0
женщины	16346983.0	376113.0	740883.0	1109682.0	1595877.0	1563803.0	1879324.0	2423630.0	1362652.0	5295019.0
Число городов	305.0	10.0	40.0	83.0	88.0	43.0	24.0	12.0	4.0	1.0
численность населения	27723223.0	38530.0	306599.0	1270521.0	2794072.0	2857071.0	3456094.0	4384398.0	2489514.0	10126424.0
мужчины	12795112.0	17139.0	138989.0	576102.0	1273809.0	1293268.0	1576770.0	1960768.0	1126862.0	4831405.0
женщины	14928111.0	21391.0	167610.0	694419.0	1520263.0	1563803.0	1879324.0	2423630.0	1362652.0	5295019.0
Число поселков городского типа	446.0	227.0	154.0	59.0	6.0	-	-	-	-	-
численность населения	2643754.0	654596.0	1064164.0	780524.0	144470.0	-	-	-	-	-
мужчины	1224882.0	299874.0	490891.0	365261.0	68856.0	-	-	-	-	-
женщины	1418872.0	354722.0	573273.0	415263.0	75614.0	-	-	-	-	-
Белгородская область										
Число городских поселений	30.0	2.0	14.0	7.0	4.0	1.0	1.0	1.0	-	-
численность населения	985584.0	7389.0	102475.0	95596.0	141113.0	86083.0	215898.0	337030.0	-	-
мужчины	453070.0	3437.0	46935.0	44060.0	65935.0	39850.0	99555.0	153298.0	-	-
женщины	532514.0	3952.0	55540.0	51536.0	75178.0	46233.0	116343.0	183732.0	-	-
Число городов	10.0	-	2.0	1.0	4.0	1.0	1.0	1.0	-	-
численность населения	810766.0	-	12242.0	18400.0	141113.0	86083.0	215898.0	337030.0	-	-
мужчины	372516.0	-	5437.0	8441.0	65935.0	39850.0	99555.0	153298.0	-	-
женщины	438250.0	-	6805.0	9959.0	75178.0	46233.0	116343.0	183732.0	-	-
Число поселков городского типа	20.0	2.0	12.0	6.0	-	-	-	-	-	-
численность населения	174818.0	7389.0	90233.0	77196.0	-	-	-	-	-	-
мужчины	80554.0	3437.0	41498.0	35619.0	-	-	-	-	-	-
женщины	94264.0	3952.0	48735.0	41577.0	-	-	-	-	-	-
Брянская область										
Число городских поселений	44.0	11.0	14.0	13.0	4.0	1.0	-	1.0	-	-
численность населения	943382.0	30261.0	93020.0	195398.0	125852.0	67325.0	-	431526.0	-	-
мужчины	428935.0	13934.0	43049.0	90706.0	56699.0	30962.0	-	193585.0	-	-
женщины	514447.0	16327.0	49971.0	104692.0	69153.0	36363.0	-	237941.0	-	-
Число городов	16.0	-	3.0	7.0	4.0	1.0	-	1.0	-	-
численность населения	764466.0	-	21293.0	118470.0	125852.0	67325.0	-	431526.0	-	-
мужчины	345775.0	-	9759.0	54770.0	56699.0	30962.0	-	193585.0	-	-
женщины	418691.0	-	11534.0	63700.0	69153.0	36363.0	-	237941.0	-	-
Число поселков городского типа	28.0	11.0	11.0	6.0	-	-	-	-	-	-
численность населения	178916.0	30261.0	71727.0	76928.0	-	-	-	-	-	-
мужчины	83160.0	13934.0	33290.0	35936.0	-	-	-	-	-	-
женщины	95756.0	16327.0	38437.0	40992.0	-	-	-	-	-	-
Владимирская область										
Число городских поселений	55.0	19.0	13.0	14.0	4.0	2.0	2.0	1.0	-	-
