13. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ИСТОЧНИКАМ СРЕДСТВ К СУЩЕСТВОВАНИЮ																			
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ																			
																			
	Численность населения соответст-вующей националь-ности	Всего указали источников средств к существова-нию	в том числе												Не указавшие источник средств к существова-нию	Из общей численности населения данной национальности указали			
			доход от трудовой деятельнос-ти (кроме работы в личном подсобном хозяйстве)	личное подсобное хозяйство	стипендию	пенсию (кроме пенсии по инвалид-ности)	пенсию по инвалид-ности	пособие (кроме пособия по безрабо-тице)	пособие по безработице	другой вид государ-ственного обеспечения	сбережения	доход от сдачи внаем или в аренду имущества	на иждивении отдельных лиц	иной источник средств к существова-нию		один источник средств к существо-ванию	два источника	три источника	четыре источника и более
Центральный федеральный округ																			
Белгородская область																			
Все население	1511620.0	2012694.0	608884.0	246073.0	29203.0	363771.0	66765.0	196536.0	5339.0	16343.0	3727.0	2782.0	461399.0	11872.0	6923.0	1018320.0	465221.0	20712.0	444.0
Русские	1403977.0	1878985.0	565456.0	227628.0	28256.0	337396.0	62607.0	186569.0	4994.0	14964.0	3224.0	2576.0	434951.0	10364.0	1909.0	945371.0	436897.0	19393.0	407.0
Украинцы	57846.0	74712.0	26327.0	11149.0	454.0	18870.0	2615.0	3584.0	224.0	553.0	260.0	123.0	10014.0	539.0	55.0	41676.0	15333.0	759.0	23.0
Городское население	985584.0	1214569.0	435379.0	65902.0	23799.0	195512.0	39676.0	108542.0	4600.0	13855.0	2704.0	793.0	315379.0	8428.0	6481.0	753398.0	216189.0	9280.0	236.0
Русские	919905.0	1141916.0	408042.0	61482.0	23134.0	178319.0	37213.0	104873.0	4292.0	12628.0	2344.0	735.0	301378.0	7476.0	1559.0	704025.0	205304.0	8792.0	225.0
Украинцы	35514.0	42457.0	16821.0	3075.0	326.0	12250.0	1587.0	1500.0	209.0	506.0	184.0	41.0	5604.0	354.0	44.0	28804.0	6353.0	305.0	8.0
Сельское население	526036.0	798125.0	173505.0	180171.0	5404.0	168259.0	27089.0	87994.0	739.0	2488.0	1023.0	1989.0	146020.0	3444.0	442.0	264922.0	249032.0	11432.0	208.0
Русские	484072.0	737069.0	157414.0	166146.0	5122.0	159077.0	25394.0	81696.0	702.0	2336.0	880.0	1841.0	133573.0	2888.0	350.0	241346.0	231593.0	10601.0	182.0
Украинцы	22332.0	32255.0	9506.0	8074.0	128.0	6620.0	1028.0	2084.0	15.0	47.0	76.0	82.0	4410.0	185.0	11.0	12872.0	8980.0	454.0	15.0
Брянская область																			
Все население	1378941.0	1890151.0	535595.0	222865.0	32326.0	360997.0	52452.0	236332.0	13956.0	13933.0	1838.0	814.0	410480.0	8563.0	1925.0	885502.0	470316.0	20782.0	416.0
Русские	1328448.0	1826982.0	515400.0	215448.0	31870.0	346902.0	50778.0	231260.0	13527.0	13233.0	1732.0	779.0	398868.0	7185.0	508.0	849962.0	457324.0	20249.0	405.0
Украинцы	20214.0	25902.0	9310.0	3465.0	125.0	7417.0	759.0	1294.0	190.0	183.0	39.0	8.0	2967.0	145.0	7.0	14749.0	5224.0	231.0	3.0
Белорусы	7733.0	9841.0	3562.0	1226.0	126.0	3062.0	280.0	422.0	65.0	54.0	15.0	5.0	979.0	45.0	1.0	5714.0	1930.0	85.0	3.0
Евреи	2339.0	2799.0	868.0	89.0	15.0	1328.0	117.0	131.0	14.0	11.0	7.0	3.0	202.0	14.0	-	1898.0	422.0	19.0	-
Городское население	943382.0	1213296.0	402974.0	64859.0	24586.0	221303.0	33957.0	150173.0	10817.0	11351.0	1323.0	606.0	285972.0	5375.0	1765.0	680747.0	250267.0	10403.0	200.0
Русские	906599.0	1170379.0	387924.0	62524.0	24239.0	210191.0	32707.0	147170.0	10512.0	10715.0	1246.0	576.0	278095.0	4480.0	392.0	652563.0	243316.0	10132.0	196.0
Украинцы	14730.0	17666.0	6944.0	1115.0	91.0	5824.0	584.0	769.0	135.0	158.0	29.0	7.0	1911.0	99.0	6.0	11903.0	2700.0	121.0	-
Белорусы	5733.0	6876.0	2708.0	413.0	105.0	2370.0	211.0	257.0	45.0	49.0	12.0	4.0	675.0	27.0	1.0	4631.0	1058.0	43.0	-
Евреи	2291.0	2727.0	853.0	76.0	14.0	1302.0	111.0	128.0	14.0	8.0	6.0	3.0	198.0	14.0	-	1871.0	404.0	16.0	-
Сельское население	435559.0	676855.0	132621.0	158006.0	7740.0	139694.0	18495.0	86159.0	3139.0	2582.0	515.0	208.0	124508.0	3188.0	160.0	204755.0	220049.0	10379.0	216.0
Русские	421849.0	656603.0	127476.0	152924.0	7631.0	136711.0	18071.0	84090.0	3015.0	2518.0	486.0	203.0	120773.0	2705.0	116.0	197399.0	214008.0	10117.0	209.0
Украинцы	5484.0	8236.0	2366.0	2350.0	34.0	1593.0	175.0	525.0	55.0	25.0	10.0	1.0	1056.0	46.0	1.0	2846.0	2524.0	110.0	3.0
Белорусы	2000.0	2965.0	854.0	813.0	21.0	692.0	69.0	165.0	20.0	5.0	3.0	1.0	304.0	18.0	-	1083.0	872.0	42.0	3.0
Евреи	48.0	72.0	15.0	13.0	1.0	26.0	6.0	3.0	-	3.0	1.0	-	4.0	-	-	27.0	18.0	3.0	-
Владимирская область																			
Все население	1523990.0	1926150.0	683016.0	166519.0	32585.0	383430.0	56666.0	158900.0	16484.0	20770.0	2566.0	818.0	381165.0	23231.0	18352.0	1104181.0	382726.0	18412.0	319.0
Русские	1443857.0	1845391.0	650987.0	159787.0	31830.0	367149.0	54297.0	154839.0	15920.0	19402.0	2340.0	775.0	366895.0	21170.0	4192.0	1052336.0	369244.0	17778.0	307.0
Татары	8670.0	10512.0	4308.0	814.0	130.0	2377.0	406.0	513.0	85.0	138.0	21.0	5.0	1543.0	172.0	19.0	6900.0	1644.0	104.0	3.0
Белорусы	5682.0	7076.0	2856.0	759.0	40.0	2211.0	267.0	169.0	47.0	43.0	7.0	2.0	606.0	69.0	25.0	4310.0	1275.0	72.0	-
Городское население	1213865.0	1481325.0	568135.0	82954.0	27697.0	292014.0	42652.0	117630.0	12223.0	14586.0	2095.0	683.0	304898.0	15758.0	17298.0	924814.0	258976.0	12553.0	224.0
Русские	1148772.0	1420174.0	542531.0	79778.0	27107.0	278882.0	40813.0	114726.0	11813.0	13628.0	1905.0	645.0	293929.0	14417.0	3729.0	882478.0	250219.0	12130.0	216.0
Татары	7333.0	8708.0	3701.0	504.0	108.0	2047.0	342.0	406.0	72.0	103.0	16.0	4.0	1280.0	125.0	16.0	6005.0	1236.0	73.0	3.0
Белорусы	4531.0	5475.0	2341.0	387.0	30.0	1791.0	215.0	125.0	32.0	26.0	7.0	1.0	465.0	55.0	22.0	3603.0	846.0	60.0	-
Сельское население	310125.0	444825.0	114881.0	83565.0	4888.0	91416.0	14014.0	41270.0	4261.0	6184.0	471.0	135.0	76267.0	7473.0	1054.0	179367.0	123750.0	5859.0	95.0
Русские	295085.0	425217.0	108456.0	80009.0	4723.0	88267.0	13484.0	40113.0	4107.0	5774.0	435.0	130.0	72966.0	6753.0	463.0	169858.0	119025.0	5648.0	91.0
Татары	1337.0	1804.0	607.0	310.0	22.0	330.0	64.0	107.0	13.0	35.0	5.0	1.0	263.0	47.0	3.0	895.0	408.0	31.0	-
Белорусы	1151.0	1601.0	515.0	372.0	10.0	420.0	52.0	44.0	15.0	17.0	-	1.0	141.0	14.0	3.0	707.0	429.0	12.0	-
Воронежская область																			
Все население	2378803.0	2896065.0	923995.0	297210.0	42952.0	626024.0	89518.0	174488.0	11865.0	28245.0	4956.0	5343.0	648903.0	42566.0	17078.0	1845940.0	497841.0	17393.0	551.0
Русские	2239524.0	2731297.0	874006.0	272394.0	41675.0	589331.0	85457.0	165458.0	11317.0	26682.0	4530.0	5153.0	616696.0	38598.0	8393.0	1748404.0	465840.0	16379.0	508.0
Украинцы	73716.0	95221.0	29971.0	16293.0	637.0	27305.0	2478.0	4035.0	346.0	625.0	153.0	99.0	12256.0	1023.0	121.0	52645.0	20303.0	627.0	20.0
Городское население	1471799.0	1657811.0	634652.0	50593.0	34832.0	340961.0	51350.0	69856.0	8588.0	19381.0	2920.0	980.0	417843.0	25855.0	15722.0	1261694.0	187252.0	6933.0	198.0
Русские	1399688.0	1584792.0	606973.0	47030.0	34020.0	322742.0	49311.0	67993.0	8286.0	18244.0	2630.0	924.0	402752.0	23887.0	7400.0	1206701.0	178865.0	6545.0	177.0
Украинцы	32722.0	37833.0	15261.0	2466.0	284.0	12288.0	1162.0	653.0	166.0	427.0	91.0	28.0	4548.0	459.0	76.0	27700.0	4714.0	223.0	9.0
Сельское население	907004.0	1238254.0	289343.0	246617.0	8120.0	285063.0	38168.0	104632.0	3277.0	8864.0	2036.0	4363.0	231060.0	16711.0	1356.0	584246.0	310589.0	10460.0	353.0
Русские	839836.0	1146505.0	267033.0	225364.0	7655.0	266589.0	36146.0	97465.0	3031.0	8438.0	1900.0	4229.0	213944.0	14711.0	993.0	541703.0	286975.0	9834.0	331.0
Украинцы	40994.0	57388.0	14710.0	13827.0	353.0	15017.0	1316.0	3382.0	180.0	198.0	62.0	71.0	7708.0	564.0	45.0	24945.0	15589.0	404.0	11.0
Ивановская область																			
Все население	1148329.0	1514242.0	492879.0	149886.0	33930.0	300577.0	34131.0	154869.0	9669.0	21693.0	1961.0	767.0	299122.0	14758.0	23246.0	753445.0	354507.0	16752.0	379.0
Русские	1075815.0	1449712.0	468918.0	144273.0	33041.0	289411.0	32823.0	150251.0	9305.0	20102.0	1774.0	725.0	285754.0	13335.0	1564.0	715740.0	341937.0	16208.0	366.0
Украинцы	10629.0	13506.0	5759.0	1490.0	141.0	3455.0	273.0	513.0	79.0	197.0	29.0	8.0	1444.0	118.0	10.0	7887.0	2578.0	153.0	1.0
Татары	8205.0	10275.0	4021.0	895.0	158.0	2366.0	333.0	560.0	52.0	200.0	19.0	4.0	1543.0	124.0	13.0	6214.0	1875.0	101.0	2.0
Городское население	949249.0	1215314.0	418696.0	91575.0	29850.0	242897.0	27181.0	121975.0	6409.0	16647.0	1712.0	664.0	246692.0	11016.0	22904.0	650605.0	262846.0	12569.0	325.0
Русские	885633.0	1162884.0	398309.0	88058.0	29053.0	233318.0	26133.0	118399.0	6192.0	15343.0	1541.0	629.0	235767.0	10142.0	1354.0	618472.0	253334.0	12158.0	315.0
Украинцы	8904.0	11094.0	4911.0	981.0	130.0	2925.0	212.0	404.0	43.0	159.0	29.0	6.0	1207.0	87.0	8.0	6811.0	1973.0	111.0	1.0
Татары	7320.0	9057.0	3568.0	694.0	149.0	2199.0	296.0	472.0	39.0	161.0	18.0	4.0	1355.0	102.0	12.0	5648.0	1573.0	85.0	2.0
Сельское население	199080.0	298928.0	74183.0	58311.0	4080.0	57680.0	6950.0	32894.0	3260.0	5046.0	249.0	103.0	52430.0	3742.0	342.0	102840.0	91661.0	4183.0	54.0
Русские	190182.0	286828.0	70609.0	56215.0	3988.0	56093.0	6690.0	31852.0	3113.0	4759.0	233.0	96.0	49987.0	3193.0	210.0	97268.0	88603.0	4050.0	51.0
Украинцы	1725.0	2412.0	848.0	509.0	11.0	530.0	61.0	109.0	36.0	38.0	-	2.0	237.0	31.0	2.0	1076.0	605.0	42.0	-
Татары	885.0	1218.0	453.0	201.0	9.0	167.0	37.0	88.0	13.0	39.0	1.0	-	188.0	22.0	1.0	566.0	302.0	16.0	-
Калужская область																			
Все население	1041641.0	1331304.0	476793.0	81156.0	23188.0	259874.0	36663.0	135475.0	4043.0	9976.0	2161.0	743.0	284131.0	17101.0	3797.0	768027.0	247071.0	21864.0	882.0
Русские	973589.0	1250776.0	444077.0	76363.0	22448.0	243830.0	34648.0	130086.0	3842.0	9449.0	1933.0	699.0	268058.0	15343.0	1548.0	716079.0	234055.0	21054.0	853.0
Украинцы	23162.0	28276.0	12741.0	1777.0	198.0	8073.0	768.0	1122.0	83.0	117.0	66.0	12.0	2980.0	339.0	37.0	18355.0	4400.0	360.0	10.0
Белорусы	6609.0	8053.0	3426.0	508.0	69.0	2423.0	252.0	333.0	19.0	33.0	21.0	5.0	854.0	110.0	14.0	5244.0	1250.0	95.0	6.0
