3. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 												
												
												
	Всего	Имеющие образование								Не имеющие 
начального
общего 
образования	из них неграмотные	Не указавшие уровень образования
		профессиональное					общее					
		послевузовское 	высшее	неполное 
высшее	среднее	начальное	среднее
(полное)	основное	начальное			
												
Центральный федеральный округ												
Все население в возрасте 15 лет и более	32718795.0	153385.0	6276042.0	1160033.0	8825010.0	3653167.0	5373467.0	3983615.0	2332746.0	263521.0	130827.0	697809.0
в том числе в возрасте, лет:												
15–17	1751663.0	-	-	9145.0	24470.0	30001.0	399312.0	1113180.0	118763.0	8581.0	4221.0	48211.0
18–19 	1221879.0	-	1930.0	134386.0	188806.0	106452.0	607565.0	144529.0	12119.0	4046.0	2599.0	22046.0
20–24 	2836549.0	7230.0	388597.0	430726.0	789098.0	342042.0	593960.0	190197.0	24463.0	8799.0	5544.0	61437.0
25–29 	2696294.0	16932.0	674558.0	128428.0	853450.0	358592.0	413643.0	161731.0	17777.0	7722.0	4627.0	63461.0
30–34 	2620303.0	14304.0	651404.0	92336.0	949056.0	351376.0	373272.0	99292.0	14489.0	7016.0	4181.0	67758.0
35–39 	2717761.0	13967.0	706073.0	73144.0	986754.0	369370.0	397457.0	83893.0	13596.0	6878.0	4163.0	66629.0
40–44 	3350089.0	16663.0	830156.0	72174.0	1185712.0	474884.0	556820.0	111170.0	17739.0	7828.0	4645.0	76943.0
45–49 	3102763.0	16369.0	749908.0	55829.0	1052973.0	449473.0	533772.0	147362.0	22602.0	6837.0	3919.0	67638.0
50–54 	2745482.0	15483.0	649908.0	47199.0	891841.0	368404.0	473118.0	199810.0	33532.0	5931.0	3326.0	60256.0
55–59 	1549523.0	11608.0	408816.0	28781.0	440757.0	178229.0	236025.0	156515.0	48691.0	4025.0	2108.0	36076.0
60–64 	2327561.0	14635.0	464046.0	29462.0	550561.0	229567.0	318912.0	432150.0	236533.0	9747.0	4886.0	41948.0
65–69 	1844067.0	10910.0	319398.0	18700.0	375885.0	157734.0	177022.0	361449.0	374955.0	18911.0	8651.0	29103.0
70 и более	3954861.0	15284.0	431248.0	39723.0	535647.0	237043.0	292589.0	782337.0	1397487.0	167200.0	77957.0	56303.0
Возраст не указан	49295.0	112.0	2182.0	805.0	4013.0	2028.0	2353.0	1270.0	671.0	333.0	134.0	35528.0
Из общей численности – население в возрасте:												
трудоспособном	23135025.0	108047.0	4838062.0	1057102.0	7091945.0	2945521.0	4445136.0	1840046.0	214651.0	62060.0	36674.0	532455.0
старше трудоспособного	8991453.0	45338.0	1437980.0	102931.0	1733065.0	703843.0	924969.0	1664371.0	2034841.0	198116.0	92728.0	145999.0
