2.3. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ, ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ 									
(на 1000 человек соответствующего пола и возраста)									
									
	Имеющие образование								Не имеющие начального общего образования
	профессиональное					общее			
	послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное	
Городское и сельское население в возрасте 15 лет и более	3.0	157.0	31.0	271.0	127.0	175.0	138.0	77.0	10.0
в возрасте, лет:									
15 – 19	-	0.0	32.0	62.0	49.0	338.0	451.0	53.0	5.0
20 – 24	2.0	116.0	128.0	271.0	137.0	227.0	91.0	13.0	4.0
25 – 29	4.0	210.0	42.0	315.0	149.0	174.0	82.0	9.0	3.0
30 – 34	4.0	208.0	31.0	371.0	154.0	159.0	49.0	7.0	3.0
35 – 39	3.0	215.0	24.0	374.0	157.0	166.0	39.0	6.0	3.0
40 – 44	3.0	206.0	18.0	362.0	165.0	181.0	43.0	7.0	3.0
45 – 49	4.0	199.0	15.0	347.0	170.0	178.0	63.0	11.0	2.0
50 – 54	4.0	198.0	14.0	333.0	153.0	172.0	93.0	19.0	2.0
55 – 59	5.0	217.0	15.0	294.0	133.0	150.0	123.0	46.0	3.0
60 – 64	4.0	160.0	10.0	233.0	109.0	127.0	203.0	137.0	7.0
65 – 69	4.0	134.0	8.0	198.0	90.0	87.0	203.0	249.0	18.0
70 и более	2.0	83.0	9.0	128.0	59.0	63.0	190.0	397.0	60.0
Возраст не указан	1.0	34.0	10.0	59.0	25.0	43.0	22.0	14.0	6.0
Мужчины в возрасте 15 лет и более	4.0	152.0	31.0	250.0	157.0	187.0	141.0	61.0	5.0
в возрасте, лет:									
15 – 19	-	0.0	27.0	64.0	59.0	308.0	468.0	59.0	5.0
20 – 24	2.0	96.0	113.0	253.0	158.0	231.0	114.0	18.0	4.0
25 – 29	4.0	182.0	40.0	286.0	172.0	187.0	101.0	12.0	4.0
30 – 34	4.0	181.0	32.0	338.0	180.0	181.0	59.0	8.0	3.0
35 – 39	4.0	191.0	24.0	335.0	185.0	190.0	47.0	8.0	3.0
40 – 44	4.0	186.0	18.0	317.0	197.0	203.0	51.0	9.0	3.0
45 – 49	4.0	188.0	16.0	296.0	205.0	190.0	73.0	14.0	2.0
50 – 54	5.0	199.0	16.0	281.0	190.0	173.0	99.0	22.0	2.0
55 – 59	7.0	220.0	17.0	261.0	173.0	141.0	117.0	47.0	3.0
60 – 64	6.0	186.0	12.0	211.0	144.0	109.0	175.0	141.0	5.0
65 – 69	6.0	161.0	10.0	186.0	120.0	76.0	171.0	249.0	11.0
70 и более	5.0	119.0	8.0	145.0	83.0	55.0	172.0	380.0	24.0
Возраст не указан	2.0	32.0	11.0	60.0	31.0	42.0	23.0	11.0	6.0
Женщины в возрасте 15 лет и более	2.0	161.0	31.0	289.0	101.0	166.0	135.0	90.0	14.0
в возрасте, лет:									
15 – 19	-	0.0	36.0	60.0	39.0	369.0	434.0	48.0	4.0
20 – 24	2.0	135.0	144.0	290.0	115.0	223.0	69.0	8.0	3.0
25 – 29	4.0	236.0	45.0	345.0	125.0	161.0	63.0	6.0	3.0
30 – 34	4.0	237.0	32.0	403.0	128.0	137.0	38.0	5.0	3.0
35 – 39	3.0	238.0	23.0	412.0	130.0	143.0	31.0	5.0	3.0
40 – 44	3.0	224.0	18.0	405.0	136.0	160.0	34.0	6.0	2.0
45 – 49	3.0	209.0	14.0	393.0	138.0	166.0	55.0	9.0	2.0
50 – 54	3.0	197.0	13.0	377.0	121.0	172.0	87.0	16.0	2.0
55 – 59	3.0	215.0	14.0	319.0	102.0	158.0	126.0	46.0	4.0
60 – 64	2.0	142.0	9.0	249.0	83.0	141.0	223.0	134.0	8.0
65 – 69	2.0	118.0	7.0	205.0	70.0	94.0	223.0	250.0	22.0
70 и более	1.0	69.0	9.0	122.0	50.0	66.0	197.0	404.0	74.0
Возраст не указан	1.0	35.0	10.0	58.0	20.0	42.0	22.0	16.0	7.0
Городское население в возрасте 15 лет и более	4.0	185.0	37.0	291.0	115.0	174.0	119.0	54.0	6.0
в возрасте, лет:									
15 – 19	-	0.0	38.0	66.0	48.0	370.0	422.0	41.0	3.0
20 – 24	2.0	132.0	151.0	282.0	124.0	219.0	66.0	8.0	2.0
25 – 29	5.0	244.0	49.0	333.0	132.0	155.0	59.0	6.0	2.0
30 – 34	5.0	244.0	37.0	387.0	133.0	137.0	33.0	4.0	2.0
35 – 39	4.0	255.0	27.0	392.0	134.0	140.0	25.0	4.0	2.0
40 – 44	4.0	242.0	21.0	381.0	141.0	163.0	27.0	4.0	1.0
45 – 49	4.0	231.0	17.0	365.0	147.0	170.0	43.0	7.0	1.0
50 – 54	5.0	225.0	16.0	350.0	134.0	172.0	71.0	11.0	1.0
55 – 59	6.0	247.0	17.0	313.0	122.0	154.0	96.0	26.0	2.0
60 – 64	5.0	196.0	12.0	268.0	106.0	138.0	174.0	84.0	3.0
65 – 69	5.0	171.0	10.0	233.0	93.0	100.0	194.0	172.0	9.0
70 и более	3.0	110.0	10.0	157.0	68.0	78.0	206.0	319.0	37.0
Возраст не указан	2.0	34.0	11.0	57.0	23.0	39.0	18.0	10.0	5.0
Мужчины в возрасте 15 лет и более	5.0	181.0	37.0	273.0	138.0	184.0	123.0	41.0	3.0
в возрасте, лет:									
15 – 19	-	0.0	33.0	70.0	58.0	338.0	441.0	44.0	3.0
20 – 24	2.0	109.0	135.0	270.0	145.0	223.0	88.0	11.0	3.0
25 – 29	5.0	213.0	47.0	311.0	153.0	168.0	77.0	8.0	2.0
30 – 34	5.0	215.0	37.0	365.0	153.0	157.0	42.0	6.0	2.0
35 – 39	4.0	231.0	29.0	362.0	156.0	162.0	31.0	5.0	2.0
40 – 44	5.0	223.0	22.0	342.0	164.0	185.0	35.0	5.0	2.0
45 – 49	5.0	223.0	18.0	317.0	172.0	185.0	53.0	9.0	2.0
50 – 54	6.0	231.0	18.0	299.0	162.0	174.0	79.0	14.0	1.0
55 – 59	8.0	253.0	19.0	279.0	152.0	144.0	97.0	28.0	2.0
60 – 64	8.0	227.0	15.0	241.0	132.0	118.0	154.0	87.0	3.0
65 – 69	8.0	207.0	12.0	221.0	118.0	86.0	161.0	167.0	6.0
70 и более	6.0	156.0	9.0	176.0	89.0	66.0	180.0	291.0	14.0
Возраст не указан	2.0	32.0	11.0	60.0	29.0	39.0	19.0	9.0	5.0
Женщины в возрасте 15 лет и более	3.0	190.0	36.0	307.0	95.0	166.0	117.0	64.0	8.0
в возрасте, лет:									
15 – 19	-	0.0	44.0	62.0	37.0	402.0	403.0	37.0	3.0
20 – 24	2.0	155.0	168.0	294.0	103.0	214.0	45.0	4.0	2.0
25 – 29	5.0	275.0	51.0	354.0	112.0	140.0	42.0	4.0	2.0
30 – 34	5.0	274.0	36.0	410.0	112.0	117.0	24.0	3.0	2.0
35 – 39	4.0	277.0	26.0	420.0	114.0	120.0	18.0	3.0	2.0
40 – 44	4.0	258.0	20.0	416.0	119.0	143.0	21.0	3.0	1.0
45 – 49	4.0	238.0	16.0	405.0	123.0	158.0	36.0	5.0	1.0
50 – 54	3.0	221.0	14.0	392.0	111.0	170.0	63.0	9.0	2.0
55 – 59	4.0	243.0	16.0	340.0	99.0	161.0	95.0	24.0	2.0
60 – 64	3.0	174.0	10.0	286.0	88.0	152.0	188.0	82.0	4.0
65 – 69	3.0	149.0	9.0	241.0	77.0	108.0	215.0	176.0	10.0
70 и более	2.0	91.0	10.0	149.0	59.0	83.0	216.0	331.0	47.0
Возраст не указан	1.0	35.0	10.0	55.0	18.0	39.0	18.0	12.0	5.0
Сельское население в возрасте 15 лет и более	1.0	73.0	14.0	214.0	161.0	179.0	190.0	145.0	22.0
в возрасте, лет:									
15 – 19	-	0.0	11.0	49.0	56.0	238.0	541.0	93.0	9.0
20 – 24	1.0	60.0	51.0	234.0	179.0	259.0	176.0	31.0	8.0
25 – 29	1.0	94.0	22.0	255.0	204.0	239.0	156.0	21.0	7.0
30 – 34	1.0	97.0	16.0	319.0	219.0	229.0	98.0	14.0	6.0
35 – 39	1.0	106.0	13.0	324.0	221.0	236.0	79.0	13.0	6.0
40 – 44	1.0	103.0	10.0	311.0	234.0	234.0	86.0	15.0	5.0
45 – 49	1.0	103.0	9.0	294.0	239.0	202.0	121.0	25.0	5.0
50 – 54	1.0	107.0	9.0	278.0	214.0	174.0	167.0	43.0	6.0
55 – 59	1.0	114.0	9.0	225.0	173.0	138.0	214.0	117.0	8.0
60 – 64	1.0	68.0	5.0	146.0	116.0	98.0	277.0	273.0	15.0
65 – 69	1.0	50.0	5.0	115.0	83.0	59.0	221.0	426.0	39.0
70 и более	0.0	26.0	5.0	66.0	40.0	30.0	155.0	568.0	109.0
Возраст не указан	2.0	30.0	8.0	84.0	49.0	89.0	78.0	64.0	21.0
Мужчины в возрасте 15 лет и более	1.0	71.0	13.0	187.0	209.0	196.0	193.0	118.0	11.0
в возрасте, лет:									
15 – 19	-	0.0	9.0	47.0	64.0	217.0	547.0	104.0	10.0
