6. ЖЕНЩИНЫ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ										
										
	Всего женщин, указавших число рожденных детей	На 1000 женщин соответствующей национальности, указавших число рожденных детей								Среднее число рожденных детей (на 1000 женщин женщин соответствующей национальности)
		женщины, не родившие
ни одного ребенка	женщины, родившие							
			1 ребенка	2 детей	3 детей	4 детей	5 детей	6 детей	7 и более детей	
Абазины	13952.0	273.0	159.0	254.0	165.0	74.0	36.0	18.0	21.0	1908.0
Аварцы	79151.0	319.0	118.0	176.0	150.0	96.0	60.0	35.0	46.0	2090.0
Андийцы	1843.0	302.0	111.0	146.0	140.0	118.0	75.0	61.0	47.0	2405.0
Дидойцы	3540.0	309.0	97.0	113.0	104.0	92.0	84.0	62.0	139.0	3038.0
Агулы	2417.0	303.0	115.0	217.0	149.0	81.0	45.0	36.0	54.0	2186.0
Адыгейцы	46704.0	273.0	178.0	280.0	147.0	58.0	31.0	17.0	16.0	1757.0
Азербайджанцы	38907.0	229.0	172.0	334.0	166.0	54.0	21.0	10.0	14.0	1830.0
Алтайцы	25126.0	244.0	187.0	247.0	153.0	64.0	48.0	22.0	35.0	2021.0
Армяне	105102.0	231.0	194.0	351.0	154.0	43.0	15.0	6.0	6.0	1680.0
Ассирийцы	1445.0	243.0	253.0	303.0	131.0	44.0	10.0	6.0	10.0	1591.0
Балкарцы	10376.0	361.0	137.0	206.0	142.0	74.0	35.0	22.0	23.0	1689.0
Башкиры	176967.0	230.0	190.0	298.0	138.0	53.0	43.0	21.0	27.0	1969.0
Белорусы	113210.0	110.0	297.0	421.0	113.0	30.0	15.0	6.0	8.0	1765.0
Болгары	4062.0	170.0	299.0	380.0	107.0	25.0	10.0	5.0	4.0	1590.0
Буряты	73746.0	246.0	188.0	223.0	150.0	69.0	56.0	27.0	41.0	1949.0
Вьетнамцы	988.0	407.0	314.0	216.0	48.0	8.0	4.0	2.0	1.0	965.0
Греки	11986.0	236.0	219.0	338.0	131.0	41.0	17.0	8.0	10.0	1664.0
Грузины	16896.0	261.0	255.0	320.0	114.0	30.0	11.0	4.0	5.0	1480.0
Даргинцы	46022.0	299.0	128.0	197.0	156.0	89.0	54.0	32.0	45.0	2162.0
Евреи	27458.0	202.0	414.0	319.0	46.0	9.0	4.0	2.0	4.0	1264.0
Езиды	2237.0	192.0	123.0	266.0	246.0	97.0	34.0	16.0	26.0	2263.0
Ингуши	119618.0	440.0	64.0	91.0	96.0	90.0	73.0	53.0	93.0	2325.0
Кабардинцы	50443.0	301.0	153.0	240.0	166.0	72.0	35.0	17.0	16.0	1799.0
Казахи	66922.0	252.0	189.0	270.0	131.0	53.0	38.0	23.0	44.0	2015.0
Калмыки	64389.0	267.0	196.0	256.0	142.0	56.0	33.0	21.0	29.0	1853.0
Карачаевцы	69957.0	353.0	128.0	192.0	147.0	79.0	44.0	26.0	31.0	1860.0
Карелы	12320.0	156.0	257.0	375.0	128.0	40.0	22.0	10.0	12.0	1823.0
Киргизы	2714.0	280.0	239.0	278.0	126.0	45.0	17.0	7.0	8.0	1537.0
Китайцы	1308.0	422.0	273.0	186.0	66.0	20.0	16.0	6.0	11.0	1135.0
Коми	48876.0	191.0	221.0	309.0	144.0	56.0	33.0	19.0	27.0	1869.0
Коми-ижемцы	6020.0	196.0	168.0	278.0	167.0	71.0	42.0	30.0	48.0	2297.0
Коми-пермяки	42089.0	165.0	187.0	305.0	167.0	60.0	54.0	27.0	35.0	2145.0
Корейцы	17346.0	233.0	264.0	325.0	111.0	32.0	17.0	8.0	10.0	1589.0
Кумыки	40754.0	297.0	140.0	210.0	167.0	88.0	47.0	22.0	29.0	1977.0
Курды	2358.0	234.0	108.0	194.0	200.0	106.0	51.0	43.0	64.0	2581.0
Лакцы	15219.0	332.0	139.0	228.0	154.0	67.0	37.0	20.0	23.0	1812.0
Латыши	3921.0	126.0	291.0	367.0	131.0	42.0	21.0	11.0	11.0	1854.0
Лезгины	37395.0	294.0	123.0	228.0	162.0	80.0	49.0	28.0	36.0	2045.0
Литовцы	5049.0	145.0	298.0	362.0	121.0	35.0	19.0	9.0	11.0	1765.0
Манси	3081.0	247.0	210.0	266.0	134.0	65.0	35.0	19.0	24.0	1758.0
Марийцы	69996.0	213.0	210.0	314.0	136.0	48.0	40.0	19.0	20.0	1917.0
Горные марийцы	2149.0	223.0	185.0	348.0	125.0	60.0	29.0	14.0	16.0	1849.0
Лугово-восточные марийцы	6373.0	259.0	216.0	278.0	123.0	41.0	46.0	19.0	18.0	1791.0
Молдаване	16576.0	161.0	286.0	361.0	116.0	36.0	21.0	8.0	11.0	1740.0
Мордва	106961.0	149.0	223.0	376.0	131.0	51.0	34.0	17.0	19.0	1986.0
Мордва-мокша	5714.0	197.0	206.0	330.0	117.0	48.0	45.0	28.0	29.0	2034.0
Мордва-эрзя	10236.0	193.0	192.0	340.0	130.0	60.0	44.0	20.0	21.0	2008.0
Нанайцы	3558.0	220.0	217.0	252.0	147.0	62.0	46.0	24.0	32.0	2050.0
Немцы	72876.0	194.0	226.0	331.0	140.0	50.0	29.0	14.0	16.0	1864.0
Ненцы	13174.0	274.0	161.0	173.0	125.0	88.0	57.0	41.0	81.0	2421.0
Ногайцы	13688.0	274.0	162.0	259.0	160.0	67.0	39.0	17.0	22.0	1905.0
Осетины	196198.0	306.0	165.0	256.0	167.0	63.0	26.0	9.0	8.0	1665.0
Поляки	10939.0	128.0	299.0	386.0	115.0	34.0	21.0	8.0	9.0	1782.0
Русские	13767095.0	212.0	319.0	344.0	84.0	21.0	10.0	4.0	6.0	1446.0
Казаки	15149.0	156.0	246.0	405.0	133.0	33.0	13.0	6.0	8.0	1747.0
Рутульцы	3099.0	329.0	108.0	183.0	147.0	85.0	49.0	36.0	63.0	2233.0
Табасараны	10776.0	302.0	116.0	185.0	148.0	83.0	54.0	39.0	73.0	2379.0
Таджики	3872.0	227.0	229.0	280.0	150.0	66.0	29.0	11.0	8.0	1774.0
Татары	637900.0	222.0	232.0	342.0	117.0	37.0	26.0	11.0	13.0	1711.0
Кряшены	2823.0	195.0	171.0	336.0	150.0	55.0	49.0	25.0	19.0	2059.0
