4.3. НАСЕЛЕНИЕ ПО НАЦИОНАЛЬНОСТИ И ВЛАДЕНИЮ РУССКИМ ЯЗЫКОМ						
						
	Городское и сельское население		Городское население		Сельское население	
	Численность лиц соответствующей национальности	из них владеют русским языком	Численность лиц соответствующей национальности	из них владеют русским языком	Численность лиц соответствующей национальности	из них владеют русским языком
Все население	145166731.0	142573285.0	106429049.0	104882605.0	38737682.0	37690680.0
Абазины	37942.0	36525.0	16283.0	16027.0	21659.0	20498.0
Абхазы	11366.0	11242.0	9883.0	9775.0	1483.0	1467.0
Аварцы	814473.0	699705.0	298315.0	284092.0	516158.0	415613.0
Андийцы	21808.0	16995.0	2426.0	2157.0	19382.0	14838.0
Арчинцы	89.0	87.0	82.0	81.0	7.0	6.0
Ахвахцы	6376.0	4598.0	71.0	70.0	6305.0	4528.0
Багулалы	40.0	39.0	33.0	32.0	7.0	7.0
Бежтинцы	6198.0	4783.0	62.0	60.0	6136.0	4723.0
Ботлихцы	16.0	15.0	11.0	10.0	5.0	5.0
Гинухцы	531.0	443.0	15.0	15.0	516.0	428.0
Годоберинцы	39.0	38.0	34.0	33.0	5.0	5.0
Гунзибцы	998.0	640.0	25.0	23.0	973.0	617.0
Дидойцы 	15256.0	11045.0	1640.0	1519.0	13616.0	9526.0
Каратинцы	6052.0	5113.0	463.0	437.0	5589.0	4676.0
Тиндалы	44.0	41.0	21.0	20.0	23.0	21.0
Хваршины	128.0	121.0	11.0	11.0	117.0	110.0
Чамалалы	12.0	12.0	6.0	6.0	6.0	6.0
Агулы	28297.0	25734.0	11065.0	10649.0	17232.0	15085.0
Адыгейцы	128528.0	123107.0	60053.0	58943.0	68475.0	64164.0
Азербайджанцы	621840.0	587515.0	479517.0	457308.0	142323.0	130207.0
Алеуты	540.0	536.0	172.0	169.0	368.0	367.0
Алтайцы 	67239.0	62494.0	13897.0	13764.0	53342.0	48730.0
Американцы	1275.0	1028.0	1230.0	990.0	45.0	38.0
Англичане	529.0	414.0	505.0	398.0	24.0	16.0
Арабы	10630.0	9855.0	10231.0	9486.0	399.0	369.0
Арабы среднеазиатские	181.0	176.0	137.0	133.0	44.0	43.0
Армяне	1130491.0	1113215.0	805621.0	794135.0	324870.0	319080.0
Ассирийцы	13649.0	13542.0	10573.0	10487.0	3076.0	3055.0
Балкарцы	108426.0	103252.0	51565.0	50374.0	56861.0	52878.0
Башкиры	1673389.0	1580818.0	794411.0	782325.0	878978.0	798493.0
Белорусы	807970.0	806385.0	623098.0	621808.0	184872.0	184577.0
Бесермяне	3122.0	3038.0	766.0	764.0	2356.0	2274.0
Болгары	31965.0	31850.0	25362.0	25261.0	6603.0	6589.0
Буряты	445175.0	428845.0	194562.0	192171.0	250613.0	236674.0
Венгры	3768.0	3728.0	2553.0	2522.0	1215.0	1206.0
Вепсы	8240.0	8235.0	4624.0	4622.0	3616.0	3613.0
Водь	73.0	71.0	56.0	54.0	17.0	17.0
Вьетнамцы	26206.0	20257.0	25623.0	19720.0	583.0	537.0
Гагаузы	12210.0	12138.0	9042.0	8987.0	3168.0	3151.0
Греки	97827.0	97061.0	61550.0	61177.0	36277.0	35884.0
Греки-урумы	54.0	54.0	40.0	40.0	14.0	14.0
Грузины 	197934.0	194864.0	166877.0	164406.0	31057.0	30458.0
Аджарцы	252.0	248.0	153.0	151.0	99.0	97.0
Ингилойцы	63.0	59.0	57.0	54.0	6.0	5.0
Лазы	221.0	218.0	101.0	101.0	120.0	117.0
Мегрелы	433.0	424.0	364.0	356.0	69.0	68.0
Сваны	41.0	39.0	35.0	33.0	6.0	6.0
Даргинцы	510156.0	450094.0	172421.0	165073.0	337735.0	285021.0
Кайтагцы	5.0	4.0	5.0	4.0	-	-
Кубачинцы	88.0	88.0	87.0	87.0	1.0	1.0
Долганы	7261.0	6757.0	1334.0	1321.0	5927.0	5436.0
Дунгане 	801.0	746.0	415.0	399.0	386.0	347.0
Евреи	229938.0	228813.0	224672.0	223572.0	5266.0	5241.0
Евреи горские 	3394.0	3299.0	3191.0	3101.0	203.0	198.0
Евреи грузинские	53.0	51.0	51.0	49.0	2.0	2.0
Евреи среднеазиатские	54.0	46.0	49.0	41.0	5.0	5.0
Езиды	31273.0	29511.0	19120.0	18245.0	12153.0	11266.0
Ижорцы	327.0	323.0	177.0	174.0	150.0	149.0
Ингуши	413016.0	362277.0	186478.0	166337.0	226538.0	195940.0
Индийцы хиндиязычные	4980.0	4014.0	4939.0	3974.0	41.0	40.0
Испанцы	1547.0	1460.0	1476.0	1390.0	71.0	70.0
Итальянцы	862.0	800.0	819.0	762.0	43.0	38.0
Ительмены	3180.0	3173.0	1194.0	1191.0	1986.0	1982.0
Кабардинцы	519958.0	483271.0	241062.0	233342.0	278896.0	249929.0
Казахи	653962.0	642801.0	212741.0	210894.0	441221.0	431907.0
Калмыки	173996.0	173289.0	85600.0	85364.0	88396.0	87925.0
Камчадалы	2293.0	2291.0	1297.0	1296.0	996.0	995.0
Караимы	366.0	362.0	349.0	345.0	17.0	17.0
Каракалпаки	1609.0	1579.0	1081.0	1055.0	528.0	524.0
Карачаевцы	192182.0	181927.0	73370.0	71302.0	118812.0	110625.0
Карелы	93344.0	93184.0	52205.0	52138.0	41139.0	41046.0
Кереки	8.0	8.0	4.0	4.0	4.0	4.0
Кеты	1494.0	1489.0	406.0	405.0	1088.0	1084.0
Юги	19.0	19.0	14.0	14.0	5.0	5.0
Киргизы	31808.0	30614.0	28575.0	27460.0	3233.0	3154.0
Китайцы	34577.0	23399.0	33279.0	22369.0	1298.0	1030.0
Коми	293406.0	288434.0	139416.0	138919.0	153990.0	149515.0
Коми-ижемцы	15607.0	14962.0	1516.0	1505.0	14091.0	13457.0
Коми-пермяки	125235.0	123121.0	48658.0	48584.0	76577.0	74537.0
Корейцы	148556.0	145655.0	119260.0	117104.0	29296.0	28551.0
Коряки	8743.0	8607.0	2765.0	2741.0	5978.0	5866.0
Крымчаки	157.0	157.0	145.0	145.0	12.0	12.0
Кубинцы	707.0	698.0	655.0	646.0	52.0	52.0
Кумандинцы	3114.0	3106.0	1704.0	1700.0	1410.0	1406.0
Кумыки	422409.0	384144.0	198807.0	190083.0	223602.0	194061.0
Курды	19607.0	18344.0	4505.0	4300.0	15102.0	14044.0
Лакцы	156545.0	146778.0	109750.0	106164.0	46795.0	40614.0
Латыши 	28520.0	28457.0	20660.0	20608.0	7860.0	7849.0
Латгальцы	1622.0	1620.0	872.0	871.0	750.0	749.0
Лезгины	411535.0	371426.0	192577.0	186309.0	218958.0	185117.0
Литовцы	45569.0	45395.0	31279.0	31150.0	14290.0	14245.0
Манси	11432.0	11332.0	5919.0	5880.0	5513.0	5452.0
Марийцы 	604298.0	587452.0	256094.0	254802.0	348204.0	332650.0
Горные марийцы	18515.0	17632.0	2445.0	2438.0	16070.0	15194.0
Лугово-восточные марийцы	56119.0	54433.0	20643.0	20599.0	35476.0	33834.0
Молдаване	172330.0	170701.0	128777.0	127444.0	43553.0	43257.0
Монголы	2656.0	2465.0	2367.0	2193.0	289.0	272.0
Мордва 	843350.0	837534.0	439063.0	438087.0	404287.0	399447.0
Мордва-мокша	49624.0	49039.0	21554.0	21497.0	28070.0	27542.0
Мордва-эрзя	84407.0	83016.0	22481.0	22431.0	61926.0	60585.0
Нагайбаки	9600.0	9461.0	1889.0	1884.0	7711.0	7577.0
Нанайцы	12160.0	12111.0	3702.0	3688.0	8458.0	8423.0
Нганасаны	834.0	825.0	165.0	164.0	669.0	661.0
Негидальцы	567.0	564.0	164.0	161.0	403.0	403.0
Немцы	597212.0	595715.0	339288.0	338535.0	257924.0	257180.0
Ненцы	41302.0	36695.0	7844.0	7541.0	33458.0	29154.0
Нивхи	5162.0	5145.0	2483.0	2477.0	2679.0	2668.0
Ногайцы 	90666.0	84927.0	19327.0	18721.0	71339.0	66206.0
Орочи	686.0	684.0	338.0	337.0	348.0	347.0
Осетины	514875.0	496091.0	332629.0	324875.0	182246.0	171216.0
Осетины-дигорцы	607.0	589.0	321.0	315.0	286.0	274.0
Осетины-иронцы	97.0	92.0	73.0	69.0	24.0	23.0
Персы	3821.0	3638.0	2982.0	2826.0	839.0	812.0
Поляки	73001.0	72839.0	56050.0	55913.0	16951.0	16926.0
Пуштуны	9800.0	8966.0	9544.0	8732.0	256.0	234.0
Румыны	5308.0	5207.0	3344.0	3274.0	1964.0	1933.0
Русины	97.0	96.0	84.0	84.0	13.0	12.0
Русские	115889107.0	115605241.0	88931060.0	88690036.0	26958047.0	26915205.0
Казаки	140028.0	140028.0	63987.0	63987.0	76041.0	76041.0
Поморы	6571.0	6566.0	4779.0	4775.0	1792.0	1791.0
Рутульцы	29929.0	27083.0	10350.0	10024.0	19579.0	17059.0
Саамы	1991.0	1988.0	853.0	853.0	1138.0	1135.0
Селькупы	4249.0	4200.0	786.0	782.0	3463.0	3418.0
Сербы	4156.0	3851.0	3777.0	3497.0	379.0	354.0
Словаки	568.0	562.0	481.0	475.0	87.0	87.0
Сойоты	2769.0	2459.0	252.0	250.0	2517.0	2209.0
Табасараны	131785.0	115054.0	53610.0	50924.0	78175.0	64130.0
Таджики	120136.0	114751.0	102937.0	98261.0	17199.0	16490.0
Тазы	276.0	276.0	110.0	110.0	166.0	166.0
Талыши	2548.0	2449.0	2397.0	2300.0	151.0	149.0
Татары	5554601.0	5335252.0	3795319.0	3739595.0	1759282.0	1595657.0
Астраханские татары	2003.0	1972.0	776.0	772.0	1227.0	1200.0
Кряшены	24668.0	23093.0	12624.0	12399.0	12044.0	10694.0
Татары сибирские	9611.0	9321.0	4271.0	4224.0	5340.0	5097.0
Татары крымские	4131.0	4104.0	2217.0	2206.0	1914.0	1898.0
Таты	2303.0	2266.0	2171.0	2137.0	132.0	129.0
Теленгиты	2399.0	2030.0	115.0	114.0	2284.0	1916.0
Телеуты	2650.0	2646.0	1142.0	1141.0	1508.0	1505.0
Тофалары	837.0	829.0	138.0	130.0	699.0	699.0
Тубалары	1565.0	1562.0	150.0	150.0	1415.0	1412.0
Тувинцы	243442.0	206533.0	107850.0	97516.0	135592.0	109017.0
Тувинцы-тоджинцы	4442.0	3559.0	7.0	7.0	4435.0	3552.0
Турки	92415.0	82679.0	18217.0	15296.0	74198.0	67383.0
Турки-месхетинцы	3257.0	2972.0	1529.0	1427.0	1728.0	1545.0
Туркмены	33053.0	31868.0	14695.0	14460.0	18358.0	17408.0
Удины	3721.0	3666.0	2078.0	2059.0	1643.0	1607.0
Удмурты	636906.0	625298.0	296976.0	296044.0	339930.0	329254.0
Удэгейцы	1657.0	1653.0	425.0	425.0	1232.0	1228.0
Узбеки	122916.0	119554.0	98548.0	95828.0	24368.0	23726.0
Уйгуры	2867.0	2832.0	2173.0	2143.0	694.0	689.0
Украинцы	2942961.0	2935845.0	2251198.0	2245420.0	691763.0	690425.0
Ульта (ороки)	346.0	344.0	201.0	199.0	145.0	145.0
Ульчи	2913.0	2905.0	564.0	563.0	2349.0	2342.0
Финны	34050.0	33931.0	23484.0	23391.0	10566.0	10540.0
Финны-ингерманландцы	314.0	314.0	274.0	274.0	40.0	40.0
Французы	819.0	738.0	780.0	700.0	39.0	38.0
Хакасы	75622.0	74191.0	32743.0	32583.0	42879.0	41608.0
Ханты	28678.0	27900.0	9924.0	9793.0	18754.0	18107.0
Хемшилы	1542.0	1489.0	115.0	113.0	1427.0	1376.0
Цахуры	10366.0	9197.0	3678.0	3549.0	6688.0	5648.0
Цыгане	182766.0	176349.0	113852.0	109599.0	68914.0	66750.0
Цыгане среднеазиатские	486.0	378.0	246.0	167.0	240.0	211.0
Челканцы	855.0	842.0	135.0	135.0	720.0	707.0
Черкесы	60517.0	57212.0	22585.0	22293.0	37932.0	34919.0
Чехи	2904.0	2893.0	2060.0	2049.0	844.0	844.0
Чеченцы 	1360253.0	1127037.0	502362.0	434934.0	857891.0	692103.0
Чеченцы-аккинцы	218.0	208.0	80.0	79.0	138.0	129.0
Чуванцы	1087.0	1081.0	366.0	365.0	721.0	716.0
Чуваши	1637094.0	1584791.0	839848.0	835673.0	797246.0	749118.0
Чукчи	15767.0	15325.0	3402.0	3369.0	12365.0	11956.0
Чулымцы	656.0	656.0	54.0	54.0	602.0	602.0
Шапсуги	3231.0	3168.0	810.0	805.0	2421.0	2363.0
Шорцы	13975.0	13934.0	9939.0	9923.0	4036.0	4011.0
Эвенки	35527.0	33426.0	8576.0	8452.0	26951.0	24974.0
Эвены	19071.0	17787.0	6116.0	5964.0	12955.0	11823.0
Энцы	237.0	231.0	51.0	51.0	186.0	180.0
Эскимосы	1750.0	1722.0	557.0	555.0	1193.0	1167.0
Эстонцы 	28113.0	28051.0	18082.0	18053.0	10031.0	9998.0
Эстонцы-сету	197.0	187.0	55.0	55.0	142.0	132.0
Юкагиры	1509.0	1456.0	685.0	669.0	824.0	787.0
Якуты 	443852.0	387900.0	157825.0	149533.0	286027.0	238367.0
Японцы	835.0	779.0	768.0	712.0	67.0	67.0
Лица других национальностей (не перечисленных выше)	42980.0	37071.0	36169.0	30761.0	6811.0	6310.0
Лица, не указавшие национальность в переписном листе 	1460751.0	483020.0	1425408.0	465774.0	35343.0	17246.0
