11. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА В  ВОЗРАСТЕ 15-64 ЛЕТ						
ПО ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ						
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС						
						
	Мужчины и женщины		Мужчины		Женщины	
	человек	в % к итогу	человек	в % к итогу	человек	в % к итогу
АЛЕУТЫ						
Камчатская область						
 Все население	227.0	100.0	117.0	100.0	110.0	100.0
Экономически активные	158.0	69.6	78.0	66.7	80.0	72.7
в том числе:						
занятые в экономике	137.0	60.4	66.0	56.4	71.0	64.5
безработные	21.0	9.2	12.0	10.3	9.0	8.2
Экономически неактивные	68.0	30.0	39.0	33.3	29.0	26.4
 Не указавшие экономическую активность	1.0	0.4	-	-	1.0	0.9
ДОЛГАНЫ						
Территории преимущественного проживания КМНС						
 Все население	4109.0	100.0	1800.0	100.0	2309.0	100.0
Экономически активные	2910.0	70.8	1338.0	74.3	1572.0	68.1
в том числе:						
занятые в экономике	2500.0	60.8	1155.0	64.1	1345.0	58.3
безработные	410.0	10.0	183.0	10.2	227.0	9.8
Экономически неактивные	1197.0	29.1	461.0	25.6	736.0	31.9
 Не указавшие экономическую активность	2.0	0.1	1.0	0.1	1.0	0.0
Красноярский край						
 Все население	3536.0	100.0	1553.0	100.0	1983.0	100.0
Экономически активные	2529.0	71.5	1170.0	75.3	1359.0	68.5
в том числе:						
занятые в экономике	2175.0	61.5	1008.0	64.9	1167.0	58.8
безработные	354.0	10.0	162.0	10.4	192.0	9.7
Экономически неактивные	1005.0	28.4	382.0	24.6	623.0	31.4
 Не указавшие экономическую активность	2.0	0.1	1.0	0.1	1.0	0.1
Таймырский (Долгано-Ненецкий) автономный округ						
 Все население	3505.0	100.0	1545.0	100.0	1960.0	100.0
Экономически активные	2512.0	71.7	1167.0	75.5	1345.0	68.6
в том числе:						
занятые в экономике	2164.0	61.8	1007.0	65.2	1157.0	59.0
безработные	348.0	9.9	160.0	10.3	188.0	9.6
Экономически неактивные	992.0	28.3	377.0	24.4	615.0	31.4
 Не указавшие экономическую активность	1.0	0.0	1.0	0.1	-	-
Республика Саха (Якутия)						
 Все население	573.0	100.0	247.0	100.0	326.0	100.0
Экономически активные	381.0	66.5	168.0	68.0	213.0	65.3
в том числе:						
занятые в экономике	325.0	56.7	147.0	59.5	178.0	54.6
безработные	56.0	9.8	21.0	8.5	35.0	10.7
Экономически неактивные	192.0	33.5	79.0	32.0	113.0	34.7
 Не указавшие экономическую активность	-	-	-	-	-	-
ИТЕЛЬМЕНЫ						
Территории преимущественного проживания КМНС						
 Все население	1117.0	100.0	551.0	100.0	566.0	100.0
Экономически активные	802.0	71.8	397.0	72.1	405.0	71.5
в том числе:						
занятые в экономике	520.0	46.6	235.0	42.7	285.0	50.3
безработные	282.0	25.2	162.0	29.4	120.0	21.2
Экономически неактивные	314.0	28.1	154.0	27.9	160.0	28.3
 Не указавшие экономическую активность	1.0	0.1	-	-	1.0	0.2
Камчатская область						
 Все население	845.0	100.0	410.0	100.0	435.0	100.0
Экономически активные	645.0	76.3	322.0	78.5	323.0	74.3
в том числе:						
занятые в экономике	431.0	51.0	199.0	48.5	232.0	53.4
безработные	214.0	25.3	123.0	30.0	91.0	20.9
Экономически неактивные	199.0	23.6	88.0	21.5	111.0	25.5
 Не указавшие экономическую активность	1.0	0.1	-	-	1.0	0.2
Корякский автономный округ						
 Все население	803.0	100.0	386.0	100.0	417.0	100.0
Экономически активные	611.0	76.1	304.0	78.8	307.0	73.6
в том числе:						
занятые в экономике	404.0	50.3	186.0	48.2	218.0	52.3
безработные	207.0	25.8	118.0	30.6	89.0	21.3
Экономически неактивные	191.0	23.8	82.0	21.2	109.0	26.1
 Не указавшие экономическую активность	1.0	0.1	-	-	1.0	0.3
Магаданская область						
 Все население	272.0	100.0	141.0	100.0	131.0	100.0
Экономически активные	157.0	57.7	75.0	53.2	82.0	62.6
в том числе:						
занятые в экономике	89.0	32.7	36.0	25.5	53.0	40.5
безработные	68.0	25.0	39.0	27.7	29.0	22.1
Экономически неактивные	115.0	42.3	66.0	46.8	49.0	37.4
 Не указавшие экономическую активность	-	-	-	-	-	-
КЕТЫ						
Красноярский край						
 Все население	633.0	100.0	318.0	100.0	315.0	100.0
Экономически активные	297.0	46.9	118.0	37.1	179.0	56.8
в том числе:						
занятые в экономике	243.0	38.4	87.0	27.4	156.0	49.5
безработные	54.0	8.5	31.0	9.7	23.0	7.3
Экономически неактивные	236.0	37.3	150.0	47.2	86.0	27.3
 Не указавшие экономическую активность	100.0	15.8	50.0	15.7	50.0	15.9
КОРЯКИ						
Территории преимущественного проживания КМНС						
 Все население	5065.0	100.0	2419.0	100.0	2646.0	100.0
Экономически активные	3434.0	67.8	1643.0	67.9	1791.0	67.7
в том числе:						
занятые в экономике	2204.0	43.5	970.0	40.1	1234.0	46.6
безработные	1230.0	24.3	673.0	27.8	557.0	21.1
Экономически неактивные	1583.0	31.3	759.0	31.4	824.0	31.1
 Не указавшие экономическую активность	48.0	0.9	17.0	0.7	31.0	1.2
Камчатская область						
 Все население	4500.0	100.0	2152.0	100.0	2348.0	100.0
Экономически активные	3128.0	69.5	1495.0	69.5	1633.0	69.5
в том числе:						
занятые в экономике	2022.0	44.9	889.0	41.3	1133.0	48.2
безработные	1106.0	24.6	606.0	28.2	500.0	21.3
Экономически неактивные	1328.0	29.5	640.0	29.7	688.0	29.3
 Не указавшие экономическую активность	44.0	1.0	17.0	0.8	27.0	1.2
Корякский автономный округ						
 Все население	4407.0	100.0	2107.0	100.0	2300.0	100.0
Экономически активные	3075.0	69.8	1473.0	69.9	1602.0	69.6
в том числе:						
занятые в экономике	1984.0	45.0	876.0	41.6	1108.0	48.1
безработные	1091.0	24.8	597.0	28.3	494.0	21.5
Экономически неактивные	1290.0	29.3	617.0	29.3	673.0	29.3
 Не указавшие экономическую активность	42.0	0.9	17.0	0.8	25.0	1.1
Магаданская область						
 Все население	526.0	100.0	249.0	100.0	277.0	100.0
Экономически активные	282.0	53.6	133.0	53.4	149.0	53.8
в том числе:						
занятые в экономике	158.0	30.0	66.0	26.5	92.0	33.2
безработные	124.0	23.6	67.0	26.9	57.0	20.6
Экономически неактивные	242.0	46.0	116.0	46.6	126.0	45.5
 Не указавшие экономическую активность	2.0	0.4	-	-	2.0	0.7
Чукотский автономный округ						
 Все население	39.0	100.0	18.0	100.0	21.0	100.0
