4. ДЕТИ В ВОЗРАСТЕ 3-9 ЛЕТ ПО ОБУЧЕНИЮ В ДОШКОЛЬНЫХ И ОБЩЕОБРАЗОВАТЕЛЬНЫХ УЧРЕЖДЕНИЯХ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
					
					
	Всего	в том числе дети		На 1000 детей     соответствующего  возраста	
		обучающиеся в дошкольных и общеобразовательных учреждениях	не обучающиеся в  дошкольных и общеобразовательных учреждениях	обучающиеся в дошкольных и общеобразовательных учреждениях	не обучающиеся в дошкольных и общеобразовательных учреждениях
Российская Федерация					
Все население					
Дети в возрасте 3-9 лет	9494597.0	7811606.0	1475861.0	823.0	155.0
в том числе в возрасте, лет:					
3.0	1258539.0	773801.0	440493.0	615.0	350.0
4.0	1295185.0	861961.0	397305.0	665.0	307.0
5.0	1289379.0	877848.0	370076.0	681.0	287.0
6.0	1325725.0	1063672.0	228094.0	802.0	172.0
7.0	1403952.0	1361395.0	24435.0	969.0	18.0
8.0	1447971.0	1422724.0	8979.0	983.0	6.0
9.0	1473846.0	1450205.0	6479.0	984.0	4.0
Городское население					
Дети в возрасте 3-9 лет	6418867.0	5562110.0	695314.0	867.0	108.0
в том числе в возрасте, лет:					
3.0	857242.0	603516.0	219606.0	704.0	256.0
4.0	878429.0	671801.0	178737.0	765.0	203.0
5.0	873298.0	681852.0	160755.0	781.0	184.0
6.0	895371.0	757046.0	112427.0	845.0	126.0
7.0	952104.0	922699.0	14308.0	969.0	15.0
8.0	975860.0	956570.0	5566.0	980.0	6.0
9.0	986563.0	968626.0	3915.0	982.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	3075730.0	2249496.0	780547.0	731.0	254.0
в том числе в возрасте, лет:					
3.0	401297.0	170285.0	220887.0	424.0	551.0
4.0	416756.0	190160.0	218568.0	456.0	525.0
5.0	416081.0	195996.0	209321.0	471.0	503.0
6.0	430354.0	306626.0	115667.0	712.0	269.0
7.0	451848.0	438696.0	10127.0	971.0	22.0
8.0	472111.0	466154.0	3413.0	988.0	7.0
9.0	487283.0	481579.0	2564.0	988.0	5.0
Центральный федеральный округ					
Все население					
Дети в возрасте 3-9 лет	2082871.0	1734025.0	276638.0	833.0	133.0
в том числе в возрасте, лет:					
3.0	274641.0	175890.0	84964.0	640.0	309.0
4.0	281982.0	199132.0	71078.0	706.0	252.0
5.0	283977.0	205122.0	65573.0	722.0	231.0
6.0	294104.0	239484.0	43918.0	814.0	149.0
7.0	310696.0	297030.0	5862.0	956.0	19.0
8.0	316204.0	305918.0	2981.0	967.0	9.0
9.0	321267.0	311449.0	2262.0	969.0	7.0
Городское население					
Дети в возрасте 3-9 лет	1619011.0	1395017.0	157999.0	862.0	98.0
в том числе в возрасте, лет:					
3.0	216934.0	150984.0	53353.0	696.0	246.0
4.0	221422.0	171498.0	39100.0	775.0	177.0
5.0	222438.0	176442.0	33948.0	793.0	153.0
6.0	228954.0	195684.0	23636.0	855.0	103.0
7.0	241340.0	230155.0	3994.0	954.0	17.0
8.0	242873.0	233821.0	2274.0	963.0	9.0
9.0	245050.0	236433.0	1694.0	965.0	7.0
Сельское население					
Дети в возрасте 3-9 лет	463860.0	339008.0	118639.0	731.0	256.0
в том числе в возрасте, лет:					
3.0	57707.0	24906.0	31611.0	432.0	548.0
4.0	60560.0	27634.0	31978.0	456.0	528.0
5.0	61539.0	28680.0	31625.0	466.0	514.0
6.0	65150.0	43800.0	20282.0	672.0	311.0
7.0	69356.0	66875.0	1868.0	964.0	27.0
8.0	73331.0	72097.0	707.0	983.0	10.0
9.0	76217.0	75016.0	568.0	984.0	7.0
Белгородская область					
Все население					
Дети в возрасте 3-9 лет	95195.0	79894.0	13981.0	839.0	147.0
в том числе в возрасте, лет:					
3.0	11544.0	7385.0	3953.0	640.0	342.0
4.0	12264.0	8318.0	3773.0	678.0	308.0
5.0	12798.0	8868.0	3691.0	693.0	288.0
6.0	13532.0	11305.0	2029.0	835.0	150.0
7.0	14555.0	14127.0	252.0	971.0	17.0
8.0	14980.0	14641.0	162.0	977.0	11.0
9.0	15522.0	15250.0	121.0	983.0	8.0
Городское население					
Дети в возрасте 3-9 лет	60643.0	54251.0	5446.0	895.0	90.0
в том числе в возрасте, лет:					
3.0	7457.0	5625.0	1684.0	754.0	226.0
4.0	7811.0	6316.0	1373.0	808.0	176.0
5.0	8223.0	6834.0	1216.0	831.0	148.0
6.0	8611.0	7629.0	835.0	886.0	97.0
7.0	9264.0	8982.0	149.0	970.0	16.0
8.0	9461.0	9233.0	113.0	976.0	12.0
9.0	9816.0	9632.0	76.0	981.0	8.0
Сельское население					
Дети в возрасте 3-9 лет	34552.0	25643.0	8535.0	742.0	247.0
в том числе в возрасте, лет:					
3.0	4087.0	1760.0	2269.0	431.0	555.0
4.0	4453.0	2002.0	2400.0	450.0	539.0
5.0	4575.0	2034.0	2475.0	445.0	541.0
6.0	4921.0	3676.0	1194.0	747.0	243.0
7.0	5291.0	5145.0	103.0	972.0	20.0
8.0	5519.0	5408.0	49.0	980.0	9.0
9.0	5706.0	5618.0	45.0	984.0	8.0
Брянская область					
Все население					
Дети в возрасте 3-9 лет	90081.0	75258.0	14024.0	835.0	156.0
в том числе в возрасте, лет:					
3.0	11048.0	6766.0	4148.0	612.0	376.0
4.0	11584.0	7658.0	3829.0	661.0	331.0
5.0	11907.0	7879.0	3859.0	662.0	324.0
6.0	12496.0	10445.0	1894.0	836.0	152.0
7.0	13415.0	13169.0	163.0	982.0	12.0
8.0	14355.0	14213.0	70.0	990.0	5.0
9.0	15276.0	15128.0	61.0	990.0	4.0
Городское население					
Дети в возрасте 3-9 лет	59794.0	53470.0	5762.0	894.0	96.0
в том числе в возрасте, лет:					
3.0	7408.0	5438.0	1882.0	734.0	254.0
4.0	7746.0	6182.0	1505.0	798.0	194.0
5.0	7843.0	6268.0	1451.0	799.0	185.0
6.0	8321.0	7457.0	752.0	896.0	90.0
7.0	8849.0	8698.0	92.0	983.0	10.0
8.0	9553.0	9456.0	38.0	990.0	4.0
9.0	10074.0	9971.0	42.0	990.0	4.0
Сельское население					
Дети в возрасте 3-9 лет	30287.0	21788.0	8262.0	719.0	273.0
в том числе в возрасте, лет:					
3.0	3640.0	1328.0	2266.0	365.0	622.0
4.0	3838.0	1476.0	2324.0	385.0	605.0
5.0	4064.0	1611.0	2408.0	396.0	593.0
6.0	4175.0	2988.0	1142.0	716.0	273.0
7.0	4566.0	4471.0	71.0	979.0	16.0
8.0	4802.0	4757.0	32.0	991.0	6.0
9.0	5202.0	5157.0	19.0	991.0	4.0
Владимирская область					
Все население					
Дети в возрасте 3-9 лет	84268.0	74763.0	7430.0	887.0	88.0
в том числе в возрасте, лет:					
3.0	11039.0	8480.0	2133.0	768.0	193.0
4.0	11246.0	9096.0	1819.0	809.0	162.0
5.0	11531.0	9274.0	1845.0	804.0	160.0
6.0	11725.0	10116.0	1309.0	863.0	112.0
7.0	12454.0	12072.0	175.0	969.0	14.0
