2. ЗАНЯТОЕ НАСЕЛЕНИЕ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ВОЗРАСТНЫМ ГРУППАМ  											
(на 1000 человек, занятых соответствующим видом экономической деятельности)											
											
											
	В возрасте,  лет										В трудоспособном возрасте
	15 – 19	20 – 24	25 – 29	30 – 34	35 – 39	40 – 44	45 – 49	50 – 54	55 – 59	60 – 64	
Городское и сельское население в возрасте 15-64 лет, занятое в  экономике 	21.0	104.0	128.0	123.0	131.0	163.0	148.0	117.0	42.0	23.0	959.0
в том числе по видам экономической деятельности:											
сельское хозяйство, охота и лесное хозяйство	26.0	83.0	103.0	111.0	141.0	188.0	170.0	126.0	39.0	13.0	980.0
рыболовство, рыбоводство	14.0	89.0	125.0	129.0	145.0	175.0	154.0	112.0	38.0	19.0	975.0
добыча полезных ископаемых	8.0	85.0	121.0	117.0	132.0	188.0	173.0	125.0	36.0	15.0	977.0
обрабатывающие производства	21.0	104.0	118.0	105.0	117.0	159.0	161.0	138.0	50.0	27.0	956.0
производство и распределение электроэнергии, газа и воды	7.0	67.0	104.0	106.0	122.0	174.0	179.0	153.0	59.0	29.0	956.0
строительство	22.0	105.0	123.0	113.0	128.0	171.0	157.0	120.0	42.0	19.0	972.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	36.0	141.0	160.0	148.0	142.0	152.0	116.0	76.0	20.0	9.0	980.0
гостиницы и рестораны	52.0	143.0	128.0	116.0	123.0	155.0	139.0	103.0	28.0	13.0	965.0
транспорт и связь	12.0	86.0	120.0	128.0	137.0	176.0	159.0	122.0	42.0	18.0	971.0
финансовая деятельность	12.0	110.0	165.0	152.0	137.0	154.0	134.0	98.0	28.0	10.0	973.0
операции с недвижимым имуществом, аренда и предоставление услуг	18.0	111.0	126.0	112.0	117.0	148.0	146.0	128.0	56.0	38.0	939.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	15.0	131.0	167.0	153.0	145.0	153.0	113.0	80.0	29.0	14.0	972.0
образование	15.0	90.0	123.0	126.0	131.0	158.0	144.0	121.0	55.0	37.0	923.0
здравоохранение и предоставление социальных услуг	11.0	87.0	126.0	126.0	132.0	160.0	149.0	126.0	47.0	36.0	928.0
предоставление прочих коммунальных, социальных и персональных услуг	26.0	97.0	114.0	115.0	124.0	158.0	152.0	128.0	52.0	34.0	941.0
предоставление услуг по ведению домашнего хозяйства	34.0	100.0	108.0	106.0	124.0	170.0	158.0	129.0	45.0	26.0	949.0
деятельность экстерриториальных организаций	30.0	117.0	122.0	126.0	118.0	147.0	140.0	114.0	49.0	37.0	941.0
не распределенные по видам деятельности и неточно указавшие вид деятельности	22.0	104.0	125.0	122.0	128.0	156.0	142.0	119.0	50.0	32.0	947.0
Мужчины в возрасте 15-64 лет, занятые в экономике 	21.0	110.0	136.0	127.0	129.0	156.0	138.0	110.0	48.0	25.0	974.0
в том числе по видам экономической деятельности:											
сельское хозяйство, охота и лесное хозяйство	30.0	89.0	107.0	113.0	138.0	181.0	160.0	120.0	48.0	14.0	985.0
рыболовство, рыбоводство	14.0	90.0	127.0	134.0	149.0	175.0	149.0	106.0	38.0	18.0	981.0
добыча полезных ископаемых	9.0	91.0	127.0	121.0	132.0	183.0	165.0	119.0	38.0	15.0	985.0
обрабатывающие производства	23.0	117.0	130.0	107.0	110.0	145.0	145.0	129.0	59.0	35.0	965.0
производство и распределение электроэнергии, газа и воды	8.0	75.0	113.0	111.0	120.0	164.0	167.0	145.0	64.0	33.0	967.0
строительство	23.0	111.0	131.0	119.0	129.0	166.0	147.0	112.0	43.0	19.0	980.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	32.0	140.0	174.0	166.0	145.0	140.0	101.0	67.0	25.0	10.0	989.0
