10. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ						
						
	Численность членов частных домохозяйств	из них проживающие в домохозяйствах, состоящих из				
		1 человека	2 человек	3 человек	4 человек	5 и более человек
Городское и сельское население	142754098.0	11741449.0	29069338.0	37610229.0	35774300.0	28558782.0
в том числе в возрасте, лет:						
 0 – 3	5076941.0	1757.0	183956.0	1404577.0	1584015.0	1902636.0
 4 – 5	2570315.0	1181.0	134384.0	684634.0	871336.0	878780.0
 6 – 9	5609183.0	2986.0	348619.0	1431307.0	2043241.0	1783030.0
10 – 14 	10278100.0	10354.0	753322.0	2619731.0	3981735.0	2912958.0
15 – 17 	7524118.0	184145.0	689388.0	2006708.0	2719798.0	1924079.0
18 – 24	15597386.0	833188.0	2298369.0	4343764.0	4277696.0	3844369.0
25 – 34 	20039983.0	951858.0	2828628.0	6690879.0	5271253.0	4297365.0
35 – 44 	22501674.0	1141366.0	3295059.0	6642988.0	7263339.0	4158922.0
45 – 54	21505608.0	1679255.0	5649341.0	6307927.0	4540007.0	3329078.0
55 – 64	13247432.0	2027027.0	5374212.0	2716388.0	1537492.0	1592313.0
65 и более	18686375.0	4886021.0	7489528.0	2736464.0	1663490.0	1910872.0
возраст не указан	116983.0	22311.0	24532.0	24862.0	20898.0	24380.0
Мужчины	65561711.0	3849064.0	12751473.0	17876783.0	17317081.0	13767310.0
в том числе в возрасте, лет:						
 0 – 3	2598355.0	902.0	94600.0	721555.0	811752.0	969546.0
 4 – 5	1314110.0	574.0	68835.0	350842.0	448214.0	445645.0
 6 – 9	2864836.0	1497.0	179052.0	730262.0	1053333.0	900692.0
10 – 14 	5236001.0	5220.0	383468.0	1330659.0	2047709.0	1468945.0
15 – 17 	3798226.0	77435.0	336906.0	1016638.0	1395815.0	971432.0
18 – 24	7400953.0	384673.0	1041842.0	2050459.0	2119273.0	1804706.0
25 – 34 	9862205.0	569698.0	1405156.0	3383538.0	2415873.0	2087940.0
35 – 44 	10887612.0	699403.0	1437187.0	3119915.0	3549555.0	2081552.0
45 – 54	10000210.0	766746.0	2370985.0	2940413.0	2269979.0	1652087.0
55 – 64	5559650.0	559674.0	2300723.0	1267482.0	697928.0	733843.0
65 и более	5981291.0	772136.0	3121575.0	953091.0	497232.0	637257.0
возраст не указан	58262.0	11106.0	11144.0	11929.0	10418.0	13665.0
Женщины	77192387.0	7892385.0	16317865.0	19733446.0	18457219.0	14791472.0
в том числе в возрасте, лет:						
 0 – 3	2478586.0	855.0	89356.0	683022.0	772263.0	933090.0
 4 – 5	1256205.0	607.0	65549.0	333792.0	423122.0	433135.0
 6 – 9	2744347.0	1489.0	169567.0	701045.0	989908.0	882338.0
10 – 14 	5042099.0	5134.0	369854.0	1289072.0	1934026.0	1444013.0
15 – 17 	3725892.0	106710.0	352482.0	990070.0	1323983.0	952647.0
18 – 24	8196433.0	448515.0	1256527.0	2293305.0	2158423.0	2039663.0
25 – 34 	10177778.0	382160.0	1423472.0	3307341.0	2855380.0	2209425.0
35 – 44 	11614062.0	441963.0	1857872.0	3523073.0	3713784.0	2077370.0
45 – 54	11505398.0	912509.0	3278356.0	3367514.0	2270028.0	1676991.0
55 – 64	7687782.0	1467353.0	3073489.0	1448906.0	839564.0	858470.0
65 и более	12705084.0	4113885.0	4367953.0	1783373.0	1166258.0	1273615.0
возраст не указан	58721.0	11205.0	13388.0	12933.0	10480.0	10715.0
Городское население	104580819.0	8768570.0	21742366.0	29408271.0	26458732.0	18202880.0
в том числе в возрасте, лет:						
 0 – 3	3491904.0	1639.0	155258.0	1092754.0	1108543.0	1133710.0
 4 – 5	1740254.0	1107.0	113147.0	535127.0	592590.0	498283.0
 6 – 9	3778718.0	2765.0	295449.0	1124329.0	1377495.0	978680.0
10 – 14 	7027847.0	9337.0	631039.0	2015760.0	2778238.0	1593473.0
15 – 17 	5490603.0	167985.0	582748.0	1563803.0	2028509.0	1147558.0
18 – 24	12106058.0	763884.0	1980197.0	3461480.0	3338870.0	2561627.0
25 – 34 	15269517.0	823701.0	2383586.0	5378156.0	3786385.0	2897689.0
35 – 44 	16556932.0	915520.0	2539634.0	5154275.0	5334641.0	2612862.0
45 – 54	16278297.0	1302168.0	4182087.0	4892621.0	3568464.0	2332957.0
55 – 64	9839583.0	1510528.0	3830081.0	2121621.0	1235921.0	1141432.0
65 и более	12891669.0	3248792.0	5026307.0	2044854.0	1289615.0	1282101.0
возраст не указан	109437.0	21144.0	22833.0	23491.0	19461.0	22508.0
Мужчины	47555027.0	2919833.0	9337355.0	13841005.0	12705270.0	8751564.0
в том числе в возрасте, лет:						
 0 – 3	1788716.0	840.0	79901.0	561071.0	567879.0	579025.0
 4 – 5	890341.0	539.0	57943.0	274134.0	304591.0	253134.0
 6 – 9	1932107.0	1387.0	151678.0	573014.0	709711.0	496317.0
10 – 14 	3577801.0	4674.0	319736.0	1020477.0	1426939.0	805975.0
15 – 17 	2738916.0	68980.0	281347.0	781845.0	1031813.0	574931.0
18 – 24	5680848.0	343652.0	885278.0	1616158.0	1641830.0	1193930.0
25 – 34 	7465951.0	473425.0	1153593.0	2673766.0	1738343.0	1426824.0
35 – 44 	7849686.0	534512.0	1052005.0	2396293.0	2562729.0	1304147.0
45 – 54	7387934.0	554183.0	1682135.0	2242700.0	1764245.0	1144671.0
55 – 64	4091496.0	400722.0	1616730.0	983307.0	559605.0	531132.0
65 и более	4096495.0	526383.0	2046644.0	706968.0	387849.0	428651.0
возраст не указан	54736.0	10536.0	10365.0	11272.0	9736.0	12827.0
Женщины	57025792.0	5848737.0	12405011.0	15567266.0	13753462.0	9451316.0
в том числе в возрасте, лет:						
 0 – 3	1703188.0	799.0	75357.0	531683.0	540664.0	554685.0
 4 – 5	849913.0	568.0	55204.0	260993.0	287999.0	245149.0
 6 – 9	1846611.0	1378.0	143771.0	551315.0	667784.0	482363.0
10 – 14 	3450046.0	4663.0	311303.0	995283.0	1351299.0	787498.0
15 – 17 	2751687.0	99005.0	301401.0	781958.0	996696.0	572627.0
18 – 24	6425210.0	420232.0	1094919.0	1845322.0	1697040.0	1367697.0
25 – 34 	7803566.0	350276.0	1229993.0	2704390.0	2048042.0	1470865.0
35 – 44 	8707246.0	381008.0	1487629.0	2757982.0	2771912.0	1308715.0
45 – 54	8890363.0	747985.0	2499952.0	2649921.0	1804219.0	1188286.0
55 – 64	5748087.0	1109806.0	2213351.0	1138314.0	676316.0	610300.0
65 и более	8795174.0	2722409.0	2979663.0	1337886.0	901766.0	853450.0
возраст не указан	54701.0	10608.0	12468.0	12219.0	9725.0	9681.0
Сельское население	38173279.0	2972879.0	7326972.0	8201958.0	9315568.0	10355902.0
в том числе в возрасте, лет:						
 0 – 3	1585037.0	118.0	28698.0	311823.0	475472.0	768926.0
 4 – 5	830061.0	74.0	21237.0	149507.0	278746.0	380497.0
 6 – 9	1830465.0	221.0	53170.0	306978.0	665746.0	804350.0
10 – 14 	3250253.0	1017.0	122283.0	603971.0	1203497.0	1319485.0
15 – 17 	2033515.0	16160.0	106640.0	442905.0	691289.0	776521.0
18 – 24	3491328.0	69304.0	318172.0	882284.0	938826.0	1282742.0
25 – 34 	4770466.0	128157.0	445042.0	1312723.0	1484868.0	1399676.0
35 – 44 	5944742.0	225846.0	755425.0	1488713.0	1928698.0	1546060.0
45 – 54	5227311.0	377087.0	1467254.0	1415306.0	971543.0	996121.0
55 – 64	3407849.0	516499.0	1544131.0	594767.0	301571.0	450881.0
65 и более	5794706.0	1637229.0	2463221.0	691610.0	373875.0	628771.0
возраст не указан	7546.0	1167.0	1699.0	1371.0	1437.0	1872.0
Мужчины	18006684.0	929231.0	3414118.0	4035778.0	4611811.0	5015746.0
в том числе в возрасте, лет:						
 0 – 3	809639.0	62.0	14699.0	160484.0	243873.0	390521.0
 4 – 5	423769.0	35.0	10892.0	76708.0	143623.0	192511.0
 6 – 9	932729.0	110.0	27374.0	157248.0	343622.0	404375.0
10 – 14 	1658200.0	546.0	63732.0	310182.0	620770.0	662970.0
15 – 17 	1059310.0	8455.0	55559.0	234793.0	364002.0	396501.0
18 – 24	1720105.0	41021.0	156564.0	434301.0	477443.0	610776.0
25 – 34 	2396254.0	96273.0	251563.0	709772.0	677530.0	661116.0
35 – 44 	3037926.0	164891.0	385182.0	723622.0	986826.0	777405.0
