Чувашская Республика							
	Численность лиц, владеющих соответствую-щим языком	в том числе					
		чуваши	русские	татары	мордва	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:							
азербайджанским	829.0	35.0	54.0	23.0	2.0	715.0	-
английским	50550.0	28446.0	19654.0	985.0	165.0	1299.0	1.0
арабским	119.0	20.0	29.0	19.0	-	51.0	-
армянским	1123.0	26.0	50.0	4.0	1.0	1042.0	-
башкирским	391.0	108.0	11.0	78.0	1.0	193.0	-
белорусским	858.0	38.0	115.0	2.0	1.0	702.0	-
болгарским	186.0	68.0	55.0	2.0	-	61.0	-
горномарийским	911.0	63.0	43.0	1.0	8.0	796.0	-
греческим	127.0	29.0	38.0	2.0	1.0	57.0	-
грузинским	533.0	27.0	57.0	-	1.0	448.0	-
испанским	220.0	86.0	116.0	2.0	1.0	15.0	-
итальянским	317.0	128.0	161.0	8.0	1.0	19.0	-
казахским	301.0	63.0	58.0	49.0	2.0	129.0	-
литовским	140.0	26.0	64.0	2.0	1.0	47.0	-
лугово-восточным марийским (марийским)	1534.0	267.0	117.0	9.0	6.0	1135.0	-
молдавским	348.0	26.0	35.0	1.0	-	286.0	-
мордовским, мокша-мордовским, эрзя-мордовским	12766.0	342.0	760.0	18.0	11616.0	30.0	-
немецким	25457.0	17932.0	6400.0	331.0	121.0	672.0	1.0
польским	317.0	74.0	115.0	1.0	-	127.0	-
таджикским	442.0	31.0	34.0	28.0	-	349.0	-
татарским	39968.0	6566.0	569.0	32507.0	103.0	223.0	-
турецким	596.0	329.0	126.0	24.0	1.0	116.0	-
удмуртским	244.0	11.0	12.0	4.0	1.0	216.0	-
узбекским	688.0	87.0	124.0	137.0	5.0	335.0	-
украинским	4726.0	456.0	1152.0	15.0	8.0	3095.0	-
французским	3897.0	2229.0	1478.0	47.0	20.0	123.0	-
цыганским	855.0	1.0	34.0	2.0	1.0	817.0	-
чеченским	124.0	24.0	8.0	7.0	-	85.0	-
чувашским	797162.0	763242.0	16647.0	14609.0	855.0	1806.0	3.0
другими языками (не перечисленными выше)	2559.0	634.0	535.0	51.0	18.0	1321.0	-
