11. ГРУППИРОВКА СЕЛЬСКИХ АДМИНИСТРАЦИЙ ПО ЧИСЛУ СЕЛЬСКИХ НАСЕЛЕННЫХ ПУНКТОВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
	Всего	в том числе с числом сельских населенных пунктов							
		1-2	3-5	6-10	11-15	16-20	21-30	31-50	более 50
									
Российская Федерация									
Число сельских администраций	24464	7676	8313	4675	1744	883	775	319	79
численность населения	37966658	11767223	12895070	7875320	2414650	1208872	1179067	483930	142526
мужчины	18071526	5647495	6158543	3725932	1128801	563703	553737	226374	66941
женщины	19895132	6119728	6736527	4149388	1285849	645169	625330	257556	75585
Центральный федеральный округ	 	 	 	 	 	 	 	 	 
Число сельских администраций 	6136	671	1455	1863	1041	541	450	96	19
численность населения	7537545	870312	1699290	2128620	1206115	713991	724110	164029	31078
мужчины	3482329	401836	779936	985727	555877	329708	339033	75666	14546
женщины	4055216	468476	919354	1142893	650238	384283	385077	88363	16532
Белгородская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	335	79	152	95	7	2	-	-	-
численность населения	517769	93848	233080	169055	18004	3782	-	-	-
мужчины	236598	42871	106999	76914	8128	1686	-	-	-
женщины	281171	50977	126081	92141	9876	2096	-	-	-
Брянская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	420	45	158	167	42	7	1	-	-
численность населения	432931	37057	142878	178385	55362	15697	3552	-	-
мужчины	199426	17077	65688	82582	25322	7122	1635	-	-
женщины	233505	19980	77190	95803	30040	8575	1917	-	-
Владимирская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	227	9	35	87	50	26	18	2	-
численность населения	305420	7887	45035	100840	75213	43137	27166	6142	-
мужчины	139390	3528	20190	46738	34627	19658	11816	2833	-
женщины	166030	4359	24845	54102	40586	23479	15350	3309	-
Воронежская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	493	190	219	79	4	1	-	-	-
численность населения	895731	313904	411931	158162	10143	1591	-	-	-
мужчины	412853	143590	189618	74244	4669	732	-	-	-
женщины	482878	170314	222313	83918	5474	859	-	-	-
Ивановская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	205	5	11	47	65	40	30	7	-
численность населения	198295	6956	13150	29015	68898	33046	35816	11414	-
мужчины	92972	3188	5979	13977	32434	15301	16918	5175	-
женщины	105323	3768	7171	15038	36464	17745	18898	6239	-
Калужская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	329	11	56	140	85	25	11	1	-
численность населения	257022	21790	32354	89278	66505	33823	11217	2055	-
мужчины	117952	9891	14784	41083	30518	15629	5124	923	-
женщины	139070	11899	17570	48195	35987	18194	6093	1132	-
Костромская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	274	16	37	68	70	32	43	7	1
численность населения	239266	22242	23362	37949	49091	33567	55229	15253	2573
мужчины	111946	10611	10875	17953	22759	15533	25963	7073	1179
женщины	127320	11631	12487	19996	26332	18034	29266	8180	1394
Курская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	479	72	194	165	33	13	2	-	-
численность населения	477962	65540	171204	184100	36522	16201	4395	-	-
мужчины	220253	30171	78770	85244	16685	7412	1971	-	-
женщины	257709	35369	92434	98856	19837	8789	2424	-	-
Липецкая область	 	 	 	 	 	 	 	 	 
Число сельских администраций	303	68	113	100	17	3	2	-	-
численность населения	433286	101125	152791	135327	22952	18550	2541	-	-
мужчины	198792	46418	69755	62341	10502	8571	1205	-	-
женщины	234494	54707	83036	72986	12450	9979	1336	-	-
Московская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	471	10	39	159	117	75	65	6	-
численность населения	1320901	12460	83067	404187	348047	222133	230136	20871	-
мужчины	615887	5923	37804	188280	160868	102375	111013	9624	-
женщины	705014	6537	45263	215907	187179	119758	119123	11247	-
Орловская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	223	1	16	66	68	28	39	5	-
численность населения	313784	1660	15723	76010	81555	36590	90225	12021	-
мужчины	144952	782	7209	35252	37248	17174	41700	5587	-
женщины	168832	878	8514	40758	44307	19416	48525	6434	-
Рязанская область	 	 	 	 	 	 	 	 	 
Число сельских администраций	482	77	204	161	27	10	3	-	-
численность населения	379089	52137	144991	142678	28362	8247	2674	-	-
