4. СРЕДНЕЕ ЧИСЛО РОЖДЕННЫХ ДЕТЕЙ ЖЕНЩИНАМИ, ИМЕЮЩИМИ РАЗЛИЧНЫЙ 								
УРОВЕНЬ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
(на 1000 женщин соответствующего возраста и уровня образования, указавших число рожденных детей)								
								
	Среднее число рожденных детей	У женщин, имеющих образование						Среднее число рожденных детей женщинами, не имеющими
  начального общего образования
		профессиональное			общее (включая окончивших
профессиональное или профессионально-техническое училище)			
		послевузовское и высшее	неполное высшее	среднее	среднее (полное)	основное	начальное	
Российская Федерация								
Городские и сельские населенные пункты								
Женщины в возрасте 15 лет и более	1513.0	1305.0	751.0	1511.0	1381.0	1515.0	2354.0	2671.0
15 – 17 лет	17.0	-	19.0	45.0	19.0	16.0	19.0	51.0
18 – 19 -" -	89.0	129.0	41.0	99.0	69.0	189.0	293.0	180.0
20 – 24 -" -	438.0	303.0	191.0	464.0	487.0	746.0	737.0	463.0
25 – 29 -" -	993.0	719.0	798.0	1014.0	1149.0	1288.0	1282.0	802.0
30 – 34 -" -	1386.0	1139.0	1219.0	1394.0	1564.0	1710.0	1732.0	1113.0
35 – 39 -" -	1668.0	1401.0	1492.0	1660.0	1878.0	2086.0	2073.0	1264.0
40 – 44 -" -	1827.0	1556.0	1659.0	1803.0	2002.0	2324.0	2339.0	1315.0
45 – 49 -" -	1878.0	1602.0	1707.0	1833.0	1994.0	2401.0	2577.0	1510.0
50 – 54 -" -	1845.0	1567.0	1690.0	1779.0	1913.0	2296.0	2650.0	1827.0
55 – 59 -" -	1807.0	1509.0	1632.0	1702.0	1823.0	2183.0	2630.0	2674.0
60 – 64 -" -	1913.0	1480.0	1590.0	1676.0	1827.0	2141.0	2516.0	2845.0
65 – 69 -" -	2014.0	1481.0	1664.0	1707.0	1829.0	2097.0	2484.0	2917.0
70 лет и более	2211.0	1529.0	1836.0	1811.0	1882.0	2126.0	2468.0	2860.0
Городские населенные пункты								
Женщины в возрасте 15 лет и более	1350.0	1259.0	698.0	1434.0	1235.0	1303.0	2006.0	2440.0
15 – 17 лет	16.0	-	18.0	45.0	17.0	14.0	17.0	53.0
18 – 19 -" -	71.0	123.0	39.0	96.0	56.0	148.0	247.0	214.0
20 – 24 -" -	383.0	293.0	180.0	445.0	420.0	639.0	660.0	545.0
25 – 29 -" -	901.0	697.0	770.0	959.0	1031.0	1106.0	1075.0	928.0
30 – 34 -" -	1263.0	1098.0	1168.0	1306.0	1389.0	1430.0	1493.0	1375.0
35 – 39 -" -	1524.0	1349.0	1426.0	1560.0	1672.0	1735.0	1710.0	1500.0
40 – 44 -" -	1685.0	1504.0	1596.0	1709.0	1813.0	1947.0	1852.0	1480.0
45 – 49 -" -	1733.0	1549.0	1635.0	1743.0	1832.0	2038.0	2019.0	1649.0
50 – 54 -" -	1697.0	1514.0	1617.0	1692.0	1770.0	1967.0	2023.0	1802.0
55 – 59 -" -	1636.0	1455.0	1546.0	1619.0	1697.0	1877.0	2038.0	2344.0
60 – 64 -" -	1676.0	1432.0	1515.0	1600.0	1690.0	1851.0	2002.0	2382.0
65 – 69 -" -	1736.0	1433.0	1547.0	1621.0	1692.0	1848.0	2027.0	2384.0
70 лет и более	1950.0	1484.0	1712.0	1717.0	1785.0	1943.0	2168.0	2656.0
Сельские населенные пункты								
Женщины в возрасте 15 лет и более	1993.0	1657.0	1152.0	1805.0	1788.0	1913.0	2737.0	2838.0
15 – 17 лет	22.0	-	93.0	44.0	29.0	20.0	22.0	49.0
18 – 19 -" -	158.0	455.0	63.0	109.0	125.0	265.0	324.0	147.0
20 – 24 -" -	630.0	391.0	294.0	531.0	668.0	884.0	786.0	389.0
25 – 29 -" -	1301.0	915.0	989.0	1222.0	1401.0	1530.0	1446.0	680.0
30 – 34 -" -	1771.0	1446.0	1540.0	1690.0	1896.0	2060.0	1939.0	881.0
35 – 39 -" -	2087.0	1748.0	1875.0	1975.0	2241.0	2467.0	2341.0	1073.0
40 – 44 -" -	2259.0	1903.0	2022.0	2122.0	2387.0	2723.0	2689.0	1181.0
