1.5. ГРУППИРОВКА ГОРОДСКИХ НАСЕЛЕННЫХ ПУНКТОВ ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ				
				
	Число городских населенных пунктов		Число жителей в них	
	1989.0	2002.0	1989.0	2002.0
Все городские населенные пункты	3230.0	2940.0	107959002.0	106429049.0
их них с числом жителей, тыс. человек:				
до 3	602.0	606.0	1084340.0	1011999.0
3-4,9	541.0	414.0	2144804.0	1641868.0
5-9,9	795.0	683.0	5677836.0	4879981.0
10-49,9	962.0	907.0	20405362.0	19601340.0
50-99,9	165.0	163.0	11285961.0	11083221.0
100-499,9	131.0	134.0	28161939.0	28391044.0
500-999,9	22.0	20.0	14039932.0	12403523.0
1 млн. и более	12.0	13.0	25158828.0	27416073.0
Города	1037.0	1098.0	94449490.0	95916477.0
их них с числом жителей, тыс. человек:				
до 3	7.0	11.0	12327.0	22732.0
3-4,9	17.0	21.0	72407.0	88068.0
5-9,9	82.0	101.0	628485.0	771636.0
10-49,9	603.0	635.0	15206372.0	15740180.0
50-99,9	163.0	163.0	11169200.0	11083221.0
100-499,9	131.0	134.0	28161939.0	28391044.0
500-999,9	22.0	20.0	14039932.0	12403523.0
1 млн. и более	12.0	13.0	25158828.0	27416073.0
Поселки городского типа	2193.0	1842.0	13509512.0	10512572.0
их них с числом жителей, тыс. человек:				
до 3	595.0	595.0	1072013.0	989267.0
3-4,9	524.0	393.0	2072397.0	1553800.0
5-9,9	713.0	582.0	5049351.0	4108345.0
10-19,9	321.0	247.0	4261705.0	3230775.0
20 и более	40.0	25.0	1054046.0	630385.0
