7. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ И ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
									
									
	Городское и сельское			Городское население			Сельское население		
	население								
	мужчины и женщины	мужчины	женщины	мужчины и женщины	мужчины	женщины	мужчины и женщины	мужчины	женщины
Российская Федерация									
Русские	115889107.0	53337496.0	62551611.0	88931060.0	40589298.0	48341762.0	26958047.0	12748198.0	14209849.0
 в том числе в возрасте, лет:									
0 - 4	4966284.0	2540049.0	2426235.0	3694254.0	1889328.0	1804926.0	1272030.0	650721.0	621309.0
5 - 9	5304495.0	2710804.0	2593691.0	3883635.0	1985722.0	1897913.0	1420860.0	725082.0	695778.0
10 - 14	8151139.0	4159083.0	3992056.0	5977139.0	3046950.0	2930189.0	2174000.0	1112133.0	1061867.0
15 - 17	6130506.0	3110632.0	3019874.0	4719462.0	2371664.0	2347798.0	1411044.0	738968.0	672076.0
18 - 19	4217136.0	2145185.0	2071951.0	3449401.0	1740371.0	1709030.0	767735.0	404814.0	362921.0
20 - 24	9283190.0	4668428.0	4614762.0	7465454.0	3716700.0	3748754.0	1817736.0	951728.0	866008.0
25 - 29	8531653.0	4251665.0	4279988.0	6842730.0	3385407.0	3457323.0	1688923.0	866258.0	822665.0
30 - 34	7648710.0	3789012.0	3859698.0	6069139.0	2984828.0	3084311.0	1579571.0	804184.0	775387.0
35 - 39	7717730.0	3748352.0	3969378.0	5963729.0	2853165.0	3110564.0	1754001.0	895187.0	858814.0
40 - 44	9729800.0	4660267.0	5069533.0	7476969.0	3496805.0	3980164.0	2252831.0	1163462.0	1089369.0
45 - 49	9324750.0	4361967.0	4962783.0	7231762.0	3295931.0	3935831.0	2092988.0	1066036.0	1026952.0
50 - 54	8288916.0	3776550.0	4512366.0	6535597.0	2911271.0	3624326.0	1753319.0	865279.0	888040.0
55 - 59	4426316.0	1931397.0	2494919.0	3537167.0	1524946.0	2012221.0	889149.0	406451.0	482698.0
60 - 64	6561828.0	2619697.0	3942131.0	4889966.0	1926412.0	2963554.0	1671862.0	693285.0	978577.0
65 - 69	5181943.0	1952864.0	3229079.0	3768702.0	1387748.0	2380954.0	1413241.0	565116.0	848125.0
70 и более	10396894.0	2898382.0	7498512.0	7401067.0	2060288.0	5340779.0	2995827.0	838094.0	2157733.0
возраст не указан	27817.0	13162.0	14655.0	24887.0	11762.0	13125.0	2930.0	1400.0	1530.0
Из общей численности - население в возрасте:									
моложе трудоспособного	20494137.0	10464783.0	10029354.0	15105156.0	7707651.0	7397505.0	5388981.0	2757132.0	2631849.0
трудоспособном	70731569.0	35388608.0	35342961.0	55729061.0	27495437.0	28233624.0	15002508.0	7893171.0	7109337.0
старше трудоспособного	24635584.0	7470943.0	17164641.0	18071956.0	5374448.0	12697508.0	6563628.0	2096495.0	4467133.0
Медианный возраст	   37,6	   34,0	   40,5	   37,1	   33,5	   40,1	   39,0	   35,7	   41,7
Татары	5554601.0	2605039.0	2949562.0	3795319.0	1759613.0	2035706.0	1759282.0	845426.0	913856.0
 в том числе в возрасте, лет:									
0 - 4	231906.0	119269.0	112637.0	146876.0	75886.0	70990.0	85030.0	43383.0	41647.0
5 - 9	269505.0	138496.0	131009.0	166323.0	85569.0	80754.0	103182.0	52927.0	50255.0
10 - 14	426534.0	218172.0	208362.0	276016.0	141098.0	134918.0	150518.0	77074.0	73444.0
15 - 17	304234.0	154791.0	149443.0	218150.0	109394.0	108756.0	86084.0	45397.0	40687.0
18 - 19	190135.0	96163.0	93972.0	150985.0	74720.0	76265.0	39150.0	21443.0	17707.0
20 - 24	396004.0	199606.0	196398.0	299466.0	148935.0	150531.0	96538.0	50671.0	45867.0
25 - 29	363865.0	182186.0	181679.0	261820.0	129749.0	132071.0	102045.0	52437.0	49608.0
30 - 34	364903.0	180926.0	183977.0	251133.0	121772.0	129361.0	113770.0	59154.0	54616.0
35 - 39	461417.0	224675.0	236742.0	319880.0	150069.0	169811.0	141537.0	74606.0	66931.0
40 - 44	566468.0	272616.0	293852.0	406614.0	188658.0	217956.0	159854.0	83958.0	75896.0
45 - 49	470606.0	222028.0	248578.0	341998.0	156820.0	185178.0	128608.0	65208.0	63400.0
50 - 54	347197.0	160883.0	186314.0	249770.0	113089.0	136681.0	97427.0	47794.0	49633.0
55 - 59	171214.0	75900.0	95314.0	119775.0	52534.0	67241.0	51439.0	23366.0	28073.0
60 - 64	292101.0	121814.0	170287.0	181687.0	74153.0	107534.0	110414.0	47661.0	62753.0
65 - 69	246030.0	98468.0	147562.0	146921.0	57086.0	89835.0	99109.0	41382.0	57727.0
70 и более	451625.0	138665.0	312960.0	257218.0	79778.0	177440.0	194407.0	58887.0	135520.0
возраст не указан	857.0	381.0	476.0	687.0	303.0	384.0	170.0	78.0	92.0
Из общей численности - население в возрасте:									
моложе трудоспособного	1033047.0	529443.0	503604.0	660872.0	338844.0	322028.0	372175.0	190599.0	181576.0
трудоспособном	3435627.0	1716268.0	1719359.0	2480693.0	1209449.0	1271244.0	954934.0	506819.0	448115.0
старше трудоспособного	1085070.0	358947.0	726123.0	653067.0	211017.0	442050.0	432003.0	147930.0	284073.0
Медианный возраст	   37,7	   35,3	   39,6	   37,2	   34,7	   39,1	   38,8	   36,5	   41,1
Украинцы	2942961.0	1410164.0	1532797.0	2251198.0	1088279.0	1162919.0	691763.0	321885.0	369878.0
 в том числе в возрасте, лет:									
0 - 4	33422.0	17706.0	15716.0	24089.0	12850.0	11239.0	9333.0	4856.0	4477.0
5 - 9	48810.0	25344.0	23466.0	34865.0	18106.0	16759.0	13945.0	7238.0	6707.0
10 - 14	84083.0	43123.0	40960.0	59979.0	30732.0	29247.0	24104.0	12391.0	11713.0
15 - 17	62077.0	31914.0	30163.0	45877.0	23391.0	22486.0	16200.0	8523.0	7677.0
18 - 19	42420.0	20942.0	21478.0	33727.0	16576.0	17151.0	8693.0	4366.0	4327.0
20 - 24	134074.0	67449.0	66625.0	106620.0	53390.0	53230.0	27454.0	14059.0	13395.0
25 - 29	183954.0	91208.0	92746.0	146271.0	72877.0	73394.0	37683.0	18331.0	19352.0
30 - 34	231346.0	115858.0	115488.0	183930.0	93034.0	90896.0	47416.0	22824.0	24592.0
35 - 39	270424.0	137615.0	132809.0	211022.0	108100.0	102922.0	59402.0	29515.0	29887.0
40 - 44	323729.0	164879.0	158850.0	250199.0	127561.0	122638.0	73530.0	37318.0	36212.0
45 - 49	291765.0	147193.0	144572.0	225395.0	113286.0	112109.0	66370.0	33907.0	32463.0
50 - 54	280131.0	138297.0	141834.0	216906.0	106723.0	110183.0	63225.0	31574.0	31651.0
55 - 59	177698.0	86770.0	90928.0	137452.0	67667.0	69785.0	40246.0	19103.0	21143.0
60 - 64	252493.0	119937.0	132556.0	188603.0	91241.0	97362.0	63890.0	28696.0	35194.0
65 - 69	176379.0	78661.0	97718.0	128563.0	58370.0	70193.0	47816.0	20291.0	27525.0
70 и более	349608.0	123007.0	226601.0	257216.0	94137.0	163079.0	92392.0	28870.0	63522.0
возраст не указан	548.0	261.0	287.0	484.0	238.0	246.0	64.0	23.0	41.0
Из общей численности - население в возрасте:									
моложе трудоспособного	187133.0	96834.0	90299.0	133946.0	69367.0	64579.0	53187.0	27467.0	25720.0
трудоспособном	1885872.0	991464.0	894408.0	1472601.0	774926.0	697675.0	413271.0	216538.0	196733.0
старше трудоспособного	869408.0	321605.0	547803.0	644167.0	243748.0	400419.0	225241.0	77857.0	147384.0
Медианный возраст	   45,9	   44,7	   47,3	   45,6	   44,5	   46,8	   47,0	   45,2	   49,0
Башкиры	1673389.0	793184.0	880205.0	794411.0	371028.0	423383.0	878978.0	422156.0	456822.0
 в том числе в возрасте, лет:									
0 - 4	88636.0	45051.0	43585.0	35255.0	17887.0	17368.0	53381.0	27164.0	26217.0
5 - 9	100730.0	51316.0	49414.0	39979.0	20313.0	19666.0	60751.0	31003.0	29748.0
10 - 14	153543.0	78222.0	75321.0	66099.0	33852.0	32247.0	87444.0	44370.0	43074.0
15 - 17	104576.0	53366.0	51210.0	56217.0	27594.0	28623.0	48359.0	25772.0	22587.0
18 - 19	60885.0	30812.0	30073.0	39380.0	19321.0	20059.0	21505.0	11491.0	10014.0
