2. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ТИПАМ, РАЗМЕРУ И ЧИСЛУ ДЕТЕЙ МОЛОЖЕ 18 ЛЕТ								
								
	Число частных домохозяйств	В них чис-ленность членов домохозяйств	Из общего числа домохозяйств – домохозяйства, состоящие из					Средний размер домохозяйства, человек
			2 человек	3 человек	4 человек	5 человек	6 и более человек	
								
Городские и сельские населенные пункты								
Все домохозяйства	40969926.0	131012649.0	14534669.0	12536743.0	8943575.0	3032437.0	1922502.0	3.2
из них домохозяйства, имеющие детей моложе 18 лет	21195854.0	80754743.0	2069559.0	7501864.0	7161537.0	2710951.0	1751943.0	3.8
в том числе домохозяйства:								
с 1 ребенком	13829141.0	46411079.0	2043481.0	6924285.0	3295752.0	1178596.0	387027.0	3.4
с 2 детьми	5970635.0	25801641.0	26078.0	565830.0	3773372.0	962562.0	642793.0	4.3
с 3 и более детьми	1396078.0	8542023.0		11749.0	92413.0	569793.0	722123.0	6.1
в них детей		4809789.0		35247.0	283916.0	1729515.0	2761111.0	
Домохозяйства, состоящие из одной супружеской пары, родственников (или без них) и не родственников (или без них)	28048641.0	91983642.0	7804783.0	9388754.0	7644577.0	2236268.0	974259.0	3.3
из них домохозяйства, имеющие детей моложе 18 лет	14731632.0	57913943.0		5478778.0	6282161.0	2045649.0	925044.0	3.9
в том числе домохозяйства:								
с 1 ребенком	9165213.0	32199247.0		5478778.0	2853255.0	691595.0	141585.0	3.5
с 2 детьми	4563543.0	19757621.0			3428906.0	855062.0	279575.0	4.3
с 3 и более детьми	1002876.0	5957075.0				498992.0	503884.0	5.9
в них детей		3405657.0				1496976.0	1908681.0	
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей	22481135.0	67843648.0	7804783.0	8076968.0	5462879.0	837753.0	298752.0	3.0
из них домохозяйства, имеющие детей моложе 18 лет	11118199.0	40694105.0		5312061.0	4725460.0	792537.0	288141.0	3.7
в том числе домохозяйства:								
с 1 ребенком	6818933.0	22138838.0		5312061.0	1355133.0	133875.0	17864.0	3.2
с 2 детьми	3591124.0	14635254.0			3370327.0	181883.0	38914.0	4.1
с 3 и более детьми	708142.0	3920013.0				476779.0	231363.0	5.5
в них детей		2390389.0				1430337.0	960052.0	
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и одного из родителей супругов	2029848.0	8460385.0		499030.0	852754.0	556611.0	121453.0	4.2
из них домохозяйства, имеющие детей моложе 18 лет	1268201.0	5848849.0			649386.0	501431.0	117384.0	4.6
в том числе домохозяйства:								
с 1 ребенком	784851.0	3290074.0			649386.0	121720.0	13745.0	4.2
с 2 детьми	401029.0	2030110.0				379711.0	21318.0	5.1
с 3 и более детьми	82321.0	528665.0					82321.0	6.4
в них детей		272873.0					272873.0	
Домохозяйства, состоящие из одной супружеской пары с детьми и без детей и матери (отца) с детьми	1135979.0	5369303.0			576292.0	385518.0	174169.0	4.7
из них домохозяйства, имеющие детей моложе 18 лет	1051147.0	5010600.0			506656.0	373441.0	171050.0	4.8
в том числе домохозяйства:								
с 1 ребенком	746467.0	3255688.0			506656.0	214993.0	24818.0	4.4
с 2 детьми	235546.0	1269609.0				158448.0	77098.0	5.4
с 3 и более детьми	69134.0	485303.0					69134.0	7.0
в них детей		238209.0					238209.0	
Прочие домохозяйства, состоящие из одной супружеской пары	2401679.0	10310306.0		812756.0	752652.0	456386.0	379885.0	4.3
из них домохозяйства, имеющие детей моложе 18 лет	1294085.0	6360389.0		166717.0	400659.0	378240.0	348469.0	4.9
в том числе домохозяйства:								
