11. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ						
						
	Численность членов частных домохозяйств	из них проживающие в домохозяйствах, состоящих из				
		1 человека	2 человек	3 человек	4 человек	5 и более человек
Центральный федеральный округ						
Все население	37496981.0	3667179.0	8092898.0	10067454.0	8962708.0	6706742.0
в том числе в возрасте, лет:						
 0 – 3	1100743.0	826.0	49944.0	309166.0	350304.0	390503.0
 4 – 5	562806.0	626.0	35177.0	159786.0	193449.0	173768.0
 6 – 9	1233436.0	1476.0	91484.0	352566.0	449454.0	338456.0
10 – 14 	2292510.0	3748.0	198470.0	660956.0	902592.0	526744.0
15 – 17 	1728586.0	41928.0	181037.0	512359.0	643510.0	349752.0
18 – 24	3833216.0	220752.0	579771.0	1090428.0	1084998.0	857267.0
25 – 34 	5248625.0	311256.0	787473.0	1704839.0	1280608.0	1164449.0
35 – 44 	6018536.0	377060.0	944971.0	1856689.0	1801312.0	1038504.0
45 – 54	5811158.0	503025.0	1469749.0	1713286.0	1241213.0	883885.0
55 – 64	3855416.0	619274.0	1479192.0	820247.0	478554.0	458149.0
65 и более	5763630.0	1579247.0	2266331.0	877857.0	528749.0	511446.0
возраст не указан	48319.0	7961.0	9299.0	9275.0	7965.0	13819.0
Белгородская область						
Все население	1497585.0	130698.0	300140.0	393795.0	380132.0	292820.0
в том числе в возрасте, лет:						
 0 – 3	47231.0	6.0	1391.0	12301.0	13998.0	19535.0
 4 – 5	24935.0	4.0	1101.0	6737.0	8225.0	8868.0
 6 – 9	58237.0	22.0	3229.0	15261.0	21505.0	18220.0
10 – 14 	105603.0	108.0	6932.0	27843.0	43797.0	26923.0
15 – 17 	79624.0	5523.0	5978.0	21075.0	29868.0	17180.0
18 – 24	153861.0	13484.0	18089.0	41871.0	44008.0	36409.0
25 – 34 	196842.0	6928.0	23465.0	68131.0	53195.0	45123.0
35 – 44 	237689.0	9320.0	31570.0	74585.0	82485.0	39729.0
45 – 54	221613.0	14643.0	55736.0	66747.0	48172.0	36315.0
55 – 64	145455.0	20339.0	60836.0	28418.0	15953.0	19909.0
65 и более	225978.0	60232.0	91699.0	30700.0	18817.0	24530.0
возраст не указан	517.0	89.0	114.0	126.0	109.0	79.0
Брянская область						
Все население	1364558.0	127797.0	289444.0	362640.0	351016.0	233661.0
в том числе в возрасте, лет:						
 0 – 3	43708.0	4.0	1552.0	12273.0	14261.0	15618.0
 4 – 5	23349.0	3.0	1204.0	6352.0	8700.0	7090.0
 6 – 9	55094.0	18.0	3417.0	14541.0	22011.0	15107.0
10 – 14 	98395.0	77.0	6708.0	25786.0	41814.0	24010.0
15 – 17 	70328.0	1895.0	6473.0	19836.0	26634.0	15490.0
18 – 24	134130.0	7870.0	18641.0	39265.0	38607.0	29747.0
25 – 34 	180797.0	7078.0	24042.0	63394.0	52215.0	34068.0
35 – 44 	210989.0	10207.0	30580.0	64776.0	72465.0	32961.0
45 – 54	200343.0	15983.0	52855.0	60138.0	42860.0	28507.0
55 – 64	125998.0	19821.0	52647.0	26065.0	14325.0	13140.0
65 и более	221310.0	64831.0	91292.0	30183.0	17109.0	17895.0
возраст не указан	117.0	10.0	33.0	31.0	15.0	28.0
Владимирская область						
Все население	1496443.0	144240.0	347176.0	438822.0	356884.0	209321.0
в том числе в возрасте, лет:						
 0 – 3	45856.0	8.0	2101.0	14740.0	14475.0	14532.0
 4 – 5	22668.0	7.0	1470.0	7392.0	7831.0	5968.0
 6 – 9	50209.0	20.0	3926.0	16186.0	18122.0	11955.0
10 – 14 	98639.0	89.0	8727.0	31017.0	38574.0	20232.0
15 – 17 	74225.0	1080.0	8024.0	23943.0	27923.0	13255.0
18 – 24	148696.0	5013.0	23908.0	48815.0	43667.0	27293.0
25 – 34 	195442.0	7957.0	29050.0	76749.0	50050.0	31636.0
35 – 44 	232143.0	11109.0	37417.0	80784.0	74236.0	28597.0
45 – 54	235697.0	18971.0	66882.0	74938.0	47795.0	27111.0
55 – 64	154934.0	26758.0	67349.0	31524.0	16296.0	13007.0
65 и более	236739.0	73067.0	98024.0	32416.0	17678.0	15554.0
возраст не указан	1195.0	161.0	298.0	318.0	237.0	181.0
Воронежская область						
Все население	2351632.0	219106.0	519286.0	641508.0	570408.0	401324.0
в том числе в возрасте, лет:						
 0 – 3	68789.0	21.0	2183.0	20011.0	21637.0	24937.0
 4 – 5	35808.0	6.0	1645.0	10536.0	12355.0	11266.0
 6 – 9	83398.0	25.0	4758.0	23386.0	31212.0	24017.0
10 – 14 	154271.0	98.0	10287.0	43389.0	62574.0	37923.0
15 – 17 	116373.0	2468.0	10621.0	34209.0	44061.0	25014.0
18 – 24	230647.0	12369.0	34408.0	69248.0	65656.0	48966.0
25 – 34 	298235.0	11408.0	38906.0	108114.0	80563.0	59244.0
35 – 44 	361680.0	16215.0	52600.0	119052.0	117790.0	56023.0
45 – 54	353086.0	26241.0	94615.0	108446.0	73663.0	50121.0
55 – 64	244637.0	37388.0	104144.0	49039.0	26809.0	27257.0
65 и более	401532.0	112418.0	164369.0	55339.0	33306.0	36100.0
возраст не указан	3176.0	449.0	750.0	739.0	782.0	456.0
Ивановская область						
Все население	1122265.0	124090.0	281092.0	330468.0	256016.0	130599.0
в том числе в возрасте, лет:						
 0 – 3	33516.0	10.0	1593.0	12148.0	11133.0	8632.0
 4 – 5	16329.0	8.0	1153.0	5822.0	5645.0	3701.0
 6 – 9	36971.0	16.0	3235.0	12698.0	13489.0	7533.0
10 – 14 	72695.0	87.0	6922.0	23380.0	29060.0	13246.0
15 – 17 	54159.0	1331.0	6383.0	17687.0	19863.0	8895.0
18 – 24	113540.0	7011.0	21167.0	37707.0	30659.0	16996.0
25 – 34 	148836.0	7203.0	24956.0	60672.0	36959.0	19046.0
35 – 44 	167767.0	8652.0	28794.0	58629.0	53111.0	18581.0
45 – 54	174880.0	15858.0	54756.0	55241.0	32562.0	16463.0
55 – 64	114898.0	21563.0	52489.0	22243.0	10809.0	7794.0
65 и более	188398.0	62298.0	79571.0	24166.0	12676.0	9687.0
возраст не указан	276.0	53.0	73.0	75.0	50.0	25.0
Калужская область						
Все население	1028232.0	99506.0	231412.0	286974.0	251144.0	159196.0
в том числе в возрасте, лет:						
 0 – 3	31624.0	8.0	1318.0	9110.0	10063.0	11125.0
 4 – 5	15827.0	7.0	961.0	4603.0	5507.0	4749.0
 6 – 9	35481.0	14.0	2569.0	10428.0	13119.0	9351.0
10 – 14 	69327.0	69.0	6035.0	20320.0	27365.0	15538.0
15 – 17 	51420.0	1050.0	5497.0	15495.0	19150.0	10228.0
18 – 24	103022.0	5294.0	15804.0	31120.0	30180.0	20624.0
25 – 34 	133191.0	5939.0	19865.0	48538.0	35116.0	23733.0
35 – 44 	162765.0	8788.0	26149.0	53772.0	51976.0	22080.0
45 – 54	161969.0	13518.0	43523.0	49865.0	34204.0	20859.0
55 – 64	104922.0	18014.0	43739.0	21756.0	11778.0	9635.0
65 и более	158357.0	46745.0	65868.0	21895.0	12627.0	11222.0
возраст не указан	327.0	60.0	84.0	72.0	59.0	52.0
Костромская область						
Все население	723227.0	76275.0	176202.0	212016.0	172968.0	85766.0
в том числе в возрасте, лет:						
 0 – 3	24163.0	5.0	972.0	8864.0	8182.0	6140.0
 4 – 5	11629.0	6.0	756.0	4021.0	4284.0	2562.0
 6 – 9	25562.0	9.0	1859.0	7944.0	10318.0	5432.0
10 – 14 	50737.0	47.0	3990.0	15262.0	21636.0	9802.0
15 – 17 	37046.0	1521.0	3757.0	11902.0	13627.0	6239.0
18 – 24	72229.0	5245.0	12527.0	24162.0	19270.0	11025.0
25 – 34 	92176.0	4063.0	13558.0	37822.0	24878.0	11855.0
35 – 44 	114589.0	5599.0	18755.0	39374.0	38143.0	12718.0
45 – 54	111383.0	9603.0	35810.0	35822.0	20019.0	10129.0
55 – 64	67910.0	12392.0	32965.0	12733.0	5515.0	4305.0
65 и более	115408.0	37691.0	51145.0	14025.0	7047.0	5500.0
возраст не указан	395.0	94.0	108.0	85.0	49.0	59.0
Курская область						
Все население	1224372.0	107858.0	258850.0	326160.0	296272.0	235232.0
в том числе в возрасте, лет:						
 0 – 3	39215.0	4.0	1130.0	9760.0	11986.0	16335.0
 4 – 5	20402.0	5.0	844.0	5220.0	6857.0	7476.0
 6 – 9	46185.0	8.0	2334.0	11985.0	16740.0	15118.0
10 – 14 	83612.0	35.0	5368.0	22808.0	32587.0	22814.0
15 – 17 	60198.0	1588.0	5060.0	17672.0	22130.0	13748.0
18 – 24	116187.0	5118.0	14879.0	34418.0	33863.0	27909.0
25 – 34 	157356.0	5274.0	18933.0	54246.0	42608.0	36295.0
35 – 44 	192822.0	8316.0	28407.0	62602.0	61486.0	32011.0
45 – 54	184040.0	13420.0	48810.0	55652.0	37941.0	28217.0
55 – 64	120799.0	18154.0	50315.0	23873.0	13204.0	15253.0
