1.8. НАСЕЛЕНИЕ ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ									
									
	Городское и сельское население в возрасте			Городское население в возрасте			Сельское население в возрасте		
	моложе трудоспособного	трудоспособном	старше трудоспособного	моложе трудоспособного	трудоспособном	старше трудоспособного	моложе трудоспособного	трудоспособном	старше трудоспособного
									
Российская Федерация									
Мужчины и женщины									
1989.0	35995107.0	83746353.0	27195551.0	25692561.0	63618412.0	18578111.0	10302546.0	20127941.0	8617440.0
2002.0	26327283.0	88941569.0	29777984.0	18019188.0	67249444.0	21048523.0	8308095.0	21692125.0	8729461.0
Мужчины									
1989.0	18288633.0	43440058.0	6945932.0	13056757.0	32409607.0	4833737.0	5231876.0	11030451.0	2112195.0
2002.0	13452030.0	44812058.0	9280679.0	9206301.0	33445471.0	6441238.0	4245729.0	11366587.0	2839441.0
Женщины									
1989.0	17706474.0	40306295.0	20249619.0	12635804.0	31208805.0	13744374.0	5070670.0	9097490.0	6505245.0
2002.0	12875253.0	44129511.0	20497305.0	8812887.0	33803973.0	14607285.0	4062366.0	10325538.0	5890020.0
Центральный федеральный округ									
Мужчины и женщины									
1989.0	7957473.0	21363014.0	8574351.0	6275481.0	17217599.0	6008152.0	1681992.0	4145415.0	2566199.0
2002.0	5824878.0	23135025.0	8991453.0	4530848.0	19055269.0	6734142.0	1294030.0	4079756.0	2257311.0
Мужчины									
1989.0	4048216.0	10990188.0	2153750.0	3192770.0	8674414.0	1555354.0	855446.0	2315774.0	598396.0
2002.0	2987206.0	11781327.0	2753097.0	2322284.0	9621755.0	2051237.0	664922.0	2159572.0	701860.0
Женщины									
1989.0	3909257.0	10372826.0	6420601.0	3082711.0	8543185.0	4452798.0	826546.0	1829641.0	1967803.0
2002.0	2837672.0	11353698.0	6238356.0	2208564.0	9433514.0	4682905.0	629108.0	1920184.0	1555451.0
Белгородская область									
Мужчины и женщины									
1989.0	313156.0	746821.0	318309.0	217787.0	509219.0	138293.0	95369.0	237602.0	180016.0
2002.0	264963.0	895232.0	350901.0	171518.0	629876.0	183788.0	93445.0	265356.0	167113.0
Мужчины									
1989.0	159379.0	386691.0	79744.0	110765.0	254324.0	37157.0	48614.0	132367.0	42587.0
2002.0	135148.0	445153.0	112970.0	87450.0	305982.0	59453.0	47698.0	139171.0	53517.0
Женщины									
1989.0	153777.0	360130.0	238565.0	107022.0	254895.0	101136.0	46755.0	105235.0	137429.0
2002.0	129815.0	450079.0	237931.0	84068.0	323894.0	124335.0	45747.0	126185.0	113596.0
Брянская область									
Мужчины и женщины									
1989.0	336331.0	791579.0	342217.0	237371.0	567560.0	180065.0	98960.0	224019.0	162152.0
2002.0	247088.0	803692.0	328041.0	166611.0	579682.0	197005.0	80477.0	224010.0	131036.0
Мужчины									
1989.0	170941.0	417482.0	82944.0	120800.0	290266.0	45552.0	50141.0	127216.0	37392.0
2002.0	126750.0	403660.0	99132.0	85491.0	283908.0	59497.0	41259.0	119752.0	39635.0
Женщины									
1989.0	165390.0	374097.0	259273.0	116571.0	277294.0	134513.0	48819.0	96803.0	124760.0
2002.0	120338.0	400032.0	228909.0	81120.0	295774.0	137508.0	39218.0	104258.0	91401.0
Владимирская область									
Мужчины и женщины									
1989.0	366924.0	930067.0	351770.0	290231.0	759276.0	252843.0	76693.0	170791.0	98927.0
2002.0	244578.0	909176.0	369018.0	193532.0	739532.0	279691.0	51046.0	169644.0	89327.0
Мужчины									
1989.0	185386.0	478016.0	85782.0	146455.0	385195.0	63123.0	38931.0	92821.0	22659.0
2002.0	124652.0	455103.0	109696.0	98627.0	366639.0	82732.0	26025.0	88464.0	26964.0
Женщины									
1989.0	181538.0	452051.0	265988.0	143776.0	374081.0	189720.0	37762.0	77970.0	76268.0
2002.0	119926.0	454073.0	259322.0	94905.0	372893.0	196959.0	25021.0	81180.0	62363.0
Воронежская область									
Мужчины и женщины									
1989.0	509494.0	1344157.0	613010.0	323003.0	874610.0	297862.0	186491.0	469547.0	315148.0
2002.0	385371.0	1379182.0	611065.0	229943.0	909883.0	329218.0	155428.0	469299.0	281847.0
Мужчины									
1989.0	259550.0	706950.0	155721.0	164564.0	443942.0	80867.0	94986.0	263008.0	74854.0
2002.0	197933.0	694492.0	194642.0	117823.0	447483.0	103718.0	80110.0	247009.0	90924.0
Женщины									
1989.0	249944.0	637207.0	457289.0	158439.0	430668.0	216995.0	91505.0	206539.0	240294.0
2002.0	187438.0	684690.0	416423.0	112120.0	462400.0	225500.0	75318.0	222290.0	190923.0
Ивановская область									
Мужчины и женщины									
1989.0	277881.0	726320.0	309413.0	223462.0	602900.0	244614.0	54419.0	123420.0	64799.0
2002.0	180058.0	679670.0	288314.0	146810.0	568884.0	233316.0	33248.0	110786.0	54998.0
Мужчины									
1989.0	141283.0	374985.0	72563.0	113676.0	305514.0	58135.0	27607.0	69471.0	14428.0
2002.0	92379.0	338147.0	84344.0	75259.0	279404.0	66908.0	17120.0	58743.0	17436.0
Женщины									
1989.0	136598.0	351335.0	236850.0	109786.0	297386.0	186479.0	26812.0	53949.0	50371.0
2002.0	87679.0	341523.0	203970.0	71551.0	289480.0	166408.0	16128.0	52043.0	37562.0
Калужская область									
Мужчины и женщины									
1989.0	236178.0	602720.0	225295.0	166778.0	434095.0	130125.0	69400.0	168625.0	95170.0
2002.0	171531.0	622352.0	247426.0	126040.0	484171.0	168991.0	45491.0	138181.0	78435.0
Мужчины									
