4.5. НАСЕЛЕНИЕ ПО ГРАЖДАНСТВУ						
						
	Городское и сельское население	Городское население	Сельское население	В процентах к итогу		
				городское и сельское население	городское население	сельское население
Все население	145166731.0	106429049.0	38737682.0	100.0	100.0	100.0
в том числе:						
граждане России	142442404.0	104091678.0	38350726.0	98.1	97.8	99.0
из них имеющие два гражданства	43648.0	36951.0	6697.0	0.0	0.0	0.0
иностранные граждане	1025413.0	874431.0	150982.0	0.7	0.8	0.4
из них имеющие гражданство:						
стран СНГ	906314.0	760029.0	146285.0	0.6	0.7	0.4
Азербайджана	154911.0	142549.0	12362.0	0.1	0.1	0.0
Армении	136841.0	113151.0	23690.0	0.1	0.1	0.1
Белоруссии	40330.0	36089.0	4241.0	0.0	0.0	0.0
Грузии	52918.0	46293.0	6625.0	0.0	0.1	0.0
Казахстана	69472.0	44480.0	24992.0	0.1	0.0	0.1
Киргизии	28843.0	23697.0	5146.0	0.0	0.0	0.0
Молдавии	50988.0	44950.0	6038.0	0.0	0.0	0.0
Таджикистана	64165.0	57868.0	6297.0	0.0	0.1	0.0
Туркмении	6417.0	5181.0	1236.0	0.0	0.0	0.0
Узбекистана	70871.0	55000.0	15871.0	0.1	0.1	0.1
Украины	230558.0	190771.0	39787.0	0.2	0.2	0.1
других стран мира	119099.0	114402.0	4697.0	0.1	0.1	0.0
Афганистана	8221.0	8154.0	67.0	0.0	0.0	0.0
Болгарии	2262.0	2036.0	226.0	0.0	0.0	0.0
Вьетнама	22545.0	22099.0	446.0	0.0	0.0	0.0
Германии	1329.0	1200.0	129.0	0.0	0.0	0.0
Греции	612.0	546.0	66.0	0.0	0.0	0.0
Израиля	1016.0	986.0	30.0	0.0	0.0	0.0
Индии	5351.0	5337.0	14.0	0.0	0.0	0.0
Китая	30598.0	30083.0	515.0	0.0	0.0	0.0
Латвии	2864.0	2366.0	498.0	0.0	0.0	0.0
Литвы	4583.0	4038.0	545.0	0.0	0.0	0.0
Сирии	1230.0	1206.0	24.0	0.0	0.0	0.0
США	1361.0	1309.0	52.0	0.0	0.0	0.0
Турции	4991.0	4836.0	155.0	0.0	0.0	0.0
Финляндии	285.0	264.0	21.0	0.0	0.0	0.0
Эстонии	1066.0	902.0	164.0	0.0	0.0	0.0
без гражданства	429891.0	230587.0	199304.0	0.3	0.2	0.5
гражданство не указано	1269023.0	1232353.0	36670.0	0.9	1.2	0.1
