6. ЗАНЯТОЕ В ЭКОНОМИКЕ НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ТЕРРИТОРИИ НАХОЖДЕНИЯ РАБОТЫ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего		в том числе по положению в занятии					
		работающие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Российская Федерация								
Городское и сельское население, занятое в экономике	59652437.0	56418074.0	3183265.0	917623.0	1900576.0	244005.0	121061.0	51098.0
в том числе:								
на территории своего субъекта	57570270.0	54455760.0	3072729.0	888513.0	1838632.0	231782.0	113802.0	41781.0
на территории другого субъекта	999934.0	948059.0	50623.0	14871.0	29502.0	4152.0	2098.0	1252.0
на территории других стран	38060.0	34327.0	3676.0	1067.0	2150.0	308.0	151.0	57.0
Мужчины, занятые в экономике	30203284.0	28294471.0	1882169.0	597815.0	1073776.0	142588.0	67990.0	26644.0
в том числе:								
на территории своего субъекта	28889656.0	27060927.0	1807036.0	576242.0	1032610.0	134660.0	63524.0	21693.0
на территории другого субъекта	716597.0	678329.0	37500.0	11633.0	21474.0	2913.0	1480.0	768.0
на территории других стран	25842.0	23142.0	2679.0	845.0	1515.0	214.0	105.0	21.0
Женщины, занятые в экономике	29449153.0	28123603.0	1301096.0	319808.0	826800.0	101417.0	53071.0	24454.0
в том числе:								
на территории своего субъекта	28680614.0	27394833.0	1265693.0	312271.0	806022.0	97122.0	50278.0	20088.0
на территории другого субъекта	283337.0	269730.0	13123.0	3238.0	8028.0	1239.0	618.0	484.0
на территории других стран	12218.0	11185.0	997.0	222.0	635.0	94.0	46.0	36.0
Городское население, занятое в экономике	46988595.0	44317398.0	2624417.0	800517.0	1544525.0	180860.0	98515.0	46780.0
в том числе:								
на территории своего субъекта	45311090.0	42741885.0	2530938.0	774627.0	1493309.0	170590.0	92412.0	38267.0
на территории другого субъекта	771618.0	728622.0	41924.0	13020.0	23757.0	3471.0	1676.0	1072.0
на территории других стран	34003.0	30593.0	3353.0	994.0	1909.0	303.0	147.0	57.0
Мужчины, занятые в экономике	23394993.0	21845894.0	1524712.0	519814.0	849206.0	101311.0	54381.0	24387.0
в том числе:								
на территории своего субъекта	22354048.0	20872474.0	1461722.0	500594.0	815727.0	94698.0	50703.0	19852.0
на территории другого субъекта	542829.0	511360.0	30795.0	10179.0	17006.0	2467.0	1143.0	674.0
на территории других стран	22998.0	20552.0	2425.0	786.0	1329.0	209.0	101.0	21.0
Женщины, занятые в экономике	23593602.0	22471504.0	1099705.0	280703.0	695319.0	79549.0	44134.0	22393.0
в том числе:								
на территории своего субъекта	22957042.0	21869411.0	1069216.0	274033.0	677582.0	75892.0	41709.0	18415.0
на территории другого субъекта	228789.0	217262.0	11129.0	2841.0	6751.0	1004.0	533.0	398.0
на территории других стран	11005.0	10041.0	928.0	208.0	580.0	94.0	46.0	36.0
Сельское население, занятое в экономике	12663842.0	12100676.0	558848.0	117106.0	356051.0	63145.0	22546.0	4318.0
в том числе:								
на территории своего субъекта	12259180.0	11713875.0	541791.0	113886.0	345323.0	61192.0	21390.0	3514.0
на территории другого субъекта	228316.0	219437.0	8699.0	1851.0	5745.0	681.0	422.0	180.0
на территории других стран	4057.0	3734.0	323.0	73.0	241.0	5.0	4.0	-
Мужчины, занятые в экономике	6808291.0	6448577.0	357457.0	78001.0	224570.0	41277.0	13609.0	2257.0
в том числе:								
на территории своего субъекта	6535608.0	6188453.0	345314.0	75648.0	216883.0	39962.0	12821.0	1841.0
на территории другого субъекта	173768.0	166969.0	6705.0	1454.0	4468.0	446.0	337.0	94.0
на территории других стран	2844.0	2590.0	254.0	59.0	186.0	5.0	4.0	-
Женщины, занятые в экономике	5855551.0	5652099.0	201391.0	39105.0	131481.0	21868.0	8937.0	2061.0
в том числе:								
на территории своего субъекта	5723572.0	5525422.0	196477.0	38238.0	128440.0	21230.0	8569.0	1673.0
