12. ГРУППИРОВКА ПОСЕЛКОВ ГОРОДСКОГО ТИПА, НАХОДЯЩИХСЯ В ПОДЧИНЕНИИ АДМИНИСТРАЦИИ РАЙОНА (КРОМЕ ГОРОДСКОГО), ПО ЧИСЛЕННОСТИ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ					
	Всего	в том числе поселков городского типа с числом жителей1)			
		до 5000	5000-9999	10000-19999	20000 и более
Российская Федерация	 	 	 	 	 
Число поселков городского типа	1459	787	476	178	18
численность населения	8153464	2055532	3352055	2327281	418596
мужчины	3855639	971081	1582183	1102859	199516
женщины	4297825	1084451	1769872	1224422	219080
Центральный федеральный округ	 	 	 	 	 
Число поселков городского типа	395	204	139	47	5
численность населения	2297120	586841	959031	626878	124370
мужчины	1062551	266864	442530	293732	59425
женщины	1234569	319977	516501	333146	64945
Белгородская область	 	 	 	 	 
Число поселков городского типа	20	2	12	6	-
численность населения	174818	7389	90233	77196	-
мужчины	80554	3437	41498	35619	-
женщины	94264	3952	48735	41577	-
Брянская область	 	 	 	 	 
Число поселков городского типа	23	8	10	5	-
численность населения	152280	19304	66685	66291	-
мужчины	70915	8840	30888	31187	-
женщины	81365	10464	35797	35104	-
Владимирская область	 	 	 	 	 
Число поселков городского типа	29	18	10	1	-
численность населения	125424	46227	68964	10233	-
мужчины	57018	20713	31745	4560	-
женщины	68406	25514	37219	5673	-
Воронежская область	 	 	 	 	 
Число поселков городского типа	17	5	8	4	-
численность населения	145107	21181	60546	63380	-
мужчины	66514	9583	27539	29392	-
женщины	78593	11598	33007	33988	-
Ивановская область	 	 	 	 	 
Число поселков городского типа	31	26	5	-	-
численность населения	84080	51591	32489	-	-
мужчины	39635	22889	16746	-	-
женщины	44445	28702	15743	-	-
Калужская область	 	 	 	 	 
Число поселков городского типа	10	4	4	2	-
численность населения	67607	9448	31577	26582	-
мужчины	31759	4279	14358	13122	-
женщины	35848	5169	17219	13460	-
Костромская область	 	 	 	 	 
Число поселков городского типа	6	4	2	-	-
численность населения	28184	14649	13535	-	-
мужчины	13222	7127	6095	-	-
женщины	14962	7522	7440	-	-
Курская область	 	 	 	 	 
Число поселков городского типа	23	14	9	-	-
численность населения	105775	50508	55267	-	-
мужчины	48293	23097	25196	-	-
женщины	57482	27411	30071	-	-
Липецкая область	 	 	 	 	 
Число поселков городского типа	2	-	1	1	-
численность населения	19188	-	9035	10153	-
мужчины	8835	-	4151	4684	-
женщины	10353	-	4884	5469	-
Московская область	 	 	 	 	 
Число поселков городского типа	100	47	28	20	5
численность населения	724638	128812	198496	272960	124370
мужчины	340439	58024	93307	129683	59425
женщины	384199	70788	105189	143277	64945
Орловская область	 	 	 	 	 
Число поселков городского типа	13	4	8	1	-
численность населения	85901	17476	56326	12099	-
мужчины	39649	7920	26178	5551	-
женщины	46252	9556	30148	6548	-
Рязанская область	 	 	 	 	 
Число поселков городского типа	23	15	7	1	-
численность населения	109047	47875	44600	16572	-
мужчины	50229	22588	20174	7467	-
женщины	58818	25287	24426	9105	-
Смоленская область	 	 	 	 	 
Число поселков городского типа	15	12	2	1	-
численность населения	68557	42815	11464	14278	-
мужчины	30872	19248	5287	6337	-
женщины	37685	23567	6177	7941	-
Тамбовская область	 	 	 	 	 
Число поселков городского типа	12	2	7	3	-
численность населения	94535	7229	52179	35127	-
мужчины	43590	3319	24049	16222	-
женщины	50945	3910	28130	18905	-
Тверская область	 	 	 	 	 
Число поселков городского типа	28	19	8	1	-
численность населения	125013	59692	53434	11887	-
мужчины	56115	26974	23817	5324	-
женщины	68898	32718	29617	6563	-
Тульская область	 	 	 	 	 
Число поселков городского типа	30	17	12	1	-
численность населения	129979	42146	77713	10120	-
мужчины	59127	19625	34918	4584	-
женщины	70852	22521	42795	5536	-
Ярославская область	 	 	 	 	 
Число поселков городского типа	13	7	6	-	-
численность населения	56987	20499	36488	-	-
мужчины	25785	9201	16584	-	-
женщины	31202	11298	19904	-	-
г. Москва	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Северо-Западный федеральный округ	 	 	 	 	 
Число поселков городского типа	135	87	34	13	1
численность населения	667005	250858	240099	154433	21615
мужчины	320754	118716	112968	76958	12112
женщины	346251	132142	127131	77475	9503
Республика Карелия	 	 	 	 	 
Число поселков городского типа	9	5	3	1	-
численность населения	45309	17548	16688	11073	-
мужчины	22798	8205	8231	6362	-
женщины	22511	9343	8457	4711	-
Республика Коми	 	 	 	 	 
Число поселков городского типа	6	3	2	1	-
численность населения	32084	7621	14434	10029	-
мужчины	15659	4191	6899	4569	-
женщины	16425	3430	7535	5460	-
Архангельская область	 	 	 	 	 
Число поселков городского типа	32	25	4	3	-
численность населения	128630	67584	26792	34254	-
мужчины	60571	32286	12617	15668	-
женщины	68059	35298	14175	18586	-
Ненецкий автономный округ	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Вологодская область	 	 	 	 	 
Число поселков городского типа	10	5	3	1	1
численность населения	71058	16131	21514	11798	21615
мужчины	35018	7445	10014	5447	12112
женщины	36040	8686	11500	6351	9503
Калининградская область	 	 	 	 	 
Число поселков городского типа	3	3	-	-	-
численность населения	8207	8207	-	-	-
мужчины	3953	3953	-	-	-
женщины	4254	4254	-	-	-
Ленинградская область	 	 	 	 	 
Число поселков городского типа	34	20	11	3	-
численность населения	180820	65199	81644	33977	-
мужчины	84255	30888	37876	15491	-
женщины	96565	34311	43768	18486	-
Мурманская область	 	 	 	 	 
Число поселков городского типа	11	6	2	3	-
численность населения	65440	10071	12124	43245	-
мужчины	35221	5473	5704	24044	-
женщины	30219	4598	6420	19201	-
Новгородская область	 	 	 	 	 
Число поселков городского типа	16	10	5	1	-
численность населения	72023	25579	36387	10057	-
мужчины	33491	11244	16870	5377	-
женщины	38532	14335	19517	4680	-
Псковская область	 	 	 	 	 
Число поселков городского типа	14	10	4	-	-
численность населения	63434	32918	30516	-	-
мужчины	29788	15031	14757	-	-
женщины	33646	17887	15759	-	-
г. Санкт-Петербург	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Южный федеральный округ	 	 	 	 	 
Число поселков городского типа	78	27	29	19	3
численность населения	606043	72505	208736	252550	72252
мужчины	283003	34825	98514	116480	33184
женщины	323040	37680	110222	136070	39068
Республика Адыгея	 	 	 	 	 
Число поселков городского типа	5	1	1	2	1
численность населения	65760	4961	7580	28156	25063
мужчины	30695	3170	3440	12744	11341
женщины	35065	1791	4140	15412	13722
Республика Дагестан	 	 	 	 	 
Число поселков городского типа	6	2	3	1	-
численность населения	40715	7653	21478	11584	-
мужчины	20646	3725	11142	5779	-
женщины	20069	3928	10336	5805	-
Республика Ингушетия	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Кабардино-Балкарская Республика	 	 	 	 	 
Число поселков городского типа	3	1	2	-	-
численность населения	16165	1678	14487	-	-
мужчины	7770	787	6983	-	-
женщины	8395	891	7504	-	-
Республика Калмыкия	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Карачаево-Черкесская Республика	 	 	 	 	 
Число поселков городского типа	4	4	-	-	-
численность населения	10567	10567	-	-	-
мужчины	4892	4892	-	-	-
женщины	5675	5675	-	-	-
Республика Северная Осетия-Алания	 	 	 	 	 
Число поселков городского типа	6	6	-	-	-
численность населения	5442	5442	-	-	-
мужчины	2576	2576	-	-	-
женщины	2866	2866	-	-	-
Чеченская Республика	 	 	 	 	 
Число поселков городского типа	3	1	1	1	-
численность населения	22665	4773	5125	12767	-
мужчины	10737	2229	2416	6092	-
женщины	11928	2544	2709	6675	-
Краснодарский край	 	 	 	 	 
Число поселков городского типа	12	2	4	4	2
численность населения	138537	5203	27680	58465	47189
мужчины	63901	2379	12780	26899	21843
женщины	74636	2824	14900	31566	25346
Ставропольский край	 	 	 	 	 
Число поселков городского типа	3	-	2	1	-
численность населения	28094	-	15165	12929	-
мужчины	13194	-	7138	6056	-
женщины	14900	-	8027	6873	-
Астраханская область	 	 	 	 	 
Число поселков городского типа	9	4	5	-	-
численность населения	52780	12733	40047	-	-
мужчины	24686	6027	18659	-	-
женщины	28094	6706	21388	-	-
Волгоградская область	 	 	 	 	 
Число поселков городского типа	19	4	9	6	-
численность населения	158977	13141	62133	83703	-
мужчины	73484	6101	29037	38346	-
женщины	85493	7040	33096	45357	-
Ростовская область	 	 	 	 	 
Число поселков городского типа	8	2	2	4	-
численность населения	66341	6354	15041	44946	-
мужчины	30422	2939	6919	20564	-
женщины	35919	3415	8122	24382	-
Приволжский федеральный округ	 	 	 	 	 
Число поселков городского типа	316	150	133	29	4
численность населения	1827500	415416	945853	379000	87231
мужчины	858256	194023	445218	178284	40731
женщины	969244	221393	500635	200716	46500
Республика Башкортостан	 	 	 	 	 
Число поселков городского типа	26	17	5	2	2
численность населения	147551	50007	30787	25727	41030
мужчины	70090	23536	15163	12186	19205
женщины	77461	26471	15624	13541	21825
Республика Марий Эл	 	 	 	 	 
Число поселков городского типа	16	6	8	2	-
численность населения	108508	22565	58527	27416	-
мужчины	50655	10459	27092	13104	-
женщины	57853	12106	31435	14312	-
Республика Мордовия	 	 	 	 	 
Число поселков городского типа	14	6	6	2	-
численность населения	96723	23685	48453	24585	-
мужчины	45063	11478	22334	11251	-
женщины	51660	12207	26119	13334	-
Республика Татарстан	 	 	 	 	 
Число поселков городского типа	20	7	7	6	-
численность населения	165475	17374	56204	91897	-
мужчины	78630	8238	27874	42518	-
женщины	86845	9136	28330	49379	-
Удмуртская Республика	 	 	 	 	 
Число поселков городского типа	10	4	2	3	1
численность населения	98967	12453	17159	47075	22280
мужчины	46154	5748	8051	21817	10538
женщины	52813	6705	9108	25258	11742
Чувашская Республика	 	 	 	 	 
Число поселков городского типа	6	2	2	2	-
численность населения	42150	4046	15517	22587	-
мужчины	19478	1794	7173	10511	-
женщины	22672	2252	8344	12076	-
Кировская область	 	 	 	 	 
Число поселков городского типа	50	29	20	1	-
численность населения	220241	82972	126615	10654	-
мужчины	104949	38745	61554	4650	-
женщины	115292	44227	65061	6004	-
Нижегородская область	 	 	 	 	 
Число поселков городского типа	63	32	30	1	-
численность населения	290651	72615	207919	10117	-
мужчины	134717	33903	96076	4738	-
женщины	155934	38712	111843	5379	-
Оренбургская область	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Пензенская область	 	 	 	 	 
Число поселков городского типа	16	4	10	2	-
численность населения	112682	11630	77156	23896	-
мужчины	51578	5266	35274	11038	-
женщины	61104	6364	41882	12858	-
Пермская область	 	 	 	 	 
Число поселков городского типа	21	13	7	1	-
численность населения	90766	27931	52796	10039	-
мужчины	43879	12966	26155	4758	-
женщины	46887	14965	26641	5281	-
Коми-Пермяцкий автономный округ	 	 	 	 	 
Число поселков городского типа	1	1	-	-	-
численность населения	3826	3826	-	-	-
мужчины	1756	1756	-	-	-
женщины	2070	2070	-	-	-
Самарская область	 	 	 	 	 
Число поселков городского типа	13	3	7	2	1
численность населения	107295	6678	49411	27285	23921
мужчины	52980	3070	23933	14989	10988
женщины	54315	3608	25478	12296	12933
Саратовская область	 	 	 	 	 
Число поселков городского типа	28	11	15	2	-
численность населения	166905	33137	109161	24607	-
мужчины	77760	16032	50364	11364	-
женщины	89145	17105	58797	13243	-
Ульяновская область	 	 	 	 	 
Число поселков городского типа	33	16	14	3	-
численность населения	179586	50323	96148	33115	-
мужчины	82323	22788	44175	15360	-
женщины	97263	27535	51973	17755	-
Уральский федеральный округ	 	 	 	 	 
Число поселков городского типа	97	47	32	17	1
численность населения	597986	124852	222706	222888	27540
мужчины	288127	59107	106317	108507	14196
женщины	309859	65745	116389	114381	13344
Курганская область	 	 	 	 	 
Число поселков городского типа	6	1	5	-	-
численность населения	46751	4178	42573	-	-
мужчины	21386	1912	19474	-	-
женщины	25365	2266	23099	-	-
Свердловская область	 	 	 	 	 
Число поселков городского типа	51	31	12	8	-
численность населения	248493	80691	73815	93987	-
мужчины	117314	37757	34950	44607	-
женщины	131179	42934	38865	49380	-
Тюменская область	 	 	 	 	 
Число поселков городского типа	32	13	9	9	1
численность населения	260414	34883	69090	128901	27540
мужчины	129801	17067	34638	63900	14196
женщины	130613	17816	34452	65001	13344
Ханты-Мансийский автономный округ – Югра	 	 	 	 	 
Число поселков городского типа	22	11	6	4	1
численность населения	162029	31130	44149	59210	27540
мужчины	81256	15090	22018	29952	14196
женщины	80773	16040	22131	29258	13344
Ямало-Ненецкий автономный округ	 	 	 	 	 
Число поселков городского типа	6	2	2	2	-
численность населения	48432	3753	15294	29385	-
мужчины	24895	1977	7884	15034	-
женщины	23537	1776	7410	14351	-
Челябинская область	 	 	 	 	 
Число поселков городского типа	8	2	6	-	-
численность населения	42328	5100	37228	-	-
мужчины	19626	2371	17255	-	-
женщины	22702	2729	19973	-	-
Сибирский федеральный округ	 	 	 	 	 
Число поселков городского типа	235	121	73	38	3
численность населения	1398490	319015	525462	490790	63223
мужчины	665111	152786	252360	230779	29186
женщины	733379	166229	273102	260011	34037
Республика Алтай	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Республика Бурятия	 	 	 	 	 
Число поселков городского типа	27	16	8	3	-
численность населения	121564	35747	48266	37551	-
мужчины	58501	17335	23437	17729	-
женщины	63063	18412	24829	19822	-
Республика Тыва	 	 	 	 	 
Число поселков городского типа	2	1	-	1	-
численность населения	14169	3706	-	10463	-
мужчины	6608	1661	-	4947	-
женщины	7561	2045	-	5516	-
Республика Хакасия	 	 	 	 	 
Число поселков городского типа	9	6	2	1	-
численность населения	49188	19729	14546	14913	-
мужчины	22709	9258	6688	6763	-
женщины	26479	10471	7858	8150	-
Алтайский край	 	 	 	 	 
Число поселков городского типа	4	1	1	1	1
численность населения	43794	4133	7184	12416	20061
мужчины	20186	1889	3278	5828	9191
женщины	23608	2244	3906	6588	10870
Красноярский край	 	 	 	 	 
Число поселков городского типа	33	16	13	3	1
численность населения	203179	41526	95023	45284	21346
мужчины	96784	19552	46609	20730	9893
женщины	106395	21974	48414	24554	11453
Таймырский (Долгано-Ненецкий) автономный округ	 	 	 	 	 
Число поселков городского типа	1	1	-	-	-
численность населения	1198	1198	-	-	-
мужчины	675	675	-	-	-
женщины	523	523	-	-	-
Эвенкийский автономный округ	 	 	 	 	 
Число поселков городского типа	1	-	1	-	-
численность населения	5836	-	5836	-	-
мужчины	2813	-	2813	-	-
женщины	3023	-	3023	-	-
Иркутская область	 	 	 	 	 
Число поселков городского типа	53	34	15	4	-
численность населения	228931	78914	101534	48483	-
мужчины	111267	38827	49519	22921	-
женщины	117664	40087	52015	25562	-
Усть-Ордынский Бурятский автономный округ	 	 	 	 	 
Число поселков городского типа	-	-	-	-	-
Кемеровская область	 	 	 	 	 
Число поселков городского типа	25	14	6	5	-
численность населения	153947	42246	40453	71248	-
мужчины	73688	20019	18991	34678	-
женщины	80259	22227	21462	36570	-
Новосибирская область	 	 	 	 	 
Число поселков городского типа	18	4	5	8	1
численность населения	183099	15592	40391	105300	21816
мужчины	86150	7291	19434	49323	10102
женщины	96949	8301	20957	55977	11714
Омская область	 	 	 	 	 
Число поселков городского типа	21	2	13	6	-
численность населения	168928	6533	92382	70013	-
мужчины	77948	2993	42545	32410	-
женщины	90980	3540	49837	37603	-
Томская область	 	 	 	 	 
Число поселков городского типа	1	-	1	-	-
численность населения	8221	-	8221	-	-
мужчины	3951	-	3951	-	-
женщины	4270	-	4270	-	-
Читинская область	 	 	 	 	 
Число поселков городского типа	42	27	9	6	-
численность населения	223470	70889	77462	75119	-
мужчины	107319	33961	37908	35450	-
женщины	116151	36928	39554	39669	-
Агинский Бурятский автономный округ	 	 	 	 	 
Число поселков городского типа	4	2	1	1	-
численность населения	25510	5207	8586	11717	-
мужчины	12018	2526	3977	5515	-
женщины	13492	2681	4609	6202	-
Дальневосточный федеральный округ	 	 	 	 	 
Число поселков городского типа	203	151	36	15	1
численность населения	759320	286045	250168	200742	22365
мужчины	377837	144760	124276	98119	10682
женщины	381483	141285	125892	102623	11683
Республика Саха (Якутия)	 	 	 	 	 
Число поселков городского типа	44	37	6	1	-
численность населения	124384	66729	41873	15782	-
мужчины	63621	33631	21713	8277	-
женщины	60763	33098	20160	7505	-
Приморский край	 	 	 	 	 
Число поселков городского типа	32	15	12	4	1
численность населения	205242	38798	89201	54878	22365
мужчины	100438	19973	43135	26648	10682
женщины	104804	18825	46066	28230	11683
Хабаровский край	 	 	 	 	 
Число поселков городского типа	24	13	5	6	-
численность населения	151087	32187	34788	84112	-
мужчины	73851	15795	17178	40878	-
женщины	77236	16392	17610	43234	-
Амурская область	 	 	 	 	 
Число поселков городского типа	17	10	4	3	-
численность населения	81728	19827	26660	35241	-
мужчины	39709	9719	12894	17096	-
женщины	42019	10108	13766	18145	-
Камчатская область	 	 	 	 	 
Число поселков городского типа	6	5	1	-	-
численность населения	18380	13149	5231	-	-
мужчины	9234	6564	2670	-	-
женщины	9146	6585	2561	-	-
Корякский автономный округ	 	 	 	 	 
Число поселков городского типа	2	2	-	-	-
численность населения	6517	6517	-	-	-
мужчины	3105	3105	-	-	-
женщины	3412	3412	-	-	-
Магаданская область	 	 	 	 	 
Число поселков городского типа	26	24	2	-	-
численность населения	54467	42575	11892	-	-
мужчины	27638	21827	5811	-	-
женщины	26829	20748	6081	-	-
Сахалинская область	 	 	 	 	 
Число поселков городского типа	29	25	3	1	-
численность населения	70548	37975	21844	10729	-
мужчины	35719	18518	11981	5220	-
женщины	34829	19457	9863	5509	-
Еврейская автономная область	 	 	 	 	 
Число поселков городского типа	12	9	3	-	-
численность населения	40040	21361	18679	-	-
мужчины	19765	10871	8894	-	-
женщины	20275	10490	9785	-	-
Чукотский автономный округ	 	 	 	 	 
Число поселков городского типа	13	13	-	-	-
численность населения	13444	13444	-	-	-
мужчины	7862	7862	-	-	-
женщины	5582	5582	-	-	-
1) Без учета населенных пунктов, подчиненных администрации поселка городского типа.	 				
