10. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ И ПОЛОЖЕНИЮ В ЗАНЯТИИ 								
(на 1000 человек в возрасте 15-64 лет соответствующего положения в занятии)								
								
								
	Всего	По положению в занятии						
		работающие по найму	работающие не по найму	из них				
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	не указавшие положение в занятии
Городское и сельское население, занятое в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	83.0	83.0	85.0	56.0	87.0	188.0	80.0	32.0
рыболовство, рыбоводство	2.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0
добыча полезных ископаемых	22.0	23.0	4.0	3.0	4.0	5.0	8.0	11.0
обрабатывающие производства	188.0	194.0	93.0	106.0	85.0	99.0	108.0	130.0
производство и распределение электроэнергии, газа и воды	24.0	25.0	6.0	3.0	6.0	10.0	10.0	10.0
строительство	71.0	71.0	69.0	81.0	60.0	83.0	80.0	80.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	133.0	114.0	470.0	541.0	475.0	232.0	345.0	141.0
гостиницы и рестораны	22.0	22.0	19.0	29.0	14.0	19.0	21.0	25.0
транспорт и связь	96.0	96.0	92.0	57.0	108.0	89.0	101.0	95.0
финансовая деятельность	14.0	14.0	7.0	7.0	6.0	10.0	11.0	19.0
операции с недвижимым имуществом, аренда и предоставление услуг	48.0	49.0	40.0	42.0	37.0	49.0	43.0	61.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	66.0	70.0						0.0
образование	89.0	93.0	23.0	7.0	27.0	49.0	45.0	72.0
здравоохранение и предоставление социальных услуг	73.0	76.0	26.0	13.0	28.0	49.0	41.0	60.0
предоставление прочих коммунальных, социальных и персональных услуг	46.0	46.0	40.0	33.0	41.0	60.0	49.0	57.0
предоставление услуг по ведению домашнего хозяйства	1.0	1.0						-
деятельность экстерриториальных организаций	0.0	0.0	0.0			0.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	22.0	21.0	24.0	20.0	20.0	55.0	56.0	206.0
Мужчины, занятые в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	111.0	111.0	109.0	74.0	114.0	221.0	104.0	39.0
рыболовство, рыбоводство	4.0	4.0	3.0	2.0	4.0	4.0	3.0	2.0
добыча полезных ископаемых	33.0	34.0	5.0	5.0	5.0	6.0	11.0	14.0
обрабатывающие производства	208.0	216.0	100.0	125.0	85.0	98.0	114.0	136.0
производство и распределение электроэнергии, газа и воды	33.0	34.0	7.0	4.0	8.0	12.0	12.0	15.0
строительство	111.0	112.0	102.0	112.0	93.0	121.0	122.0	123.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	100.0	80.0	398.0	467.0	392.0	199.0	287.0	120.0
гостиницы и рестораны	9.0	9.0	13.0	24.0	8.0	10.0	12.0	20.0
транспорт и связь	133.0	133.0	137.0	74.0	173.0	124.0	151.0	133.0
финансовая деятельность	8.0	8.0	6.0	7.0	4.0	6.0	7.0	14.0
операции с недвижимым имуществом, аренда и предоставление услуг	54.0	55.0	42.0	44.0	40.0	50.0	47.0	67.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	78.0	83.0						0.0
образование	32.0	34.0	9.0	4.0	10.0	18.0	17.0	31.0
здравоохранение и предоставление социальных услуг	24.0	25.0	12.0	10.0	12.0	17.0	17.0	24.0
предоставление прочих коммунальных, социальных и персональных услуг	38.0	39.0	31.0	26.0	30.0	55.0	38.0	55.0
предоставление услуг по ведению домашнего хозяйства	1.0	0.0						-
деятельность экстерриториальных организаций	0.0	0.0	0.0			0.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	23.0	23.0	26.0	22.0	22.0	59.0	58.0	207.0
Женщины, занятые в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:								
сельское хозяйство, охота и лесное хозяйство	54.0	54.0	51.0	23.0	51.0	141.0	49.0	24.0
рыболовство, рыбоводство	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
добыча полезных ископаемых	11.0	11.0	2.0	1.0	2.0	3.0	3.0	8.0
обрабатывающие производства	167.0	171.0	83.0	71.0	84.0	100.0	100.0	123.0
производство и распределение электроэнергии, газа и воды	15.0	16.0	4.0	2.0	4.0	8.0	7.0	6.0
строительство	29.0	29.0	20.0	21.0	18.0	29.0	27.0	33.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	168.0	149.0	576.0	679.0	583.0	279.0	420.0	164.0
гостиницы и рестораны	35.0	36.0	27.0	40.0	21.0	32.0	33.0	31.0
транспорт и связь	57.0	59.0	26.0	25.0	24.0	40.0	39.0	54.0
финансовая деятельность	20.0	21.0	9.0	8.0	8.0	16.0	16.0	24.0
операции с недвижимым имуществом, аренда и предоставление услуг	43.0	43.0	36.0	37.0	34.0	47.0	37.0	54.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	54.0	57.0						0.0
образование	148.0	153.0	45.0	13.0	48.0	93.0	81.0	116.0
здравоохранение и предоставление социальных услуг	124.0	127.0	45.0	18.0	49.0	93.0	71.0	100.0
предоставление прочих коммунальных, социальных и персональных услуг	53.0	53.0	54.0	45.0	56.0	66.0	63.0	59.0
предоставление услуг по ведению домашнего хозяйства	1.0	1.0						-
деятельность экстерриториальных организаций	0.0	0.0	0.0			1.0	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	20.0	19.0	22.0	17.0	18.0	51.0	54.0	204.0
Городское население, занятое в экономике	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0	1000.0
в том числе по видам экономической деятельности:								
