3. ЖЕНЩИНЫ, ЗАНЯТЫЕ В ЭКОНОМИКЕ, ПО ВОЗРАСТНЫМ ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
	Всего	Женщины, указавшие число рожденных детей	из них женщины с числом рожденных детей								Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин)	Женщины, не указавшие число рожденных детей
			0.0	1.0	2.0	3.0	4.0	5.0	6.0	7 и более			
Российская Федерация													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	29775346.0	28891047.0	4976728.0	10503881.0	10807681.0	1997759.0	354467.0	122401.0	45600.0	82530.0	41078633.0	1422.0	884299.0
в том числе в возрасте, лет:													
15 – 17	88026.0	79336.0	76197.0	2777.0	350.0	12.0	-	-	-	-	3513.0	44.0	8690.0
18 – 19	536304.0	491598.0	458319.0	31003.0	2070.0	206.0	-	-	-	-	35761.0	73.0	44706.0
20 – 24	2916087.0	2707967.0	1839866.0	777945.0	79712.0	5222.0	1696.0	268.0	2244.0	1014.0	981721.0	363.0	208120.0
25 – 29	3552839.0	3396672.0	1022587.0	1839886.0	477220.0	39374.0	7367.0	1202.0	2093.0	6943.0	3017337.0	888.0	156167.0
30 – 34	3503204.0	3402792.0	435590.0	1751683.0	1054399.0	124820.0	21439.0	4678.0	2463.0	7720.0	4421697.0	1299.0	100412.0
35 – 39	3895714.0	3815385.0	272003.0	1483494.0	1704531.0	277126.0	48671.0	14230.0	4891.0	10439.0	6102854.0	1600.0	80329.0
40 – 44	5001837.0	4912687.0	271628.0	1484767.0	2508529.0	501168.0	89479.0	29578.0	10201.0	17337.0	8710386.0	1773.0	89150.0
45 – 49	4660949.0	4580688.0	247795.0	1305056.0	2331407.0	531289.0	93438.0	40203.0	12778.0	18722.0	8362615.0	1826.0	80261.0
50 – 54	3634769.0	3566580.0	211644.0	1113129.0	1763617.0	371608.0	65488.0	21671.0	6937.0	12486.0	6267460.0	1757.0	68189.0
55 – 59	1064324.0	1040529.0	72894.0	372031.0	489722.0	81317.0	13694.0	5018.0	1911.0	3942.0	1718874.0	1652.0	23795.0
60 – 64	595100.0	580852.0	41400.0	220141.0	264317.0	40653.0	7655.0	3182.0	1223.0	2281.0	943155.0	1624.0	14248.0
65 – 69	231011.0	224882.0	17710.0	87323.0	96453.0	16968.0	3379.0	1449.0	525.0	1075.0	363883.0	1618.0	6129.0
70 и более	95182.0	91079.0	9095.0	34646.0	35354.0	7996.0	2161.0	922.0	334.0	571.0	149377.0	1640.0	4103.0
Городские населенные пункты													
Женщины в возрасте 15 лет и более	23886750.0	23089156.0	4251722.0	9065945.0	8303772.0	1171447.0	168457.0	48770.0	21614.0	57429.0	30698903.0	1330.0	797594.0
в том числе в возрасте, лет:													
15 – 17	68298.0	61008.0	58786.0	1951.0	262.0	9.0	-	-	-	-	2502.0	41.0	7290.0
18 – 19	429009.0	390173.0	367346.0	21281.0	1394.0	152.0	-	-	-	-	24525.0	63.0	38836.0
20 – 24	2362302.0	2177323.0	1538235.0	585900.0	46439.0	2487.0	1253.0	186.0	1993.0	830.0	709949.0	326.0	184979.0
25 – 29	2879013.0	2736560.0	896689.0	1512774.0	297670.0	17525.0	3705.0	522.0	1732.0	5943.0	2237220.0	818.0	142453.0
30 – 34	2774859.0	2682783.0	384243.0	1506360.0	714076.0	59287.0	9430.0	1629.0	1560.0	6198.0	3218418.0	1200.0	92076.0
35 – 39	3022210.0	2949517.0	236840.0	1300429.0	1235380.0	141669.0	20642.0	5166.0	2124.0	7267.0	4376311.0	1484.0	72693.0
40 – 44	3913720.0	3833453.0	235891.0	1311887.0	1935306.0	284301.0	40088.0	10745.0	3803.0	11432.0	6364008.0	1660.0	80267.0
45 – 49	3714210.0	3642174.0	216562.0	1160273.0	1865058.0	324453.0	44132.0	15163.0	5003.0	11530.0	6238443.0	1713.0	72036.0
50 – 54	2973627.0	2911686.0	186955.0	1000248.0	1436148.0	233741.0	32519.0	10093.0	3365.0	8617.0	4843842.0	1664.0	61941.0
55 – 59	925715.0	903622.0	67035.0	344863.0	419996.0	57319.0	8006.0	2464.0	1047.0	2892.0	1431155.0	1584.0	22093.0
60 – 64	530639.0	517330.0	38369.0	205656.0	233642.0	30937.0	4966.0	1627.0	573.0	1560.0	809829.0	1565.0	13309.0
65 – 69	207705.0	201937.0	16424.0	81888.0	86471.0	13306.0	2175.0	693.0	195.0	785.0	314541.0	1558.0	5768.0
70 и более	85443.0	81590.0	8347.0	32435.0	31930.0	6261.0	1541.0	482.0	219.0	375.0	128160.0	1571.0	3853.0
Сельские населенные пункты													
Женщины в возрасте 15 лет и более	5888596.0	5801891.0	725006.0	1437936.0	2503909.0	826312.0	186010.0	73631.0	23986.0	25101.0	10379730.0	1789.0	86705.0
в том числе в возрасте, лет:													
15 – 17	19728.0	18328.0	17411.0	826.0	88.0	3.0	-	-	-	-	1011.0	55.0	1400.0
18 – 19	107295.0	101425.0	90973.0	9722.0	676.0	54.0	-	-	-	-	11236.0	111.0	5870.0
20 – 24	553785.0	530644.0	301631.0	192045.0	33273.0	2735.0	443.0	82.0	251.0	184.0	271772.0	512.0	23141.0
25 – 29	673826.0	660112.0	125898.0	327112.0	179550.0	21849.0	3662.0	680.0	361.0	1000.0	780117.0	1182.0	13714.0
30 – 34	728345.0	720009.0	51347.0	245323.0	340323.0	65533.0	12009.0	3049.0	903.0	1522.0	1203279.0	1671.0	8336.0
35 – 39	873504.0	865868.0	35163.0	183065.0	469151.0	135457.0	28029.0	9064.0	2767.0	3172.0	1726543.0	1994.0	7636.0
40 – 44	1088117.0	1079234.0	35737.0	172880.0	573223.0	216867.0	49391.0	18833.0	6398.0	5905.0	2346378.0	2174.0	8883.0
45 – 49	946739.0	938514.0	31233.0	144783.0	466349.0	206836.0	49306.0	25040.0	7775.0	7192.0	2124172.0	2263.0	8225.0
50 – 54	661142.0	654894.0	24689.0	112881.0	327469.0	137867.0	32969.0	11578.0	3572.0	3869.0	1423618.0	2174.0	6248.0
55 – 59	138609.0	136907.0	5859.0	27168.0	69726.0	23998.0	5688.0	2554.0	864.0	1050.0	287719.0	2102.0	1702.0
60 – 64	64461.0	63522.0	3031.0	14485.0	30675.0	9716.0	2689.0	1555.0	650.0	721.0	133326.0	2099.0	939.0
65 – 69	23306.0	22945.0	1286.0	5435.0	9982.0	3662.0	1204.0	756.0	330.0	290.0	49342.0	2150.0	361.0
70 и более	9739.0	9489.0	748.0	2211.0	3424.0	1735.0	620.0	440.0	115.0	196.0	21217.0	2236.0	250.0
Центральный федеральный округ													
Белгородская область													
Городские и сельские населенные пункты													
Женщины в возрасте 15 лет и более	296136.0	289429.0	41545.0	104656.0	120364.0	18406.0	2659.0	815.0	284.0	700.0	422597.0	1460.0	6707.0
в том числе в возрасте, лет:													
15 – 17	565.0	489.0	455.0	30.0	4.0	-	-	-	-	-	38.0	78.0	76.0
18 – 19	4454.0	4096.0	3732.0	360.0	4.0	-	-	-	-	-	368.0	90.0	358.0
20 – 24	27688.0	25721.0	16038.0	8770.0	841.0	26.0	8.0	-	17.0	21.0	10811.0	420.0	1967.0
25 – 29	36218.0	35130.0	8874.0	20517.0	5319.0	285.0	61.0	16.0	12.0	46.0	32812.0	934.0	1088.0
30 – 34	36632.0	35986.0	3544.0	18820.0	12162.0	1109.0	181.0	42.0	21.0	107.0	48466.0	1347.0	646.0
35 – 39	43158.0	42514.0	2301.0	15780.0	21011.0	2751.0	380.0	128.0	38.0	125.0	69451.0	1634.0	644.0
40 – 44	53838.0	53180.0	2455.0	15343.0	29586.0	4605.0	714.0	210.0	70.0	197.0	94149.0	1770.0	658.0
45 – 49	46462.0	45894.0	1960.0	11665.0	26388.0	4777.0	706.0	214.0	76.0	108.0	83956.0	1829.0	568.0
50 – 54	34318.0	33821.0	1464.0	9599.0	18423.0	3619.0	492.0	117.0	46.0	61.0	60598.0	1792.0	497.0
