Республика Дагестан																	
	Численность лиц, владеющих соответствую-щим языком	в том числе															
		аварцы	даргинцы	кумыки	лезгины	лакцы	русские	азербайджанцы	табасараны	чеченцы	ногайцы	рутульцы	агулы	цахуры	таты	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:																	
аварским	741812.0	731176.0	2851.0	3695.0	242.0	1445.0	413.0	162.0	77.0	1080.0	60.0	34.0	33.0	37.0	6.0	497.0	4.0
агульским	25447.0	42.0	269.0	13.0	1694.0	26.0	13.0	116.0	260.0	-	2.0	35.0	22962.0	4.0	-	11.0	-
азербайджанским	136431.0	939.0	1914.0	644.0	9879.0	727.0	337.0	109834.0	8252.0	10.0	21.0	1246.0	360.0	1230.0	30.0	1006.0	2.0
английским	30552.0	6513.0	3643.0	3668.0	4732.0	3464.0	3782.0	1233.0	1080.0	504.0	264.0	314.0	252.0	81.0	35.0	986.0	1.0
андийским	23039.0	22910.0	16.0	46.0	-	16.0	6.0	-	-	29.0	1.0	-	-	-	-	15.0	-
арабским	5104.0	2460.0	773.0	682.0	300.0	177.0	49.0	145.0	133.0	157.0	38.0	20.0	23.0	8.0	1.0	138.0	-
армянским	5712.0	33.0	32.0	13.0	38.0	36.0	106.0	32.0	1.0	2.0	4.0	1.0	-	1.0	-	5413.0	-
арчинским	125.0	123.0	-	1.0	1.0	-	-	-	-	-	-	-	-	-	-	-	-
афганским	134.0	82.0	3.0	13.0	-	2.0	-	-	-	-	-	-	3.0	-	-	31.0	-
ахвахским	5740.0	5735.0	4.0	-	-	-	-	-	-	-	-	-	-	-	-	1.0	-
башкирским	367.0	1.0	-	3.0	1.0	-	3.0	-	-	-	-	2.0	-	1.0	-	356.0	-
бежтинским	6413.0	6407.0	1.0	5.0	-	-	-	-	-	-	-	-	-	-	-	-	-
белорусским	527.0	3.0	4.0	7.0	8.0	2.0	38.0	-	-	-	1.0	-	-	-	-	464.0	-
гинухским	522.0	522.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
греческим	185.0	6.0	6.0	4.0	4.0	-	9.0	-	5.0	1.0	-	-	-	-	-	150.0	-
грузинским	2253.0	1144.0	17.0	10.0	18.0	87.0	50.0	19.0	1.0	2.0	2.0	4.0	-	12.0	1.0	886.0	-
гунзибским	1813.0	1800.0	1.0	3.0	1.0	1.0	1.0	-	-	1.0	-	-	1.0	-	-	4.0	-
даргинским	429347.0	2474.0	421681.0	2438.0	278.0	962.0	279.0	500.0	235.0	44.0	33.0	19.0	219.0	5.0	5.0	169.0	6.0
иврит, идиш	1944.0	20.0	24.0	15.0	55.0	8.0	26.0	82.0	14.0	1.0	1.0	1.0	-	1.0	51.0	1645.0	-
ингушским	359.0	19.0	2.0	8.0	68.0	4.0	2.0	-	2.0	18.0	-	1.0	-	-	-	235.0	-
испанским	117.0	26.0	11.0	16.0	23.0	19.0	12.0	1.0	1.0	-	-	2.0	-	-	-	6.0	-
кабардино-черкесским	355.0	73.0	5.0	7.0	-	27.0	5.0	3.0	-	1.0	2.0	-	1.0	-	-	231.0	-
казахским	732.0	26.0	11.0	35.0	50.0	28.0	18.0	10.0	9.0	30.0	14.0	-	2.0	-	-	499.0	-
калмыцким	263.0	13.0	10.0	40.0	35.0	3.0	-	94.0	3.0	5.0	1.0	5.0	-	2.0	-	52.0	-
каратинским	6528.0	6517.0	-	1.0	1.0	1.0	2.0	-	-	1.0	-	-	1.0	-	-	4.0	-
карачаево-балкарским	168.0	10.0	6.0	10.0	5.0	24.0	1.0	2.0	2.0	11.0	5.0	-	2.0	-	-	90.0	-
киргизским	124.0	7.0	9.0	5.0	5.0	-	1.0	-	1.0	72.0	1.0	-	-	-	-	23.0	-
корейским	274.0	-	1.0	-	-	2.0	1.0	-	-	-	-	-	1.0	-	-	269.0	-
кумыкским	405349.0	14258.0	10803.0	362506.0	889.0	2532.0	900.0	1259.0	228.0	5521.0	4915.0	56.0	82.0	32.0	20.0	1344.0	4.0
лакским	142523.0	1298.0	1871.0	441.0	259.0	137913.0	103.0	62.0	39.0	314.0	23.0	29.0	48.0	9.0	-	113.0	1.0
лезгинским	345943.0	264.0	374.0	365.0	333769.0	269.0	479.0	1967.0	5173.0	23.0	6.0	1094.0	1800.0	60.0	7.0	289.0	4.0
молдавским	206.0	3.0	5.0	3.0	13.0	1.0	8.0	4.0	1.0	-	-	-	2.0	1.0	-	165.0	-
мордовским, мокша-мордовским, эрзя-мордовским	132.0	17.0	-	-	1.0	-	2.0	-	-	-	-	-	-	-	-	112.0	-
немецким	8463.0	1509.0	992.0	1133.0	1208.0	782.0	1436.0	244.0	206.0	157.0	168.0	55.0	58.0	17.0	3.0	494.0	1.0
ногайским	38015.0	173.0	203.0	350.0	21.0	65.0	110.0	61.0	17.0	133.0	36395.0	11.0	-	-	1.0	475.0	-
осетинским	947.0	29.0	11.0	19.0	14.0	39.0	6.0	3.0	2.0	2.0	-	-	-	-	-	822.0	-
персидским	339.0	7.0	11.0	9.0	12.0	6.0	4.0	27.0	1.0	2.0	7.0	-	1.0	-	-	252.0	-
