5. ЗАНЯТОЕ В ЭКОНОМИКЕ НАСЕЛЕНИЕ ПО ВОЗРАСТНЫМ ГРУППАМ И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего		в том числе по положению в занятии					
		работающие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Российская Федерация								
Городское и сельское население, занятое в экономике, в возрасте 15 лет и более	61583710.0	58304254.0	3225096.0	924185.0	1924154.0	251351.0	125406.0	54360.0
в том числе в возрасте, лет:								
15 – 19	1647420.0	1599431.0	46681.0	6894.0	30858.0	6320.0	2609.0	1308.0
20 – 29	14391576.0	13733860.0	645492.0	160169.0	402920.0	55381.0	27022.0	12224.0
30 – 39	15279471.0	14249218.0	1016733.0	324254.0	587293.0	68976.0	36210.0	13520.0
40 – 49	18639744.0	17580858.0	1043483.0	310841.0	618070.0	75665.0	38907.0	15403.0
50 – 59	9508689.0	9106597.0	393737.0	105435.0	236679.0	35089.0	16534.0	8355.0
60 – 64	1367695.0	1317294.0	48564.0	11354.0	29312.0	5478.0	2420.0	1837.0
65 и более	749115.0	716996.0	30406.0	5238.0	19022.0	4442.0	1704.0	1713.0
Возраст не указан	17109.0	15761.0	1171.0	395.0	388.0	312.0	76.0	177.0
Средний возраст	39.2	39.2	39.1	39.2	38.9	39.3	39.1	40.3
Из общей численности занятых - население в возрасте:								
трудоспособном	58383650.0	55223568.0	3110477.0	899798.0	1853400.0	237734.0	119545.0	49605.0
старше трудоспособного	3182418.0	3064206.0	113511.0	24252.0	70095.0	13394.0	5770.0	4701.0
Мужчины, занятые в экономике, в возрасте 15 лет и более	31714717.0	29779943.0	1906323.0	602340.0	1086614.0	146765.0	70604.0	28451.0
в том числе в возрасте, лет:								
15 – 19	1020178.0	993903.0	25578.0	3924.0	16580.0	3665.0	1409.0	697.0
20 – 29	7893502.0	7492849.0	393888.0	104348.0	240054.0	33795.0	15691.0	6765.0
30 – 39	7851491.0	7217313.0	626884.0	217692.0	345991.0	42007.0	21194.0	7294.0
40 – 49	8952954.0	8354124.0	591152.0	196857.0	330940.0	42372.0	20983.0	7678.0
50 – 59	4802586.0	4574008.0	224330.0	68104.0	127534.0	19627.0	9065.0	4248.0
60 – 64	771756.0	742983.0	27778.0	7734.0	15657.0	3030.0	1357.0	995.0
65 и более	422250.0	404763.0	16713.0	3681.0	9858.0	2269.0	905.0	774.0
Возраст не указан	9919.0	9089.0	726.0	267.0	215.0	196.0	48.0	104.0
Средний возраст	38.8	38.8	38.8	39.2	38.5	38.8	38.8	39.8
Из общей численности занятых - население в возрасте:								
трудоспособном	30509034.0	28621212.0	1861168.0	590838.0	1060711.0	141331.0	68288.0	26654.0
старше трудоспособного	1194006.0	1147746.0	44491.0	11415.0	25515.0	5299.0	2262.0	1769.0
Женщины, занятые в экономике, в возрасте 15 лет и более	29868993.0	28524311.0	1318773.0	321845.0	837540.0	104586.0	54802.0	25909.0
в том числе в возрасте, лет:								
15 – 19	627242.0	605528.0	21103.0	2970.0	14278.0	2655.0	1200.0	611.0
20 – 29	6498074.0	6241011.0	251604.0	55821.0	162866.0	21586.0	11331.0	5459.0
30 – 39	7427980.0	7031905.0	389849.0	106562.0	241302.0	26969.0	15016.0	6226.0
40 – 49	9686790.0	9226734.0	452331.0	113984.0	287130.0	33293.0	17924.0	7725.0
50 – 59	4706103.0	4532589.0	169407.0	37331.0	109145.0	15462.0	7469.0	4107.0
60 – 64	595939.0	574311.0	20786.0	3620.0	13655.0	2448.0	1063.0	842.0
65 и более	326865.0	312233.0	13693.0	1557.0	9164.0	2173.0	799.0	939.0
Возраст не указан	7190.0	6672.0	445.0	128.0	173.0	116.0	28.0	73.0
Средний возраст	39.6	39.6	39.5	39.4	39.5	39.9	39.5	40.9
Из общей численности занятых - население в возрасте:								
трудоспособном	27874616.0	26602356.0	1249309.0	308960.0	792689.0	96403.0	51257.0	22951.0
старше трудоспособного	1988412.0	1916460.0	69020.0	12837.0	44580.0	8095.0	3508.0	2932.0
