12. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ КОРЕННЫХ		
МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА		
В ВОЗРАСТЕ 15-64 ЛЕТ ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ		
ПО ТЕРРИТОРИЯМ ПРЕИМУЩЕСТВЕННОГО ПРОЖИВАНИЯ КМНС		
		
	Численность населения	
	человек	в % к итогу
АЛЕУТЫ		
Камчатская область		
Население, занятое в экономике 	137.0	100.0
в том числе по видам экономической деятельности:		
сельское хозяйство, охота и лесное хозяйство	1.0	0.7
рыболовство, рыбоводство	2.0	1.5
добыча полезных ископаемых	-	-
обрабатывающие производства	13.0	9.5
производство и распределение электроэнергии, газа и воды	17.0	12.4
строительство	1.0	0.7
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	2.0	1.5
гостиницы и рестораны	-	-
транспорт и связь	17.0	12.4
финансовая деятельность	1.0	0.7
операции с недвижимым имуществом, аренда и предоставление услуг	1.0	0.7
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	19.0	13.9
образование	17.0	12.4
здравоохранение и предоставление социальных услуг	11.0	8.0
предоставление прочих коммунальных, социальных и персональных услуг	35.0	25.6
предоставление услуг по ведению домашнего хозяйства	-	-
деятельность экстерриториальных организаций	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	-	-
ДОЛГАНЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	2500.0	100.0
в том числе по видам экономической деятельности:		
сельское хозяйство, охота и лесное хозяйство	669.0	26.8
рыболовство, рыбоводство	375.0	15.0
добыча полезных ископаемых	23.0	0.9
обрабатывающие производства	26.0	1.0
производство и распределение электроэнергии, газа и воды	25.0	1.0
строительство	32.0	1.3
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	106.0	4.2
гостиницы и рестораны	10.0	0.4
транспорт и связь	83.0	3.3
финансовая деятельность	3.0	0.1
операции с недвижимым имуществом, аренда и предоставление услуг	88.0	3.5
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	121.0	4.9
образование	571.0	22.9
здравоохранение и предоставление социальных услуг	208.0	8.3
предоставление прочих коммунальных, социальных и персональных услуг	157.0	6.3
предоставление услуг по ведению домашнего хозяйства	-	-
деятельность экстерриториальных организаций	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3.0	0.1
Красноярский край		
Население, занятое в экономике 	2175.0	100.0
в том числе по видам экономической деятельности:		
сельское хозяйство, охота и лесное хозяйство	576.0	26.5
рыболовство, рыбоводство	367.0	16.9
добыча полезных ископаемых	7.0	0.3
обрабатывающие производства	21.0	1.0
производство и распределение электроэнергии, газа и воды	12.0	0.6
строительство	24.0	1.1
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	92.0	4.2
гостиницы и рестораны	6.0	0.3
транспорт и связь	67.0	3.1
финансовая деятельность	2.0	0.1
операции с недвижимым имуществом, аренда и предоставление услуг	68.0	3.1
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	94.0	4.3
образование	509.0	23.4
здравоохранение и предоставление социальных услуг	175.0	8.0
предоставление прочих коммунальных, социальных и персональных услуг	152.0	7.0
предоставление услуг по ведению домашнего хозяйства	-	-
деятельность экстерриториальных организаций	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3.0	0.1
Таймырский (Долгано-Ненецкий) автономный округ		
Население, занятое в экономике 	2164.0	100.0
в том числе по видам экономической деятельности:		
сельское хозяйство, охота и лесное хозяйство	576.0	26.6
рыболовство, рыбоводство	367.0	17.0
добыча полезных ископаемых	6.0	0.3
обрабатывающие производства	21.0	1.0
производство и распределение электроэнергии, газа и воды	12.0	0.6
строительство	24.0	1.1
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	91.0	4.2
гостиницы и рестораны	6.0	0.3
транспорт и связь	66.0	3.0
финансовая деятельность	2.0	0.1
операции с недвижимым имуществом, аренда и предоставление услуг	68.0	3.1
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	93.0	4.3
образование	504.0	23.3
здравоохранение и предоставление социальных услуг	173.0	8.0
предоставление прочих коммунальных, социальных и персональных услуг	152.0	7.0
предоставление услуг по ведению домашнего хозяйства	-	-
деятельность экстерриториальных организаций	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	3.0	0.1
Республика Саха (Якутия)		
Население, занятое в экономике 	325.0	100.0
в том числе по видам экономической деятельности:		
сельское хозяйство, охота и лесное хозяйство	93.0	28.6
рыболовство, рыбоводство	8.0	2.5
добыча полезных ископаемых	16.0	4.9
обрабатывающие производства	5.0	1.5
производство и распределение электроэнергии, газа и воды	13.0	4.0
строительство	8.0	2.5
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	14.0	4.3
гостиницы и рестораны	4.0	1.2
транспорт и связь	16.0	4.9
финансовая деятельность	1.0	0.3
операции с недвижимым имуществом, аренда и предоставление услуг	20.0	6.2
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	27.0	8.3
образование	62.0	19.1
здравоохранение и предоставление социальных услуг	33.0	10.2
предоставление прочих коммунальных, социальных и персональных услуг	5.0	1.5
предоставление услуг по ведению домашнего хозяйства	-	-
деятельность экстерриториальных организаций	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	-	-
ИТЕЛЬМЕНЫ		
Территории преимущественного проживания КМНС		
Население, занятое в экономике 	520.0	100.0
в том числе по видам экономической деятельности:		
сельское хозяйство, охота и лесное хозяйство	33.0	6.3
рыболовство, рыбоводство	46.0	8.8
добыча полезных ископаемых	6.0	1.2
обрабатывающие производства	15.0	2.9
производство и распределение электроэнергии, газа и воды	30.0	5.8
строительство	5.0	1.0
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	20.0	3.8
гостиницы и рестораны	1.0	0.2
транспорт и связь	33.0	6.3
финансовая деятельность	3.0	0.6
операции с недвижимым имуществом, аренда и предоставление услуг	5.0	1.0
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	70.0	13.5
образование	125.0	24.0
здравоохранение и предоставление социальных услуг	74.0	14.2
предоставление прочих коммунальных, социальных и персональных услуг	53.0	10.2
предоставление услуг по ведению домашнего хозяйства	-	-
деятельность экстерриториальных организаций	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	1.0	0.2
Камчатская область		
Население, занятое в экономике 	431.0	100.0
в том числе по видам экономической деятельности:		
сельское хозяйство, охота и лесное хозяйство	27.0	6.3
рыболовство, рыбоводство	34.0	7.9
добыча полезных ископаемых	4.0	0.9
обрабатывающие производства	8.0	1.9
производство и распределение электроэнергии, газа и воды	28.0	6.5
строительство	4.0	0.9
оптовая и розничная торговля; ремонт автотранспортных средств, мотоциклов, бытовых изделий и предметов личного пользования	11.0	2.6
гостиницы и рестораны	1.0	0.2
транспорт и связь	28.0	6.5
финансовая деятельность	3.0	0.7
операции с недвижимым имуществом, аренда и предоставление услуг	3.0	0.7
государственное управление и обеспечение военной безопасности; обязательное социальное обеспечение	60.0	13.9
образование	113.0	26.2
здравоохранение и предоставление социальных услуг	59.0	13.7
предоставление прочих коммунальных, социальных и персональных услуг	48.0	11.1
предоставление услуг по ведению домашнего хозяйства	-	-
деятельность экстерриториальных организаций	-	-
не распределенные по видам деятельности и неточно указавшие вид деятельности	-	-
Корякский автономный округ		
Население, занятое в экономике 	404.0	100.0
в том числе по видам экономической деятельности:		
сельское хозяйство, охота и лесное хозяйство	19.0	4.7
рыболовство, рыбоводство	34.0	8.4
добыча полезных ископаемых	4.0	1.0
обрабатывающие производства	7.0	1.7
производство и распределение электроэнергии, газа и воды	27.0	6.7
