2.4. НАСЕЛЕНИЕ ПО УРОВНЮ ОБРАЗОВАНИЯ И ПОЛУ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 									
(на 1000 человек соответствующего пола и возраста)									
									
	Имеющие образование								Не имеющие начального общего образования
	профессиональное					общее			
	послевузов-ское	высшее	неполное высшее	среднее	начальное	среднее (полное)	основное	начальное	
Российская Федерация									
Городское и сельское население									
1989.0	...	113.0	17.0	192.0	130.0	179.0	175.0	129.0	65.0
2002.0	3.0	157.0	31.0	271.0	127.0	175.0	138.0	77.0	10.0
Мужчины									
1989.0	...	117.0	17.0	166.0	177.0	198.0	179.0	119.0	27.0
2002.0	4.0	152.0	31.0	250.0	157.0	187.0	141.0	61.0	5.0
Женщины									
1989.0	...	110.0	17.0	214.0	90.0	163.0	172.0	137.0	97.0
2002.0	2.0	161.0	31.0	289.0	101.0	166.0	135.0	90.0	14.0
Городское население									
1989.0	...	136.0	21.0	212.0	130.0	189.0	166.0	100.0	46.0
2002.0	4.0	185.0	37.0	291.0	115.0	174.0	119.0	54.0	6.0
Мужчины									
1989.0	...	141.0	21.0	185.0	172.0	205.0	169.0	89.0	18.0
2002.0	5.0	181.0	37.0	273.0	138.0	184.0	123.0	41.0	3.0
Женщины									
1989.0	...	132.0	20.0	236.0	95.0	176.0	164.0	108.0	69.0
2002.0	3.0	190.0	36.0	307.0	95.0	166.0	117.0	64.0	8.0
Сельское население									
1989.0	...	47.0	7.0	134.0	130.0	151.0	199.0	213.0	119.0
2002.0	1.0	73.0	14.0	214.0	161.0	179.0	190.0	145.0	22.0
Мужчины									
1989.0	...	48.0	7.0	112.0	191.0	179.0	207.0	203.0	53.0
2002.0	1.0	71.0	13.0	187.0	209.0	196.0	193.0	118.0	11.0
Женщины									
1989.0	...	45.0	7.0	152.0	78.0	128.0	193.0	221.0	176.0
2002.0	1.0	75.0	14.0	236.0	119.0	165.0	188.0	169.0	32.0
Центральный федеральный округ									
Городское и сельское население									
1989.0	...	141.0	20.0	190.0	114.0	172.0	169.0	131.0	63.0
2002.0	5.0	192.0	36.0	270.0	112.0	164.0	121.0	71.0	8.0
Мужчины									
1989.0	...	151.0	20.0	164.0	159.0	191.0	173.0	118.0	24.0
2002.0	6.0	190.0	37.0	251.0	138.0	177.0	121.0	53.0	4.0
Женщины									
1989.0	...	133.0	19.0	210.0	80.0	156.0	167.0	141.0	94.0
2002.0	4.0	193.0	34.0	285.0	90.0	154.0	122.0	87.0	11.0
Городское население									
1989.0	...	169.0	23.0	208.0	114.0	184.0	162.0	98.0	42.0
2002.0	5.0	220.0	41.0	282.0	101.0	166.0	107.0	48.0	4.0
Мужчины									
1989.0	...	182.0	24.0	180.0	152.0	200.0	163.0	84.0	15.0
2002.0	7.0	218.0	43.0	265.0	120.0	177.0	106.0	34.0	2.0
Женщины									
1989.0	...	160.0	23.0	230.0	84.0	171.0	161.0	108.0	63.0
2002.0	5.0	221.0	39.0	296.0	85.0	156.0	108.0	59.0	6.0
Сельское население									
1989.0	...	43.0	6.0	125.0	115.0	129.0	196.0	248.0	138.0
2002.0	1.0	79.0	13.0	220.0	155.0	158.0	182.0	167.0	22.0
Мужчины									
1989.0	...	44.0	6.0	107.0	180.0	161.0	210.0	237.0	55.0
2002.0	1.0	77.0	12.0	197.0	209.0	178.0	185.0	128.0	10.0
Женщины									
1989.0	...	42.0	7.0	140.0	64.0	105.0	185.0	256.0	201.0
2002.0	1.0	81.0	13.0	240.0	110.0	142.0	180.0	199.0	32.0
Белгородская область									
Городское и сельское население									
1989.0	...	83.0	13.0	181.0	122.0	174.0	159.0	160.0	108.0
2002.0	1.0	142.0	23.0	297.0	124.0	170.0	128.0	96.0	14.0
Мужчины									
1989.0	...	86.0	12.0	162.0	176.0	208.0	169.0	147.0	40.0
2002.0	2.0	137.0	23.0	283.0	161.0	188.0	128.0	68.0	5.0
Женщины									
1989.0	...	81.0	13.0	196.0	80.0	148.0	152.0	169.0	161.0
2002.0	1.0	146.0	24.0	308.0	95.0	155.0	127.0	118.0	21.0
Городское население									
1989.0	...	115.0	17.0	229.0	141.0	194.0	151.0	97.0	56.0
2002.0	2.0	176.0	29.0	339.0	118.0	163.0	107.0	52.0	7.0
Мужчины									
1989.0	...	116.0	16.0	200.0	188.0	216.0	157.0	86.0	21.0
2002.0	3.0	168.0	29.0	323.0	146.0	174.0	109.0	38.0	3.0
Женщины									
1989.0	...	115.0	18.0	253.0	103.0	175.0	147.0	105.0	84.0
2002.0	2.0	183.0	29.0	352.0	94.0	154.0	105.0	64.0	10.0
Сельское население									
1989.0	...	34.0	6.0	105.0	92.0	143.0	172.0	258.0	190.0
2002.0	1.0	78.0	12.0	217.0	136.0	182.0	167.0	179.0	27.0
Мужчины									
1989.0	...	37.0	6.0	97.0	156.0	193.0	188.0	250.0	73.0
2002.0	1.0	78.0	11.0	205.0	188.0	214.0	165.0	128.0	9.0
Женщины									
1989.0	...	31.0	7.0	110.0	45.0	108.0	160.0	264.0	275.0
2002.0	1.0	77.0	13.0	226.0	96.0	155.0	168.0	220.0	43.0
Брянская область									
Городское и сельское население									
1989.0	...	77.0	12.0	172.0	123.0	173.0	178.0	170.0	95.0
2002.0	1.0	121.0	21.0	271.0	145.0	173.0	141.0	111.0	14.0
Мужчины									
1989.0	...	82.0	13.0	154.0	178.0	198.0	190.0	152.0	33.0
2002.0	2.0	121.0	20.0	250.0	190.0	188.0	145.0	77.0	5.0
Женщины									
1989.0	...	74.0	12.0	186.0	79.0	153.0	169.0	184.0	143.0
2002.0	1.0	122.0	21.0	287.0	109.0	160.0	138.0	139.0	21.0
Городское население									
1989.0	...	101.0	15.0	211.0	133.0	201.0	176.0	108.0	55.0
2002.0	2.0	150.0	24.0	308.0	137.0	178.0	126.0	66.0	7.0
Мужчины									
1989.0	...	105.0	15.0	185.0	182.0	222.0	180.0	93.0	18.0
2002.0	2.0	149.0	24.0	286.0	174.0	188.0	127.0	45.0	3.0
Женщины									
1989.0	...	97.0	15.0	232.0	94.0	185.0	172.0	120.0	85.0
2002.0	1.0	150.0	25.0	326.0	108.0	170.0	124.0	83.0	11.0
Сельское население									
1989.0	...	32.0	7.0	97.0	103.0	117.0	183.0	289.0	172.0
2002.0	1.0	59.0	13.0	189.0	162.0	160.0	176.0	211.0	28.0
Мужчины									
1989.0	...	34.0	8.0	92.0	170.0	150.0	210.0	271.0	65.0
2002.0	1.0	60.0	12.0	175.0	224.0	186.0	184.0	146.0	11.0
Женщины									
1989.0	...	30.0	7.0	100.0	53.0	93.0	162.0	304.0	251.0
2002.0	1.0	58.0	13.0	201.0	113.0	139.0	168.0	264.0	42.0
Владимирская область									
Городское и сельское население									
1989.0	...	92.0	12.0	172.0	154.0	169.0	189.0	154.0	58.0
2002.0	2.0	134.0	20.0	275.0	141.0	172.0	148.0	90.0	6.0
Мужчины									
1989.0	...	94.0	12.0	146.0	208.0	182.0	194.0	142.0	22.0
2002.0	3.0	130.0	20.0	257.0	178.0	176.0	151.0	69.0	4.0
Женщины									
1989.0	...	90.0	12.0	193.0	111.0	160.0	184.0	164.0	86.0
2002.0	2.0	138.0	21.0	289.0	112.0	167.0	145.0	106.0	8.0
Городское население									
1989.0	...	106.0	14.0	187.0	157.0	182.0	185.0	125.0	44.0
2002.0	2.0	151.0	23.0	289.0	135.0	176.0	137.0	69.0	4.0
Мужчины									
1989.0	...	108.0	14.0	160.0	208.0	192.0	188.0	114.0	16.0
2002.0	3.0	147.0	23.0	274.0	167.0	178.0	139.0	53.0	2.0
Женщины									
1989.0	...	103.0	14.0	209.0	117.0	174.0	183.0	133.0	67.0
2002.0	2.0	155.0	23.0	302.0	109.0	174.0	134.0	82.0	5.0
Сельское население									
1989.0	...	39.0	5.0	116.0	142.0	122.0	201.0	266.0	109.0
2002.0	1.0	67.0	11.0	216.0	168.0	154.0	193.0	172.0	15.0
Мужчины									
1989.0	...	38.0	5.0	92.0	208.0	143.0	219.0	250.0	45.0
2002.0	1.0	63.0	10.0	193.0	221.0	168.0	198.0	134.0	9.0
Женщины									
1989.0	...	39.0	6.0	134.0	92.0	106.0	188.0	279.0	156.0
2002.0	1.0	70.0	11.0	235.0	124.0	143.0	189.0	203.0	21.0
Воронежская область									
Городское и сельское население									
1989.0	...	104.0	17.0	162.0	102.0	201.0	157.0	154.0	103.0
2002.0	3.0	157.0	26.0	242.0	116.0	203.0	133.0	97.0	16.0
Мужчины									
1989.0	...	106.0	18.0	151.0	145.0	233.0	161.0	146.0	40.0
2002.0	3.0	153.0	27.0	227.0	147.0	222.0	133.0	74.0	7.0
Женщины									
1989.0	...	102.0	17.0	171.0	68.0	176.0	153.0	161.0	152.0
2002.0	2.0	161.0	26.0	254.0	91.0	186.0	132.0	116.0	25.0
Городское население									
1989.0	...	147.0	25.0	195.0	107.0	231.0	144.0	94.0	57.0
2002.0	4.0	209.0	36.0	268.0	102.0	206.0	106.0	52.0	7.0
Мужчины									
1989.0	...	148.0	27.0	180.0	143.0	253.0	143.0	85.0	21.0
