Республика Башкортостан											
	Численность лиц, владеющих соответствую-щим языком	в том числе									
		башкиры	русские	татары	чуваши	марийцы	украинцы	мордва	удмурты	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:											
аварским	179.0	3.0	1.0	-	-	-	-	-	-	175.0	-
азербайджанским	4949.0	190.0	130.0	251.0	5.0	4.0	7.0	3.0	2.0	4356.0	1.0
английским	149324.0	36667.0	61833.0	42146.0	1661.0	1241.0	1936.0	317.0	295.0	3194.0	34.0
арабским	1993.0	851.0	80.0	852.0	2.0	4.0	2.0	-	1.0	201.0	-
армянским	8219.0	96.0	186.0	89.0	6.0	5.0	13.0	1.0	1.0	7822.0	-
афганским	166.0	7.0	15.0	20.0	1.0	-	-	-	-	123.0	-
башкирским	1056871.0	912204.0	14765.0	109799.0	9126.0	3548.0	556.0	323.0	2921.0	3570.0	59.0
белорусским	3999.0	59.0	401.0	38.0	10.0	7.0	101.0	3.0	-	3378.0	2.0
болгарским	324.0	13.0	74.0	33.0	2.0	1.0	9.0	2.0	-	190.0	-
венгерским	114.0	17.0	36.0	28.0	-	1.0	9.0	1.0	-	22.0	-
вьетнамским	1175.0	3.0	15.0	6.0	-	-	-	-	-	1151.0	-
горномарийским	3381.0	69.0	46.0	40.0	4.0	3213.0	1.0	-	8.0	-	-
греческим	415.0	16.0	77.0	30.0	2.0	2.0	5.0	-	1.0	282.0	-
грузинским	1890.0	36.0	149.0	53.0	1.0	4.0	15.0	1.0	-	1629.0	2.0
даргинским	211.0	2.0	1.0	1.0	-	-	-	-	-	207.0	-
иврит, идиш	338.0	19.0	62.0	13.0	1.0	-	7.0	-	-	234.0	2.0
ингушским	176.0	2.0	3.0	1.0	-	-	-	-	-	170.0	-
испанским	489.0	82.0	241.0	86.0	7.0	2.0	14.0	-	-	57.0	-
итальянским	591.0	99.0	305.0	144.0	5.0	6.0	6.0	2.0	-	24.0	-
казахским	6943.0	2162.0	300.0	1792.0	63.0	94.0	35.0	-	11.0	2486.0	-
каракалпакским	102.0	21.0	5.0	43.0	-	-	-	1.0	-	32.0	-
киргизским	1221.0	274.0	46.0	536.0	13.0	1.0	8.0	2.0	-	341.0	-
китайским	211.0	20.0	54.0	36.0	3.0	2.0	1.0	1.0	-	94.0	-
корейским	283.0	10.0	11.0	19.0	-	1.0	1.0	1.0	-	240.0	-
кумыкским	133.0	8.0	3.0	4.0	-	-	-	-	-	118.0	-
курдским	541.0	-	-	1.0	-	-	-	-	-	540.0	-
латышским	975.0	37.0	199.0	49.0	5.0	2.0	10.0	1.0	-	672.0	-
лезгинским	194.0	3.0	4.0	1.0	-	-	-	-	-	186.0	-
литовским	308.0	23.0	91.0	34.0	-	3.0	8.0	1.0	-	148.0	-
лугово-восточным марийским (марийским)	95405.0	3126.0	1396.0	1512.0	164.0	88605.0	39.0	27.0	432.0	97.0	7.0
молдавским	900.0	17.0	117.0	24.0	1.0	2.0	66.0	3.0	2.0	668.0	-
мордовским, мокша-мордовским, эрзя-мордовским	19394.0	93.0	1488.0	144.0	460.0	17.0	60.0	17078.0	19.0	35.0	-
немецким	64900.0	15198.0	24440.0	17373.0	1080.0	1053.0	1022.0	259.0	101.0	4367.0	7.0
осетинским	139.0	5.0	10.0	7.0	-	-	1.0	-	-	116.0	-
персидским	158.0	28.0	11.0	39.0	1.0	-	2.0	-	-	77.0	-
польским	894.0	59.0	323.0	96.0	3.0	8.0	156.0	-	1.0	247.0	1.0
румынским	194.0	23.0	34.0	12.0	-	-	17.0	-	-	108.0	-
таджикским	4838.0	618.0	215.0	1161.0	42.0	6.0	16.0	4.0	5.0	2771.0	-
татарским	1396947.0	449207.0	21519.0	859748.0	22345.0	27330.0	1197.0	919.0	8623.0	5981.0	78.0
турецким	3525.0	1600.0	267.0	849.0	11.0	7.0	16.0	-	2.0	773.0	-
туркменским	1393.0	383.0	70.0	476.0	19.0	15.0	3.0	1.0	-	426.0	-
удмуртским	21475.0	1336.0	270.0	495.0	8.0	217.0	10.0	9.0	19102.0	28.0	-
узбекским	19602.0	5151.0	717.0	8873.0	208.0	94.0	40.0	8.0	18.0	4493.0	-
украинским	25719.0	417.0	4285.0	538.0	81.0	54.0	19726.0	46.0	6.0	564.0	2.0
французским	9973.0	2127.0	4119.0	2966.0	88.0	196.0	131.0	15.0	9.0	321.0	1.0
цыганским	709.0	12.0	50.0	6.0	2.0	-	6.0	3.0	-	630.0	-
чеченским	1135.0	58.0	21.0	22.0	-	-	4.0	-	-	1029.0	1.0
чешским	128.0	16.0	59.0	30.0	-	1.0	14.0	-	-	8.0	-
чувашским	98488.0	1909.0	2400.0	2207.0	91050.0	331.0	80.0	353.0	12.0	143.0	3.0
эстонским	184.0	12.0	49.0	13.0	1.0	6.0	3.0	1.0	-	99.0	-
другими языками (не перечисленными выше)	3069.0	548.0	781.0	609.0	28.0	21.0	31.0	7.0	10.0	1033.0	1.0
