5. ЖЕНЩИНЫ НАИБОЛЕЕ МНОГОЧИСЛЕННЫХ НАЦИОНАЛЬНОСТЕЙ ПО ВОЗРАСТНЫМ ГРУППАМ И ЧИСЛУ РОЖДЕННЫХ ДЕТЕЙ													
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
	Всего	Женщины, указавшие число рожденных детей	из них женщины с числом рожденных детей								Общее число рожденных детей	Среднее число рожденных детей (на 1000 женщин)	Женщины, не указавшие число рожденных детей
			0.0	1.0	2.0	3.0	4.0	5.0	6.0	7 и более			
Российская Федерация													
Русские													
Женщины в возрасте 15 лет и более	53287646.0	51436973.0	11081209.0	16600228.0	17560150.0	4156002.0	1053044.0	503199.0	205164.0	277977.0	74396708.0	1446.0	1850673.0
в том числе в возрасте, лет:													
15 – 17	2997499.0	2719986.0	2674931.0	41271.0	3672.0	112.0	-	-	-	-	48947.0	18.0	277513.0
18 – 19	2064560.0	1902194.0	1740673.0	151577.0	9085.0	859.0	-	-	-	-	172324.0	91.0	162366.0
20 – 24	4594995.0	4276384.0	2667277.0	1417562.0	169795.0	12709.0	3481.0	404.0	3430.0	1726.0	1843885.0	431.0	318611.0
25 – 29	4260967.0	4080195.0	1084074.0	2239918.0	667278.0	63129.0	12319.0	2491.0	2638.0	8348.0	3909599.0	958.0	180772.0
30 – 34	3844110.0	3729519.0	457513.0	1903877.0	1174879.0	145452.0	27572.0	7565.0	3549.0	9112.0	4933573.0	1323.0	114591.0
35 – 39	3954932.0	3865031.0	286466.0	1536391.0	1681948.0	273601.0	51724.0	16642.0	6315.0	11944.0	6144689.0	1590.0	89901.0
40 – 44	5053034.0	4951206.0	295051.0	1553033.0	2464754.0	483963.0	89386.0	32263.0	12471.0	20285.0	8690308.0	1755.0	101828.0
45 – 49	4947036.0	4851502.0	281419.0	1430988.0	2417935.0	542485.0	96849.0	43775.0	15339.0	22712.0	8774617.0	1809.0	95534.0
50 – 54	4497943.0	4405336.0	272313.0	1395770.0	2129457.0	447855.0	81507.0	41950.0	14771.0	21713.0	7798275.0	1770.0	92607.0
55 – 59	2486568.0	2427307.0	168974.0	827709.0	1120967.0	225061.0	41988.0	22288.0	7897.0	12423.0	4172532.0	1719.0	59261.0
60 – 64	3928134.0	3839843.0	259822.0	1214021.0	1759402.0	427165.0	93092.0	48832.0	15969.0	21540.0	6901251.0	1797.0	88291.0
65 – 69	3216686.0	3143571.0	226720.0	931521.0	1383044.0	404063.0	105601.0	52489.0	18381.0	21752.0	5882424.0	1871.0	73115.0
70 и более	7441182.0	7244899.0	665976.0	1956590.0	2577934.0	1129548.0	449525.0	234500.0	104404.0	126422.0	15124284.0	2088.0	196283.0
Татары													
Женщины в возрасте 15 лет и более	2489771.0	2452250.0	550274.0	567637.0	835186.0	286155.0	90279.0	64281.0	26857.0	31581.0	4195891.0	1711.0	37521.0
в том числе в возрасте, лет:													
15 – 17	148791.0	143716.0	142393.0	1204.0	119.0	-	-	-	-	-	1442.0	10.0	5075.0
18 – 19	93632.0	90573.0	85535.0	4764.0	260.0	14.0	-	-	-	-	5326.0	59.0	3059.0
20 – 24	195790.0	190025.0	126581.0	55226.0	7411.0	473.0	114.0	8.0	152.0	60.0	73295.0	386.0	5765.0
25 – 29	181166.0	177795.0	49821.0	87368.0	36487.0	3083.0	470.0	83.0	90.0	393.0	175636.0	988.0	3371.0
30 – 34	183483.0	181099.0	22631.0	71513.0	74698.0	10095.0	1315.0	350.0	113.0	384.0	261965.0	1447.0	2384.0
35 – 39	236180.0	233949.0	17027.0	65838.0	122790.0	23053.0	3318.0	1021.0	312.0	590.0	405532.0	1733.0	2231.0
40 – 44	293192.0	290506.0	17387.0	64896.0	158425.0	39697.0	6331.0	2154.0	658.0	958.0	548451.0	1888.0	2686.0
45 – 49	247996.0	245726.0	15593.0	51397.0	125141.0	41575.0	6908.0	3069.0	864.0	1179.0	483870.0	1969.0	2270.0
50 – 54	185887.0	183929.0	12644.0	39583.0	87654.0	31363.0	6239.0	4299.0	1120.0	1027.0	370479.0	2014.0	1958.0
55 – 59	95061.0	93897.0	7111.0	20673.0	41009.0	16347.0	4102.0	3071.0	860.0	724.0	194454.0	2071.0	1164.0
60 – 64	169820.0	167908.0	12160.0	30617.0	64038.0	34354.0	12102.0	9474.0	2958.0	2205.0	392782.0	2339.0	1912.0
65 – 69	147167.0	145587.0	11317.0	24167.0	47605.0	30554.0	13634.0	11306.0	3751.0	3253.0	370294.0	2543.0	1580.0
70 и более	311606.0	307540.0	30074.0	50391.0	69549.0	55547.0	35746.0	29446.0	15979.0	20808.0	912365.0	2967.0	4066.0
Украинцы													
Женщины в возрасте 15 лет и более	1445991.0	1400547.0	168083.0	428498.0	574375.0	152602.0	40446.0	19362.0	7548.0	9633.0	2417427.0	1726.0	45444.0
в том числе в возрасте, лет:													
15 – 17	29940.0	26633.0	26116.0	475.0	42.0	-	-	-	-	-	559.0	21.0	3307.0
18 – 19	21364.0	19088.0	17264.0	1674.0	137.0	13.0	-	-	-	-	1987.0	104.0	2276.0
20 – 24	66175.0	59582.0	34573.0	21536.0	3089.0	257.0	61.0	12.0	28.0	26.0	29139.0	489.0	6593.0
25 – 29	92173.0	87068.0	19468.0	47652.0	17362.0	1898.0	325.0	102.0	58.0	203.0	91953.0	1056.0	5105.0
30 – 34	114877.0	110803.0	10211.0	53502.0	40173.0	5333.0	909.0	306.0	117.0	252.0	157771.0	1424.0	4074.0
35 – 39	132201.0	128845.0	7371.0	46169.0	61375.0	10437.0	2027.0	751.0	249.0	466.0	217408.0	1687.0	3356.0
40 – 44	158237.0	154741.0	6790.0	44237.0	80234.0	17692.0	3510.0	1094.0	511.0	673.0	285840.0	1847.0	3496.0
45 – 49	144127.0	141206.0	6526.0	36986.0	73440.0	18013.0	3376.0	1585.0	548.0	732.0	268621.0	1902.0	2921.0
50 – 54	141484.0	138705.0	6582.0	37240.0	70605.0	17465.0	3507.0	1796.0	686.0	824.0	264613.0	1908.0	2779.0
55 – 59	90719.0	88790.0	4597.0	25082.0	43916.0	10869.0	2115.0	1223.0	390.0	598.0	167215.0	1883.0	1929.0
60 – 64	132213.0	129617.0	7101.0	35546.0	61948.0	17209.0	4230.0	2053.0	731.0	799.0	249046.0	1921.0	2596.0
65 – 69	97464.0	95413.0	5416.0	24409.0	42876.0	14927.0	4082.0	2096.0	830.0	777.0	193076.0	2024.0	2051.0
70 и более	225017.0	220056.0	16068.0	53990.0	79178.0	38489.0	16304.0	8344.0	3400.0	4283.0	490199.0	2228.0	4961.0
Башкиры													
Женщины в возрасте 15 лет и более	709406.0	705452.0	164259.0	133570.0	208854.0	97381.0	37264.0	30217.0	14756.0	19151.0	1388916.0	1969.0	3954.0
в том числе в возрасте, лет:													
15 – 17	50813.0	50057.0	49633.0	384.0	40.0	-	-	-	-	-	464.0	9.0	756.0
18 – 19	29961.0	29620.0	27665.0	1839.0	111.0	5.0	-	-	-	-	2076.0	70.0	341.0
20 – 24	61700.0	61056.0	38522.0	18461.0	3640.0	296.0	63.0	-	58.0	16.0	27341.0	448.0	644.0
25 – 29	55174.0	54792.0	13521.0	24531.0	14246.0	1972.0	343.0	45.0	25.0	109.0	61560.0	1124.0	382.0
30 – 34	57804.0	57546.0	5633.0	18703.0	25601.0	5915.0	1285.0	209.0	78.0	122.0	95270.0	1656.0	258.0
35 – 39	73991.0	73725.0	4268.0	16216.0	37538.0	11910.0	2528.0	759.0	216.0	290.0	144518.0	1960.0	266.0
40 – 44	84934.0	84609.0	4394.0	14419.0	42071.0	17473.0	4008.0	1450.0	359.0	435.0	179826.0	2125.0	325.0
45 – 49	64506.0	64237.0	3441.0	9789.0	27709.0	15830.0	3980.0	2348.0	626.0	514.0	148111.0	2306.0	269.0
50 – 54	46114.0	45971.0	2819.0	6764.0	18380.0	10660.0	3274.0	2667.0	694.0	713.0	111875.0	2434.0	143.0
