11. НАСЕЛЕНИЕ ОТДЕЛЬНЫХ НАЦИОНАЛЬНОСТЕЙ ПО УРОВНЮ ОБРАЗОВАНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ												
												
												
	Численность населения соответствующей национальности в возрасте 15 лет и более	в том числе имеют образование								Не имеют начального общего образования	из них неграмотные 	Не указавшие уровень образования
		профессиональное					общее					
		послевузовское 	высшее	неполное высшее 	среднее 	начальное	среднее (полное)	основное 	начальное			
Центральный федеральный округ												
Белгородская область												
Все население	1273275.0	2032.0	180721.0	29530.0	377879.0	158402.0	215701.0	162595.0	122036.0	17850.0	9817.0	6529.0
Русские	1178306.0	1792.0	164795.0	27863.0	351863.0	147310.0	198465.0	151516.0	115815.0	16540.0	9052.0	2347.0
Украинцы	54391.0	148.0	10309.0	941.0	16799.0	6944.0	8899.0	5852.0	3868.0	572.0	259.0	59.0
Городское население	832025.0	1713.0	146483.0	24182.0	282227.0	98036.0	135689.0	88935.0	43134.0	5710.0	3027.0	5916.0
Русские	772474.0	1518.0	133677.0	22907.0	263970.0	92100.0	126908.0	84131.0	40325.0	5137.0	2712.0	1801.0
Украинцы	33899.0	120.0	8329.0	710.0	11854.0	3734.0	4489.0	2649.0	1726.0	243.0	106.0	45.0
Сельское население	441250.0	319.0	34238.0	5348.0	95652.0	60366.0	80012.0	73660.0	78902.0	12140.0	6790.0	613.0
Русские	405832.0	274.0	31118.0	4956.0	87893.0	55210.0	71557.0	67385.0	75490.0	11403.0	6340.0	546.0
Украинцы	20492.0	28.0	1980.0	231.0	4945.0	3210.0	4410.0	3203.0	2142.0	329.0	153.0	14.0
Брянская область												
Все население	1156186.0	1503.0	140096.0	23894.0	313166.0	167860.0	199459.0	163296.0	128818.0	16091.0	8822.0	2003.0
Русские	1111544.0	1410.0	131831.0	23103.0	301345.0	162216.0	192274.0	158338.0	125302.0	14905.0	8070.0	820.0
Украинцы	19215.0	46.0	3822.0	352.0	5931.0	2693.0	2768.0	2020.0	1440.0	133.0	57.0	10.0
Белорусы	7448.0	16.0	1487.0	100.0	2177.0	1116.0	1046.0	824.0	623.0	59.0	28.0	-
Евреи	2255.0	11.0	951.0	59.0	632.0	115.0	238.0	150.0	92.0	6.0	3.0	1.0
Городское население	793765.0	1216.0	118728.0	19357.0	244501.0	108880.0	141527.0	99622.0	52309.0	5893.0	3215.0	1732.0
Русские	760948.0	1141.0	111664.0	18714.0	235415.0	105256.0	136489.0	96484.0	50143.0	5063.0	2695.0	579.0
Украинцы	14133.0	39.0	3259.0	282.0	4536.0	1777.0	1902.0	1319.0	920.0	94.0	37.0	5.0
Белорусы	5551.0	12.0	1238.0	86.0	1728.0	757.0	770.0	557.0	369.0	34.0	16.0	-
Евреи	2209.0	10.0	934.0	58.0	619.0	111.0	235.0	148.0	89.0	4.0	3.0	1.0
Сельское население	362421.0	287.0	21368.0	4537.0	68665.0	58980.0	57932.0	63674.0	76509.0	10198.0	5607.0	271.0
Русские	350596.0	269.0	20167.0	4389.0	65930.0	56960.0	55785.0	61854.0	75159.0	9842.0	5375.0	241.0
Украинцы	5082.0	7.0	563.0	70.0	1395.0	916.0	866.0	701.0	520.0	39.0	20.0	5.0
Белорусы	1897.0	4.0	249.0	14.0	449.0	359.0	276.0	267.0	254.0	25.0	12.0	-
Евреи	46.0	1.0	17.0	1.0	13.0	4.0	3.0	2.0	3.0	2.0	-	-
Владимирская область												
Все население	1303968.0	2617.0	175063.0	26776.0	358025.0	184207.0	223591.0	192976.0	117250.0	8119.0	4319.0	15344.0
Русские	1233382.0	2408.0	164829.0	25599.0	342218.0	176290.0	212805.0	185903.0	112773.0	7051.0	3591.0	3506.0
Татары	8033.0	16.0	1074.0	143.0	2242.0	1117.0	1359.0	1140.0	806.0	117.0	70.0	19.0
Белорусы	5477.0	19.0	1134.0	103.0	1608.0	729.0	840.0	592.0	407.0	29.0	14.0	16.0
Городское население	1039686.0	2431.0	157355.0	23963.0	300934.0	139866.0	182795.0	142002.0	71853.0	4041.0	1969.0	14446.0
Русские	982303.0	2240.0	148314.0	22930.0	288120.0	134057.0	174301.0	136881.0	68886.0	3493.0	1620.0	3081.0
Татары	6812.0	13.0	949.0	129.0	1919.0	912.0	1156.0	952.0	680.0	86.0	49.0	16.0
Белорусы	4373.0	17.0	1008.0	88.0	1305.0	557.0	670.0	425.0	272.0	15.0	6.0	16.0
Сельское население	264282.0	186.0	17708.0	2813.0	57091.0	44341.0	40796.0	50974.0	45397.0	4078.0	2350.0	898.0
Русские	251079.0	168.0	16515.0	2669.0	54098.0	42233.0	38504.0	49022.0	43887.0	3558.0	1971.0	425.0
Татары	1221.0	3.0	125.0	14.0	323.0	205.0	203.0	188.0	126.0	31.0	21.0	3.0
Белорусы	1104.0	2.0	126.0	15.0	303.0	172.0	170.0	167.0	135.0	14.0	8.0	-
Воронежская область												
Все население	2030449.0	5308.0	319333.0	53677.0	491329.0	234454.0	411445.0	270221.0	197667.0	33614.0	17695.0	13401.0
Русские	1910555.0	4943.0	302085.0	51359.0	464147.0	220531.0	389763.0	254196.0	185353.0	30723.0	16045.0	7455.0
Украинцы	68135.0	164.0	9346.0	950.0	17811.0	9384.0	11170.0	9274.0	8621.0	1292.0	508.0	123.0
Городское население	1264276.0	4756.0	264565.0	45375.0	338625.0	129975.0	260074.0	133932.0	65217.0	9285.0	4882.0	12472.0
Русские	1201233.0	4439.0	250783.0	43558.0	322518.0	124751.0	250010.0	128408.0	61752.0	8339.0	4290.0	6675.0
Украинцы	31243.0	132.0	7196.0	657.0	10041.0	3243.0	4387.0	3036.0	2160.0	305.0	120.0	86.0
Сельское население	766173.0	552.0	54768.0	8302.0	152704.0	104479.0	151371.0	136289.0	132450.0	24329.0	12813.0	929.0
Русские	709322.0	504.0	51302.0	7801.0	141629.0	95780.0	139753.0	125788.0	123601.0	22384.0	11755.0	780.0
Украинцы	36892.0	32.0	2150.0	293.0	7770.0	6141.0	6783.0	6238.0	6461.0	987.0	388.0	37.0
Ивановская область												
Все население	986434.0	2380.0	133398.0	22365.0	254845.0	147195.0	161858.0	147053.0	89861.0	6996.0	3701.0	20483.0
Русские	923378.0	2228.0	126474.0	21253.0	244271.0	140462.0	153173.0	141584.0	86633.0	5908.0	2949.0	1392.0
Украинцы	10126.0	35.0	2023.0	215.0	3026.0	1712.0	1568.0	966.0	512.0	56.0	22.0	13.0
Татары	7602.0	19.0	914.0	157.0	1850.0	1172.0	1339.0	1171.0	818.0	151.0	83.0	11.0
Городское население	817156.0	2246.0	120496.0	20603.0	217874.0	116441.0	137463.0	113821.0	63248.0	4747.0	2373.0	20217.0
Русские	761639.0	2105.0	114214.0	19603.0	208823.0	111063.0	130130.0	109585.0	60767.0	4112.0	1973.0	1237.0
Украинцы	8491.0	32.0	1836.0	185.0	2640.0	1343.0	1306.0	734.0	364.0	42.0	16.0	9.0
Татары	6790.0	16.0	855.0	144.0	1675.0	1005.0	1192.0	1002.0	748.0	143.0	79.0	10.0
Сельское население	169278.0	134.0	12902.0	1762.0	36971.0	30754.0	24395.0	33232.0	26613.0	2249.0	1328.0	266.0
Русские	161739.0	123.0	12260.0	1650.0	35448.0	29399.0	23043.0	31999.0	25866.0	1796.0	976.0	155.0
Украинцы	1635.0	3.0	187.0	30.0	386.0	369.0	262.0	232.0	148.0	14.0	6.0	4.0
Татары	812.0	3.0	59.0	13.0	175.0	167.0	147.0	169.0	70.0	8.0	4.0	1.0
Калужская область												
Все население	887523.0	2054.0	141951.0	20920.0	270888.0	112968.0	139360.0	116551.0	72273.0	6742.0	3439.0	3816.0
Русские	827806.0	1783.0	129624.0	19614.0	253978.0	106598.0	129858.0	110325.0	68465.0	5824.0	2876.0	1737.0
Украинцы	22123.0	113.0	5288.0	454.0	7381.0	2466.0	2957.0	2027.0	1283.0	104.0	54.0	50.0
Белорусы	6318.0	25.0	1382.0	111.0	2045.0	726.0	854.0	614.0	502.0	42.0	24.0	17.0
Городское население	666507.0	1875.0	124934.0	18368.0	219516.0	76372.0	107795.0	77016.0	34503.0	2694.0	1300.0	3434.0
Русские	622665.0	1634.0	114302.0	17289.0	206711.0	72444.0	101133.0	73146.0	32271.0	2218.0	1020.0	1517.0
Украинцы	17170.0	103.0	4732.0	393.0	5850.0	1634.0	2210.0	1378.0	772.0	60.0	28.0	38.0
Белорусы	4754.0	22.0	1226.0	97.0	1635.0	461.0	626.0	379.0	276.0	20.0	13.0	12.0
Сельское население	221016.0	179.0	17017.0	2552.0	51372.0	36596.0	31565.0	39535.0	37770.0	4048.0	2139.0	382.0
Русские	205141.0	149.0	15322.0	2325.0	47267.0	34154.0	28725.0	37179.0	36194.0	3606.0	1856.0	220.0
Украинцы	4953.0	10.0	556.0	61.0	1531.0	832.0	747.0	649.0	511.0	44.0	26.0	12.0
Белорусы	1564.0	3.0	156.0	14.0	410.0	265.0	228.0	235.0	226.0	22.0	11.0	5.0
Костромская область												
