5.3. ЗАНЯТОЕ НАСЕЛЕНИЕ В ВОЗРАСТЕ 15 ЛЕТ И БОЛЕЕ ПО ПОЛУ								
И ПОЛОЖЕНИЮ В ЗАНЯТИИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Все занятое в экономике население		в том числе по положению в занятии					
		работающие по найму	работающие не по найму	из них				не указавшие положение в занятии
				с привлечением наемных работников	без привлечения наемных работников	иное	не указавшие привлечение наемных работников	
Российская Федерация	61583710.0	58304254.0	3225096.0	924185.0	1924154.0	251351.0	125406.0	54360.0
Мужчины	31714717.0	29779943.0	1906323.0	602340.0	1086614.0	146765.0	70604.0	28451.0
Женщины	29868993.0	28524311.0	1318773.0	321845.0	837540.0	104586.0	54802.0	25909.0
Городское население	48532143.0	45826816.0	2656113.0	806002.0	1562561.0	186460.0	101090.0	49214.0
Мужчины	24590626.0	23022262.0	1542660.0	523527.0	858807.0	104461.0	55865.0	25704.0
Женщины	23941517.0	22804554.0	1113453.0	282475.0	703754.0	81999.0	45225.0	23510.0
Сельское население	13051567.0	12477438.0	568983.0	118183.0	361593.0	64891.0	24316.0	5146.0
Мужчины	7124091.0	6757681.0	363663.0	78813.0	227807.0	42304.0	14739.0	2747.0
Женщины	5927476.0	5719757.0	205320.0	39370.0	133786.0	22587.0	9577.0	2399.0
Центральный федеральный округ	16907301.0	16078601.0	786188.0	228171.0	448341.0	74908.0	34768.0	42512.0
Мужчины	8671096.0	8185544.0	463218.0	152403.0	247399.0	43666.0	19750.0	22334.0
Женщины	8236205.0	7893057.0	322970.0	75768.0	200942.0	31242.0	15018.0	20178.0
Городское население	14186319.0	13442629.0	704463.0	208879.0	398804.0	65803.0	30977.0	39227.0
Мужчины	7225746.0	6793450.0	411702.0	139406.0	216875.0	37924.0	17497.0	20594.0
Женщины	6960573.0	6649179.0	292761.0	69473.0	181929.0	27879.0	13480.0	18633.0
Сельское население	2720982.0	2635972.0	81725.0	19292.0	49537.0	9105.0	3791.0	3285.0
Мужчины	1445350.0	1392094.0	51516.0	12997.0	30524.0	5742.0	2253.0	1740.0
Женщины	1275632.0	1243878.0	30209.0	6295.0	19013.0	3363.0	1538.0	1545.0
Белгородская область	605045.0	571371.0	33235.0	8877.0	21515.0	2018.0	825.0	439.0
Мужчины	308690.0	289389.0	19082.0	5708.0	11894.0	1033.0	447.0	219.0
Женщины	296355.0	281982.0	14153.0	3169.0	9621.0	985.0	378.0	220.0
Городское население	432588.0	403569.0	28711.0	7657.0	18552.0	1874.0	628.0	308.0
Мужчины	215049.0	198723.0	16173.0	4869.0	10015.0	950.0	339.0	153.0
Женщины	217539.0	204846.0	12538.0	2788.0	8537.0	924.0	289.0	155.0
Сельское население	172457.0	167802.0	4524.0	1220.0	2963.0	144.0	197.0	131.0
Мужчины	93641.0	90666.0	2909.0	839.0	1879.0	83.0	108.0	66.0
Женщины	78816.0	77136.0	1615.0	381.0	1084.0	61.0	89.0	65.0
Брянская область	533429.0	503581.0	29670.0	6745.0	20589.0	1734.0	602.0	178.0
Мужчины	262755.0	246592.0	16081.0	4187.0	10582.0	971.0	341.0	82.0
Женщины	270674.0	256989.0	13589.0	2558.0	10007.0	763.0	261.0	96.0
Городское население	401517.0	375410.0	25989.0	5996.0	18169.0	1309.0	515.0	118.0
Мужчины	193118.0	179117.0	13952.0	3714.0	9240.0	708.0	290.0	49.0
Женщины	208399.0	196293.0	12037.0	2282.0	8929.0	601.0	225.0	69.0
Сельское население	131912.0	128171.0	3681.0	749.0	2420.0	425.0	87.0	60.0
Мужчины	69637.0	67475.0	2129.0	473.0	1342.0	263.0	51.0	33.0
Женщины	62275.0	60696.0	1552.0	276.0	1078.0	162.0	36.0	27.0
Владимирская область	679047.0	643874.0	34538.0	9781.0	21542.0	1941.0	1274.0	635.0
Мужчины	335027.0	315250.0	19478.0	6001.0	11675.0	1105.0	697.0	299.0
Женщины	344020.0	328624.0	15060.0	3780.0	9867.0	836.0	577.0	336.0
Городское население	564897.0	533189.0	31216.0	8881.0	19580.0	1662.0	1093.0	492.0
Мужчины	276357.0	258738.0	17392.0	5442.0	10444.0	913.0	593.0	227.0
