7. ЧАСТНЫЕ ДОМОХОЗЯЙСТВА, СОСТОЯЩИЕ ИЗ ДВУХ И БОЛЕЕ ЧЕЛОВЕК, ПО ЧИСЛУ ЗАНЯТЫХ В ЭКОНОМИКЕ И ЧИСЛУ ИЖДИВЕНЦЕВ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 							
							
	Число частных домохозяйств	Из них домохозяйства, в которых имеются иждивенцы	в том числе домохозяйства с количеством иждивенцев				Домохозяйства, в которых нет иждивенцев
			1 человек	2 человека	3 и более человек		
					число домохозяйств	в них иждивенцев	
Центральный федеральный округ							
Все домохозяйства	10783808.0	4244483.0	2930342.0	1034228.0	279913.0	915596.0	6539325.0
в них членов домохозяйств	33829802.0	15395563.0	9757913.0	4199034.0	1438616.0		18434239.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	4046449.0	634953.0	604385.0	30568.0			3411496.0
из них имеют занятых							
1 человека	1543712.0	419787.0	419787.0				1123925.0
2 человек	864624.0						864624.0
3 человек	3355818.0	1525860.0	1248727.0	265082.0	12051.0	36153.0	1829958.0
из них имеют занятых							
1 человека	1131707.0	621092.0	401543.0	219549.0			510615.0
2 человек	1504958.0	723790.0	723790.0				781168.0
3 человек	318926.0						318926.0
4 человек	2240677.0	1336205.0	740021.0	486577.0	109607.0	332689.0	904472.0
из них имеют занятых							
1 человека	561545.0	406488.0	184469.0	129680.0	92339.0	277017.0	155057.0
2 человек	1040514.0	644723.0	320475.0	324248.0			395791.0
3 человек	387316.0	196759.0	196759.0				190557.0
4 человек	92254.0						92254.0
5 и более человек	1140864.0	747465.0	337209.0	252001.0	158255.0	546754.0	393399.0
в них членов домохозяйств	6706742.0	4203257.0	1842878.0	1396344.0	964035.0		2503485.0
из них имеют занятых							
1 человека	201598.0	153297.0	52318.0	45615.0	55364.0	195240.0	48301.0
2 человек	383695.0	267181.0	106204.0	103747.0	57230.0	186851.0	116514.0
3 человек	263841.0	184718.0	98312.0	67581.0	18825.0	62982.0	79123.0
4 человек	129589.0	76884.0	53608.0	17298.0	5978.0	20861.0	52705.0
5 и более человек	77431.0	20817.0	12374.0	4957.0	3486.0	13444.0	56614.0
в них занятых	666512.0	132938.0	76974.0	31409.0	24555.0		533574.0
Домохозяйства, в которых есть занятые	8501710.0	3715536.0	2569639.0	912675.0	233222.0	756395.0	4786174.0
в них членов домохозяйств	28139685.0	13810642.0	8783593.0	3799419.0	1227630.0		14329043.0
Домохозяйства, в которых нет занятых	2282098.0	528947.0	360703.0	121553.0	46691.0	159201.0	1753151.0
в них членов домохозяйств	5690117.0	1584921.0	974320.0	399615.0	210986.0		4105196.0
Белгородская область							
Все домохозяйства	429213.0	159541.0	111874.0	38212.0	9455.0	30741.0	269672.0
в них членов домохозяйств	1366887.0	586753.0	383047.0	155961.0	47745.0		780134.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	150070.0	21067.0	19968.0	1099.0			129003.0
из них имеют занятых							
1 человека	49155.0	13003.0	13003.0				36152.0
2 человек	26487.0						26487.0
3 человек	131265.0	56970.0	47437.0	9129.0	404.0	1212.0	74295.0
из них имеют занятых							
1 человека	45053.0	23100.0	15617.0	7483.0			21953.0
2 человек	59961.0	26379.0	26379.0				33582.0
3 человек	8820.0						8820.0
4 человек	95033.0	51683.0	28969.0	18829.0	3885.0	11801.0	43350.0
из них имеют занятых							
1 человека	26305.0	16896.0	8783.0	4920.0	3193.0	9579.0	9409.0
2 человек	46953.0	24893.0	12335.0	12558.0			22060.0
3 человек	12799.0	6074.0	6074.0				6725.0
4 человек	2269.0						2269.0
5 и более человек	52845.0	29821.0	15500.0	9155.0	5166.0	17728.0	23024.0
в них членов домохозяйств	292820.0	166977.0	84924.0	51060.0	30993.0		125843.0
из них имеют занятых							
1 человека	11495.0	7414.0	3383.0	2082.0	1949.0	6771.0	4081.0
2 человек	20551.0	10989.0	5309.0	3808.0	1872.0	6074.0	9562.0
3 человек	11229.0	6560.0	3968.0	2071.0	521.0	1737.0	4669.0
4 человек	5064.0	2381.0	1743.0	505.0	133.0	463.0	2683.0
5 и более человек	1066.0	425.0	291.0	96.0	38.0	136.0	641.0
в них занятых	5509.0	2216.0	1496.0	508.0	212.0		3293.0
Домохозяйства, в которых есть занятые	327207.0	138114.0	96885.0	33523.0	7706.0	24760.0	189093.0
в них членов домохозяйств	1119576.0	521233.0	341288.0	140171.0	39774.0		598343.0
Домохозяйства, в которых нет занятых	102006.0	21427.0	14989.0	4689.0	1749.0	5981.0	80579.0
в них членов домохозяйств	247311.0	65520.0	41759.0	15790.0	7971.0		181791.0
Брянская область							
Все домохозяйства	395653.0	113098.0	86276.0	22034.0	4788.0	15952.0	282555.0
в них членов домохозяйств	1236761.0	407042.0	293495.0	89077.0	24470.0		829719.0
Из общего числа домохозяйств - домохозяйства, состоящие из:							
2 человек	144722.0	18537.0	17453.0	1084.0			126185.0
из них имеют занятых							
1 человека	47324.0	9189.0	9189.0				38135.0
2 человек	23827.0						23827.0
3 человек	120880.0	39622.0	33883.0	5343.0	396.0	1188.0	81258.0
из них имеют занятых							
1 человека	42744.0	16519.0	12834.0	3685.0			26225.0
2 человек	51925.0	15326.0	15326.0				36599.0
3 человек	7849.0						7849.0
4 человек	87754.0	35467.0	23357.0	10283.0	1827.0	5655.0	52287.0
из них имеют занятых							
1 человека	24605.0	12095.0	7818.0	2971.0	1306.0	3918.0	12510.0
2 человек	42354.0	15696.0	9570.0	6126.0			26658.0
3 человек	11305.0	3935.0	3935.0				7370.0
4 человек	1983.0						1983.0
5 и более человек	42297.0	19472.0	11583.0	5324.0	2565.0	9109.0	22825.0
в них членов домохозяйств	233661.0	109234.0	63512.0	29748.0	15974.0		124427.0
из них имеют занятых							
1 человека	9768.0	5309.0	2961.0	1386.0	962.0	3357.0	4459.0
2 человек	15741.0	6810.0	3923.0	2122.0	765.0	2480.0	8931.0
3 человек	8410.0	3786.0	2653.0	959.0	174.0	573.0	4624.0
4 человек	3621.0	1209.0	965.0	189.0	55.0	174.0	2412.0
5 и более человек	844.0	248.0	180.0	43.0	25.0	95.0	596.0
в них занятых	4489.0	1318.0	937.0	227.0	154.0		3171.0
Домохозяйства, в которых есть занятые	292300.0	90122.0	69354.0	17481.0	3287.0	10597.0	202178.0
