1. НАСЕЛЕНИЕ ЧАСТНЫХ ДОМОХОЗЯЙСТВ ПО ВОЗРАСТНЫМ ГРУППАМ И ЭКОНОМИЧЕСКОЙ АКТИВНОСТИ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ													
													
													
	Всего	в том числе											
		экономически активное население	из него				экономически неактивное население	из него					не указавшие экономическую активность
			занятые в экономике	из них пенсионеры	безработные	из них пенсионеры		стипендиаты	пенсионеры	лица, получающие пособие (кроме пособия по безработице), и лица, находящиеся на обеспечении государства	работающие в личном подсобном хозяйстве	прочие	
Российская Федерация													
Городское и сельское  население  в возрасте 15-64 лет	99767435.0	67063623.0	59652437.0	3677958.0	7411186.0	680678.0	30915443.0	2780986.0	12062562.0	2637114.0	2338546.0	11096235.0	1788369.0
в том числе в возрасте, лет:													
15 – 19	12109710.0	2218466.0	1254744.0	12107.0	963722.0	25812.0	9451898.0	2072073.0	368850.0	1797733.0	223614.0	4989628.0	439346.0
20 – 29	21098439.0	16121122.0	13888136.0	53219.0	2232986.0	38744.0	4674973.0	700880.0	290591.0	544685.0	478805.0	2660012.0	302344.0
30 – 39	19602701.0	16710888.0	15130286.0	117498.0	1580602.0	61605.0	2654483.0	7456.0	427043.0	206183.0	567515.0	1446286.0	237330.0
40 – 49	23789749.0	20216335.0	18536171.0	495357.0	1680164.0	142367.0	3316908.0	577.0	1128336.0	66756.0	726641.0	1394598.0	256506.0
50 – 59	15254602.0	10272576.0	9478627.0	1848322.0	793949.0	256095.0	4721804.0	-	3776964.0	19760.0	334711.0	590369.0	260222.0
60 – 64	7912234.0	1524236.0	1364473.0	1151455.0	159763.0	156055.0	6095377.0	-	6070778.0	1997.0	7260.0	15342.0	292621.0
Из общей численности -													
население в трудоспособном возрасте	86367656.0	64318688.0	57206399.0	1773505.0	7112289.0	440346.0	20773491.0	2601579.0	4175002.0	1704467.0	2298846.0	9993597.0	1275477.0
учащиеся	13709557.0	3356623.0	2545328.0	20356.0	811295.0	20056.0	9991237.0	2779585.0	289707.0	1747873.0	150512.0	5023560.0	361697.0
