Республика Марий Эл							
	Численность лиц, владеющих соответствую-щим языком	в том числе					
		марийцы	русские	татары	чуваши	лица других националь-ностей	лица, не указавшие национальность
Указавшие владение языком:							
аварским	131.0	2.0	2.0	2.0	-	125.0	-
азербайджанским	1105.0	11.0	30.0	27.0	1.0	1036.0	-
английским	23058.0	5239.0	15633.0	1200.0	192.0	792.0	2.0
армянским	974.0	18.0	41.0	1.0	-	914.0	-
башкирским	279.0	58.0	5.0	64.0	2.0	150.0	-
белорусским	680.0	16.0	94.0	4.0	-	566.0	-
горномарийским	18056.0	17825.0	135.0	7.0	71.0	18.0	-
грузинским	390.0	7.0	47.0	3.0	-	333.0	-
итальянским	141.0	20.0	99.0	4.0	2.0	16.0	-
казахским	223.0	13.0	59.0	60.0	-	91.0	-
лугово-восточным марийским (марийским)	254108.0	245151.0	6009.0	2060.0	419.0	466.0	3.0
молдавским	257.0	11.0	31.0	2.0	-	213.0	-
мордовским, мокша-мордовским, эрзя-мордовским	663.0	11.0	34.0	1.0	1.0	616.0	-
немецким	9953.0	3160.0	5709.0	456.0	126.0	500.0	2.0
польским	234.0	14.0	112.0	8.0	4.0	95.0	1.0
таджикским	160.0	3.0	19.0	19.0	-	119.0	-
татарским	40632.0	2997.0	883.0	36101.0	167.0	483.0	1.0
турецким	138.0	5.0	9.0	20.0	-	103.0	1.0
удмуртским	1876.0	82.0	54.0	29.0	-	1710.0	1.0
узбекским	571.0	36.0	72.0	235.0	2.0	226.0	-
украинским	3765.0	135.0	933.0	35.0	9.0	2653.0	-
финским	108.0	81.0	20.0	1.0	-	6.0	-
французским	2317.0	683.0	1401.0	132.0	20.0	80.0	1.0
цыганским	286.0	2.0	16.0	1.0	-	267.0	-
чеченским	273.0	2.0	7.0	6.0	-	258.0	-
чувашским	5364.0	377.0	186.0	97.0	4691.0	12.0	1.0
другими языками (не перечисленными выше)	2369.0	892.0	516.0	137.0	9.0	815.0	-
