1. ПРОДОЛЖИТЕЛЬНОСТЬ ПРОЖИВАНИЯ НАСЕЛЕНИЯ ЧАСТНЫХ ДОМОХОЗЯЙСТВ В МЕСТЕ								
ПОСТОЯННОГО ЖИТЕЛЬСТВА ПО ПОЛУ И ВОЗРАСТНЫМ ГРУППАМ								
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ								
								
	Всего	в том числе население в возрасте			Возраст не указан	Из общей численности – население в возрасте, в процентах		
		моложе трудо-способного	трудоспособ-ном	старше трудо-способного		моложе трудо-способного	трудоспособ-ном	старше трудо-способного
Российская Федерация								
Городское и сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	141684498.0	25697050.0	86367656.0	29503438.0	116354.0	18.1368112692	60.9577315932	20.8233352388
с рождения	77910485.0	21597339.0	45240412.0	11057252.0	15482.0	27.7207092216	58.0671677246	14.1922515307
не с рождения	61843409.0	3800339.0	39921225.0	18111103.0	10742.0	6.14509947212	64.5521093444	29.2854215071
в том числе:								
с 1992-2002 года	18315479.0	3047247.0	13127293.0	2137668.0	3271.0	16.637550129	71.6732169549	11.6713737053
с 1989-1991 года	4060275.0	444017.0	3131382.0	484383.0	493.0	10.9356385959	77.1224116593	11.9298077101
с 1988 года и ранее	38787833.0	204197.0	23268440.0	15309771.0	5425.0	0.526446012078	59.9890176902	39.4705499531
год не указан	679822.0	104878.0	394110.0	179281.0	1553.0	15.4272736099	57.9725281029	26.3717561362
не указавшие непрерывность проживания в месте постоянного жительства	1930604.0	299372.0	1206019.0	335083.0	90130.0	15.5066497324	62.4684813665	17.3563817334
Мужчины, проживающие непрерывно в месте постоянного жительства	65060995.0	13117415.0	42717601.0	9167917.0	58062.0	20.1617190146	65.6577739089	14.0912646663
с рождения	37320885.0	11029862.0	22885126.0	3398372.0	7525.0	29.5541276687	61.319890994	9.10581836417
не с рождения	26803402.0	1935313.0	19199998.0	5663039.0	5052.0	7.22040060437	71.632690507	21.128060535
в том числе:								
с 1992-2002 года	8617898.0	1550339.0	6438434.0	627436.0	1689.0	17.9897580593	74.7100278978	7.28061529621
с 1989-1991 года	1883779.0	226862.0	1500023.0	156690.0	204.0	12.042920109	79.6283958999	8.31785469527
с 1988 года и ранее	15995089.0	105046.0	11062463.0	4825227.0	2353.0	0.656739077851	69.1616220454	30.1669281115
год не указан	306636.0	53066.0	199078.0	53686.0	806.0	17.3058610209	64.9232314536	17.5080551533
не указавшие непрерывность проживания в месте постоянного жительства	936708.0	152240.0	632477.0	106506.0	45485.0	16.2526635835	67.5212552898	11.3702455835
Женщины, проживающие непрерывно в месте постоянного жительства	76623503.0	12579635.0	43650055.0	20335521.0	58292.0	16.4174626681	56.9669269754	26.539534482
с рождения	40589600.0	10567477.0	22355286.0	7658880.0	7957.0	26.0349375209	55.0763890258	18.8690699095
не с рождения	35040007.0	1865026.0	20721227.0	12448064.0	5690.0	5.32256172209	59.13590999	35.5252897067
в том числе:								
с 1992-2002 года	9697581.0	1496908.0	6688859.0	1510232.0	1582.0	15.4358906618	68.9745102413	15.5732857503
с 1989-1991 года	2176496.0	217155.0	1631359.0	327693.0	289.0	9.97727540046	74.9534573002	15.055989076
с 1988 года и ранее	22792744.0	99151.0	12205977.0	10484544.0	3072.0	0.435011247439	53.5520295406	45.9994812384
год не указан	373186.0	51812.0	195032.0	125595.0	747.0	13.8836933861	52.2613388498	33.6547994834
не указавшие непрерывность проживания в месте постоянного жительства	993896.0	147132.0	573542.0	228577.0	44645.0	14.803560936	57.7064401104	22.998080282
Городское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	104215242.0	17703902.0	65496480.0	20905598.0	109262.0	16.9878241035	62.8473136396	20.0600196275
с рождения	55425415.0	14926797.0	34070128.0	6415234.0	13256.0	26.9313220298	61.4702262491	11.5745348952
не с рождения	47002998.0	2517351.0	30299926.0	14176339.0	9382.0	5.35572433061	64.4638156911	30.1604995494
в том числе:								
с 1992-2002 года	12771431.0	2005194.0	9439935.0	1323569.0	2733.0	15.7006211755	73.9144658104	10.3635136893
с 1989-1991 года	2690063.0	288299.0	2103748.0	297627.0	389.0	10.717183947	78.2044138	11.0639416252
с 1988 года и ранее	30985068.0	146511.0	18424858.0	12408933.0	4766.0	0.472843887256	59.4636681127	40.0481063976
год не указан	556436.0	77347.0	331385.0	146210.0	1494.0	13.9004305976	59.554917367	26.2761575455
не указавшие непрерывность проживания в месте постоянного жительства	1786829.0	259754.0	1126426.0	314025.0	86624.0	14.5371493299	63.040503596	17.5744293382
Мужчины, проживающие непрерывно в месте постоянного жительства	47387228.0	9033860.0	31919382.0	6379308.0	54678.0	19.0639131709	67.3586182336	13.4620830744
с рождения	26347061.0	7621667.0	16820647.0	1898277.0	6470.0	28.9279589856	63.8425932972	7.20489089846
не с рождения	20173563.0	1279762.0	14508273.0	4381023.0	4505.0	6.34375791723	71.9172562626	21.7166546138
в том числе:								
с 1992-2002 года	5982859.0	1018195.0	4602625.0	360586.0	1453.0	17.018535787	76.9301934075	6.02698475762
с 1989-1991 года	1246575.0	147183.0	1009891.0	89329.0	172.0	11.8069911558	81.0132563223	7.16595471592
с 1988 года и ранее	12692803.0	75177.0	8727953.0	3887575.0	2098.0	0.592280523065	68.7630068788	30.6281835462
год не указан	251326.0	39207.0	167804.0	43533.0	782.0	15.6000572961	66.7674653637	17.321327678
не указавшие непрерывность проживания в месте постоянного жительства	866604.0	132431.0	590462.0	100008.0	43703.0	15.2816049776	68.1351574652	11.540219062
Женщины, проживающие непрерывно в месте постоянного жительства	56828014.0	8670042.0	33577098.0	14526290.0	54584.0	15.2566338144	59.0854679525	25.5618470144
с рождения	29078354.0	7305130.0	17249481.0	4516957.0	6786.0	25.122226657	59.3206926362	15.53374376
не с рождения	26829435.0	1237589.0	15791653.0	9795316.0	4877.0	4.61280306499	58.8594318143	36.5095873245
в том числе:								
с 1992-2002 года	6788572.0	986999.0	4837310.0	962983.0	1280.0	14.5391254597	71.2566648774	14.1853544457
с 1989-1991 года	1443488.0	141116.0	1093857.0	208298.0	217.0	9.77604247489	75.7787387218	14.4301857722
с 1988 года и ранее	18292265.0	71334.0	9696905.0	8521358.0	2668.0	0.389968109471	53.010958457	46.5844880336
год не указан	305110.0	38140.0	163581.0	102677.0	712.0	12.5004096883	53.6137786372	33.6524532136
не указавшие непрерывность проживания в месте постоянного жительства	920225.0	127323.0	535964.0	214017.0	42921.0	13.8360726996	58.2427123801	23.2570295308
Сельское население								
Мужчины и женщины, проживающие непрерывно в месте постоянного жительства	37469256.0	7993148.0	20871176.0	8597840.0	7092.0	21.3325506116	55.7021361727	22.9463856982
